"astro-ph/0301058","Yun Wang","Pia Mukherjee, and Yun Wang","Wavelet Band Powers of the Primordial Power Spectrum from CMB Data","revised version accepted by ApJ","Astrophys.J. 593 (2003) 38","10.1086/376500",,"astro-ph hep-ph",,"  Measuring the primordial matter power spectrum is our primary means of
probing unknown physics in the very early universe. We allow the primordial
power spectrum to be an arbitrary function, and parametrize it in terms of
wavelet band powers. Current cosmological data correspond to 11 such wavelet
bands. We derive constraints on these band powers as well as $H_0$, $\Omega_b
h^2$ and $\Omega_m h^2$ from current Cosmic Microwave Background Anisotropy
(CMB) data using the Markov Chain Monte Carlo (MCMC) technique. Our results
indicate a feature in the primordial power spectrum at $ 0.008 \la k/(h
{Mpc}^{-1}) \la 0.1$. MAP and Planck data should allow us to put tighter
constraints on the primordial power spectrum.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 19:09:12 GMT""},{""version"":""v2"",""created"":""Wed, 23 Apr 2003 17:34:10 GMT""}]","2009-11-07"
"cond-mat/0301063","Colson","F. Jean, D. Colson, G. Collin, N. Blanchard, and A. Forget","Determination and Control of Oxygen Stoichiometry in the Cuprate
  Bi2sr2cuo6+D","4 pages, 2 figures, conference","Procceedings of CIMTEC 2002-4th International Conference on
  Science and Engineering of HTC Superconductivity, Florence, Italy, 14-18
  (2002)",,,"cond-mat.supr-con cond-mat.str-el",,"  The relatively low Tc of Bi2Sr2CuO6+D allows to study normal-state down to
low temperatures and the non-substituted compound is intrinsically strongly
overdoped. Hole concentration can be adjusted trough oxygen excess, but few
data exist in the literature about the quantitative control of D. The
synthesis, achieved in air by solid-state reaction, needs long-time annealing
to obtain pure phase with stoichiometric cationic ratios. Thermogravimetric
techniques were used to explore oxygen non-stoichiometry. Absolute oxygen
content was determined by reduction with hydrogen, while the oxygen exchange
was studied between 300 C and 670 C with different PO2. Oxygen excess varies
between 0.14 and 0.18, with possibly two regimes of oxygen intercalation. These
results are compared to Bi-2212.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 11:00:33 GMT""}]","2007-05-23"
"cond-mat/0301064","Markus Popp","Markus Popp, Diego Frustaglia, Klaus Richter","Spin Filter Effects in Mesoscopic Ring Structures","5 pages, 8 figures",,"10.1088/0957-4484/14/2/347",,"cond-mat.mes-hall",,"  We study the spin-dependent conductance of ballistic mesoscopic ring systems
in the presence of an inhomogeneous magnetic field. We show that, for the setup
proposed, even a small Zeeman splitting can lead to a considerable spin
polarisation of the current. Making use of a spin-switch effect predicted for
such systems we propose a device of two rings connected in series that in
principle allows for both creating and coherently controlling spin polarized
currents at low temperatures.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 11:10:09 GMT""}]","2009-11-10"
"cond-mat/0301065","Bertrand Berche","A. I. Farinas Sanchez (Caracas), R. Paredes V. (Caracas) and B. Berche
  (Nancy)","Evidence for a topological transition in nematic-to-isotropic phase
  transition in two dimensions","6 pages, 4 eps figures. A few typos corrected","Phys. Lett. A 308 (2003) 461-466","10.1016/S0375-9601(03)00060-4",,"cond-mat.stat-mech",,"  The nematic-to-isotropic orientational phase transition, or equivalently the
$RP^2$ model, is considered in two dimensions and the question of the nature of
the phase transition is addressed. Using powerful conformal techniques adapted
to the investigation of critical properties of two-dimensional scale-invariant
systems, we report strong evidences for a transition governed by topological
defects analogous to the Berezinskii-Kosterlitz-Thouless transition in
two-dimensional XY model.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 11:27:12 GMT""},{""version"":""v2"",""created"":""Mon, 3 Feb 2003 13:59:56 GMT""}]","2009-11-10"
"cond-mat/0301066","Philippe Di Francesco","C. De Dominicis and P. Di Francesco (SPHT-Saclay)","A Comment on ""Free energy fluctuations in Ising spin glasses"", by T.
  Aspelmeier and M.A. Moore","7 pages, tex, harvmac",,,"SPhT/02-187","cond-mat.dis-nn",,"  We show that there is no need to modify the Parisi replica symmetry breaking
ansatz, by working with $R$ steps of breaking and solving {\it exactly} the
discrete stationarity equations generated by the standard ``truncated
Hamiltonian"" of spin glass theory.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 11:44:01 GMT""}]","2007-05-23"
"cond-mat/0301067","Enrico Carlon","Enrico Carlon, P\'eter Lajk\'o, Heiko Rieger, Ferenc Igl\'oi","Disorder Induced Phases in Higher Spin Antiferromagnetic Heisenberg
  Chains","6 Pages and 6 figures. Final version as published","Phys. Rev. B 69, 144416 (2004)","10.1103/PhysRevB.69.144416",,"cond-mat.stat-mech cond-mat.dis-nn",,"  Extensive DMRG calculations for spin S=1/2 and S=3/2 disordered
antiferromagnetic Heisenberg chains show a rather distinct behavior in the two
cases. While at sufficiently strong disorder both systems are in a random
singlet phase, we show that weak disorder is an irrelevant perturbation for the
S=3/2 chain, contrary to what expected from a naive application of the Harris
criterion. The observed irrelevance is attributed to the presence of a new
correlation length due to enhanced end-to-end correlations. This phenomenon is
expected to occur for all half-integer S > 1/2 chains. A possible phase diagram
of the chain for generic S is also discussed.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 12:58:58 GMT""},{""version"":""v2"",""created"":""Tue, 29 Jun 2004 12:09:26 GMT""}]","2009-11-10"
"cond-mat/0301068","Claudio Castellano","Andrea Baldassarri, Francesca Colaiori, Claudio Castellano","The average shape of a fluctuation: universality in excursions of
  stochastic processes","5 pages, 5 figures, accepted for publication in Phys. Rev. Lett","Phys. Rev. Lett. 90, 060601 (2003)","10.1103/PhysRevLett.90.060601",,"cond-mat.stat-mech q-fin.ST",,"  We study the average shape of a fluctuation of a time series x(t), that is
the average value <x(t)-x(0)>_T before x(t) first returns, at time T, to its
initial value x(0). For large classes of stochastic processes we find that a
scaling law of the form <x(t) - x(0)>_T = T^\alpha f(t/T) is obeyed. The
scaling function f(s) is to a large extent independent of the details of the
single increment distribution, while it encodes relevant statistical
information on the presence and nature of temporal correlations in the process.
We discuss the relevance of these results for Barkhausen noise in magnetic
systems.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 13:21:36 GMT""}]","2009-11-10"
"cond-mat/0301069","Dr. Kai Bongs","K. Bongs, S. Burger, D. Hellweg, M. Kottke, S. Dettmer, T. Rinkleff,
  L. Cacciapuoti, J. Arlt, K. Sengstock and W. Ertmer","Spectroscopy of Dark Soliton States in Bose-Einstein Condensates","14 pages, 9 figures","J. Opt. B: Quantum Semiclass. Opt. 5, S124 (2003)","10.1088/1464-4266/5/2/369",,"cond-mat",,"  Experimental and numerical studies of the velocity field of dark solitons in
Bose-Einstein condensates are presented. The formation process after phase
imprinting as well as the propagation of the emerging soliton are investigated
using spatially resolved Bragg-spectroscopy of soliton states in Bose-Einstein
condensates of Rubidium87. A comparison of experimental data to results from
numerical simulations of the Gross-Pitaevskii equation clearly identifies the
flux underlying a dark soliton propagating in a Bose-Einstein condensate. The
results allow further optimization of the phase imprinting method for creating
collective exitations of Bose-Einstein condensates.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 14:06:17 GMT""}]","2015-09-11"
"cond-mat/0301070","Anthore","A. Anthore, F. Pierre, H. Pothier, and D. Esteve","Magnetic-field-dependent quasiparticle energy relaxation in mesoscopic
  wires","4 pages, 3 figures, to be published in Physical Review Letters","Phys. Rev. Lett. 90, 076806 (2003)","10.1103/PhysRevLett.90.076806",,"cond-mat.mes-hall",,"  In order to find out if magnetic impurities can mediate interactions between
quasiparticles in metals, we have measured the effect of a magnetic field B on
the energy distribution function f(E) of quasiparticles in two silver wires
driven out-of-equilibrium by a bias voltage U. In a sample showing sharp
distributions at B=0, no magnetic field effect is found, whereas in the other
sample, rounded distributions at low magnetic field get sharper as B is
increased, with a characteristic field proportional to U. Comparison is made
with recent calculations of the effect of magnetic-impurities-mediated
interactions taking into account Kondo physics.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 14:18:22 GMT""}]","2009-11-10"
"cond-mat/0301071","Hal Tasaki","Hal Tasaki","Ferromagnetism in the Hubbard model: A constructive approach","34 pages (References have been added in v2. Many small changes have
  been made in v3. Minor typos fixed in v4.)",,"10.1007/s00220-003-0952-z",,"cond-mat.str-el math-ph math.MP",,"  It is believed that strong ferromagnetic orders in some solids are generated
by subtle interplay between quantum many-body effects and spin-independent
Coulomb interactions between electrons. Here we describe our rigorous and
constructive approach to ferromagnetism in the Hubbard model, which is a
standard idealized model for strongly interacting electrons in a solid. We
introduce a class of Hubbard models in any dimensions which are nonsingular in
the sense that both the Coulomb interaction and the density of states (at the
Fermi level) are finite. We then prove that the ground states of the models
exhibit saturated ferromagnetism, i.e., have maximum total spins. Combined with
our earlier results, the present work provides nonsingular models of itinerant
electrons with only spin-independent interactions where low energy behaviors
are proved to be that of a ``healthy'' ferromagnetic insulator.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 14:44:04 GMT""},{""version"":""v2"",""created"":""Thu, 9 Jan 2003 06:04:42 GMT""},{""version"":""v3"",""created"":""Wed, 30 Apr 2003 07:08:12 GMT""},{""version"":""v4"",""created"":""Fri, 27 Jun 2003 07:13:43 GMT""}]","2009-11-10"
"cond-mat/0301072","Francesco Giazotto","F. Giazotto, P. Pingue, and F. Beltram (NEST-INFM & Scuola Normale
  Superiore, Pisa, Italy)","Coherent transport in Nb/delta-doped-GaAs hybrid microstructures","9 pages, 8 figures, invited review paper, to be published in Mod.
  Phys. Lett. B","Mod. Phys. Lett. B 17, 955 (2003)","10.1142/S0217984903005913",,"cond-mat.supr-con cond-mat.mes-hall",,"  Coherent transport in Nb/GaAs superconductor-semiconductor microstructures is
presented. The structures fabrication procedure is based on delta-doped layers
grown by molecular-beam-epitaxy near the GaAs surface, followed by an As cap
layer to protect the active semiconductor layers during ex situ transfer. The
superconductor is then sputter deposited in situ after thermal desorption of
the protective layer. Two types of structures in particular will be discussed,
i.e., a reference junction and the engineered one that contains an additional
insulating AlGaAs barrier inserted during the growth in the semiconductor. This
latter configuration may give rise to controlled interference effects and
realizes the model introduced by de Gennes and Saint-James in 1963. While both
structures show reflectionless tunneling-dominated transport, only the
engineered junction shows additionally a low-temperature single marked
resonance peaks superimposed to the characteristic Andreev-dominated subgap
conductance. The analysis of coherent magnetotransport in both microstructures
is successfully performed within the random matrix theory of Andreev transport
and ballistic effects are included by directly solving the Bogoliubov-de Gennes
equations. The impact of junction morphology on reflectionless tunneling and
the application of the employed fabrication technique to the realization of
complex semiconductor-superconductor systems are furthermore discussed.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 15:09:01 GMT""}]","2009-11-10"
"cond-mat/0301073","J. B. Majer","J.B. Majer, J. Peguiron, M. Grifoni, M. Tusveld and J. E. Mooij","Quantum ratchet effect for vortices","Accepted for publication in Physical Review Letters","Phys. Rev. Lett. 90, 056802 (2003)","10.1103/PhysRevLett.90.056802",,"cond-mat.mes-hall cond-mat.stat-mech cond-mat.supr-con",,"  We have measured a quantum ratchet effect for vortices moving in a
quasi-one-dimensional Josephson junction array. In this solid-state device the
shape of the vortex potential energy, and consequently the band structure, can
be accurately designed. This band structure determines the presence or absence
of the quantum ratchet effect, as observed in the presented experiments. In
particular, asymmetric structures possessing only one band below the barrier do
not exhibit current rectification at low temperatures and bias currents. The
quantum nature of transport is also revealed in a universal/non-universal
power-law dependence of the measured voltage-current characteristics for
samples without/with rectification.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 15:23:09 GMT""}]","2007-05-23"
"cs/0301002","Mark J. Kilgard","Cass Everitt, Mark J. Kilgard","Practical and Robust Stenciled Shadow Volumes for Hardware-Accelerated
  Rendering","8 pages, 5 figures",,,,"cs.GR cs.CG",,"  Twenty-five years ago, Crow published the shadow volume approach for
determining shadowed regions in a scene. A decade ago, Heidmann described a
hardware-accelerated stencil buffer-based shadow volume algorithm.
  Unfortunately hardware-accelerated stenciled shadow volume techniques have
not been widely adopted by 3D games and applications due in large part to the
lack of robustness of described techniques. This situation persists despite
widely available hardware support. Specifically what has been lacking is a
technique that robustly handles various ""hard"" situations created by near or
far plane clipping of shadow volumes.
  We describe a robust, artifact-free technique for hardware-accelerated
rendering of stenciled shadow volumes. Assuming existing hardware, we resolve
the issues otherwise caused by shadow volume near and far plane clipping
through a combination of (1) placing the conventional far clip plane ""at
infinity"", (2) rasterization with infinite shadow volume polygons via
homogeneous coordinates, and (3) adopting a zfail stencil-testing scheme. Depth
clamping, a new rasterization feature provided by NVIDIA's GeForce3, preserves
existing depth precision by not requiring the far plane to be placed at
infinity. We also propose two-sided stencil testing to improve the efficiency
of rendering stenciled shadow volumes.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 20:57:51 GMT""}]","2007-05-23"
"cs/0301003","Danny Hong","Alexandros Eleftheriadis and Danny Hong","Flavor: A Language for Media Representation","20 pages and 15 figures",,,,"cs.PL",,"  Flavor (Formal Language for Audio-Visual Object Representation) has been
created as a language for describing coded multimedia bitstreams in a formal
way so that the code for reading and writing bitstreams can be automatically
generated. It is an extension of C++ and Java, in which the typing system
incorporates bitstream representation semantics. This allows describing in a
single place both the in-memory representation of data as well as their
bitstream-level (compressed) representation. Flavor also comes with a
translator that automatically generates standard C++ or Java code from the
Flavor source code so that direct access to compressed multimedia information
by application developers can be achieved with essentially zero programming.
Flavor has gone through many enhancements and this paper fully describes the
latest version of the language and the translator. The software has been made
into an open source project as of Version 4.1, and the latest downloadable
Flavor package is available at http://flavor.sourceforge.net.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 07:53:20 GMT""}]","2007-05-23"
"gr-qc/0301007","M. M. Akbar","M.M. Akbar","Classical Boundary-value Problem in Riemannian Quantum Gravity and
  Taub-Bolt-anti-de Sitter Geometries","Minor changes and references added: Version in the Journal","Nucl.Phys. B663 (2003) 215-230","10.1016/S0550-3213(03)00376-6","DAMTP-2002-36","gr-qc hep-th",,"  For an $SU(2)\times U(1)$-invariant $S^3$ boundary the classical Dirichlet
problem of Riemannian quantum gravity is studied for positive-definite regular
solutions of the Einstein equations with a negative cosmological constant
within biaxial Bianchi-IX metrics containing bolts, i.e., within the family of
Taub-Bolt-anti-de Sitter (Taub-Bolt-AdS) metrics. Such metrics are obtained
from the two-parameter Taub-NUT-anti-de Sitter family. The condition of
regularity requires them to have only one free parameter ($L$) and constrains
$L$ to take values within a narrow range; the other parameter is determined as
a double-valued function of $L$ and hence there is a bifurcation within the
family. We found that {\it{any}} axially symmetric $S^3$-boundary can be filled
in with at least one solution coming from each of these two branches despite
the severe limit on the permissible values of $L$. The number of infilling
solutions can be one, three or five and they appear or disappear
catastrophically in pairs as the values of the two radii of $S^3$ are varied.
The solutions occur simultaneously in both branches and hence the total number
of independent infillings is two, six or ten. We further showed that when the
two radii are of the same order and large the number of solutions is two. In
the isotropic limit this holds for small radii as well. These results are to be
contrasted with the one-parameter self-dual Taub-NUT-AdS infilling solutions of
the same boundary-value problem studied previously.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 19:30:32 GMT""},{""version"":""v2"",""created"":""Tue, 26 Aug 2003 23:47:02 GMT""}]","2009-11-10"
"gr-qc/0301016","Dejan Stojkovic","Valeri Frolov and Dejan Stojkovic","Particle and light motion in a space-time of a five-dimensional rotating
  black hole","Added discussion about (non)existence of stable circular orbits.
  Accepted for publication in Phys. Rev. D","Phys.Rev. D68 (2003) 064011","10.1103/PhysRevD.68.064011",,"gr-qc hep-th",,"  We study motion of particles and light in a space-time of a 5-dimensional
rotating black hole. We demonstrate that the Myers-Perry metric describing such
a black hole in addition to three Killing vectors possesses also a Killing
tensor. As a result, the Hamilton-Jacobi equations of motion allow a separation
of variables. Using first integrals we present the equations of motion in the
first-order form. We describe different types of motion of particles and light
and study some interesting special cases. We proved that there are no stable
circular orbits in equatorial planes in the background of this metric.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 18:01:20 GMT""},{""version"":""v2"",""created"":""Fri, 24 Jan 2003 01:17:39 GMT""},{""version"":""v3"",""created"":""Thu, 7 Aug 2003 03:19:40 GMT""}]","2009-11-10"
"gr-qc/0301017","Louis Crane","Louis Crane, David Yetter","A More Sensitive Lorentzian State Sum","11 pages latex",,,,"gr-qc",,"  We give the construction modulo normalization of a new state sum model for
lorentzian quantum general relativity, using the construction of Dirac's
expansors to include quantum operators corresponding to edge lengths as well as
the quantum bivectors of the Barrett-Crane model, and discuss the problem of
its normalization. The new model gives rise to a new picture of quantum
geometry in which lengths come in a discrete spectrum, while areas have a
continuum of values.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 19:12:35 GMT""}]","2007-05-23"
"gr-qc/0301018","Alec Maassen van den Brink","P.T. Leung, Alec Maassen van den Brink, K.W. Mak, and K. Young","Unconventional Gravitational Excitation of a Schwarzschild Black Hole","REVTeX4, 4pp, 6 EPS figure files. N.B.: ""Alec"" is my first, and
  ""Maassen van den Brink"" my family name. v2: better pole placement in Fig. 1.
  v3: fixed Refs. [9,20]. v4: added context on ""area quantum"" research; trimmed
  one Fig.; textual clarifications","Class.Quant.Grav. 20 (2003) L217-3532","10.1088/0264-9381/20/16/101",,"gr-qc math-ph math.MP",,"  Besides the well-known quasinormal modes, the gravitational spectrum of a
Schwarzschild black hole also has a continuum part on the negative imaginary
frequency axis. The latter is studied numerically for quadrupole waves. The
results show unexpected striking behavior near the algebraically special
frequency $\Omega=-4i$. This reveals a pair of unconventional damped modes very
near $\Omega$, confirmed analytically.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 20:34:25 GMT""},{""version"":""v2"",""created"":""Tue, 7 Jan 2003 17:22:30 GMT""},{""version"":""v3"",""created"":""Wed, 8 Jan 2003 02:52:42 GMT""},{""version"":""v4"",""created"":""Mon, 24 Mar 2003 03:11:52 GMT""}]","2009-11-10"
"gr-qc/0301019","Jozsef Zsigrai","Jozsef Zsigrai","Ellipsoidal shapes in general relativity: general definitions and an
  application","Latex, 22 pages, Revised version accepted in Class. Quantum. Grav.,
  references added","Class.Quant.Grav. 20 (2003) 2855","10.1088/0264-9381/20/13/330",,"gr-qc",,"  A generalization of the notion of ellipsoids to curved Riemannian spaces is
given and the possibility to use it in describing the shapes of rotating bodies
in general relativity is examined. As an illustrative example, stationary,
axisymmetric perfect-fluid spacetimes with a so-called confocal inside
ellipsoidal symmetry are investigated in detail under the assumption that the
4-velocity of the fluid is parallel to a time-like Killing vector field. A
class of perfect-fluid metrics representing interior NUT-spacetimes is obtained
along with a vacuum solution with a non-zero cosmological constant.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 06:18:16 GMT""},{""version"":""v2"",""created"":""Fri, 30 May 2003 14:02:35 GMT""}]","2009-11-10"
"gr-qc/0301021","Gaetano Vilasi","G. sparano, G. Vilasi, A. Vinogradov","Vacuum Einstein metrics with bidimensional Killing leaves.II-Global
  aspects","LateX file, 27 pages, 6 figures","Differ.Geom.Appl. 17 (2002) 15-35",,,"gr-qc",,"  A formalism (zeta-complex analysis), allowing one to construct global
Einstein metrics by matching together local ones described in the papers Phys.
Lett. B 513(2001)142-146; Diff. Geom. Appl. 16(2002)95-120, is developed. With
this formalism the singularities of the obtained metrics are described
naturally as well.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 10:05:20 GMT""}]","2007-05-23"
"gr-qc/0301022","Alexander Kamenshchik","I.M. Khalatnikov and A.Yu. Kamenshchik","A generalisation of the Heckmann - Schucking cosmological solution","LaTeX file, 10 pages. Physics Letters B, to appear","Phys.Lett. B553 (2003) 119-125","10.1016/S0370-2693(02)03237-9",,"gr-qc",,"  An exact solution of the Einstein equations for a Bianchi -I universe in the
presence of dust, stiff matter and cosmological constant, generalising the
well-known Heckmann-Schucking solution is presented. PACS: 04.20-q; 04.20.Dw
Keywords: Exact cosmological solutions
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 11:38:40 GMT""}]","2009-11-10"
"hep-ex/0301005","Harut Avakian","CLAS Collaboration: H. Avakian, et al","Measurement of Beam-Spin Asymmetries for Deep Inelastic $\pi^+$
  Electroproduction","5 pages, RevTEX4, 3 figures, 2 tables","Phys.Rev.D69:112004,2004","10.1103/PhysRevD.69.112004","JLAB-PHY-02-69","hep-ex",,"  We report the first evidence for a non-zero beam-spin azimuthal asymmetry in
the electroproduction of positive pions in the deep-inelastic region. Data have
been obtained using a polarized electron beam of 4.3 GeV with the CLAS detector
at the Thomas Jefferson National Accelerator Facility (JLab). The amplitude of
the $\sin\phi$ modulation increases with the momentum of the pion relative to
the virtual photon, $z$, with an average amplitude of $0.038 \pm 0.005 \pm
0.003$ for $0.5 < z < 0.8$ range.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 21:55:39 GMT""},{""version"":""v2"",""created"":""Tue, 27 Apr 2004 18:48:32 GMT""}]","2010-04-06"
"hep-lat/0301003","Vitaly Bornyakov","Y. Mori, V. Bornyakov, M. Chernodub, Y. Koma, Y. Nakamura, M.
  Polikarpov, G. Schierholz, D. Sigaev, A. Slavnov, H. St\""uben, T. Suzuki, P.
  Uvarov, A. Veselov","Finite temperature phase transition in lattice QCD with N_f=2
  nonperturbatively improved Wilson fermions at N_t=8","4 pages, 3 figures, talk given at the XVI International Conference on
  Particles and Nuclei, Osaka, Japan, September 30 - October 4, 2002","Nucl.Phys. A721 (2003) 930-933","10.1016/S0375-9474(03)01245-4","ITEP-LAT/2002-29, KANAZAWA 02-41","hep-lat",,"  The finite temperature lattice QCD with N_f=2 nonperturbatively improved
Wilson fermions is studied on 16^3 8 lattice. Using abelian projection after
fixing to MA gauge we determine the transition temperature for m_{\pi}/m_{\rho}
\sim 0.8.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 08:12:34 GMT""}]","2016-09-01"
"hep-ph/0301032","Marshall Baker","M. Baker","From QCD to Dual Superconductivity to Effective String Theory","Talk given at the 5th International Conference on Quark Confinement
  and the Hadron Spectrum, Gargnano, Italy, September 2002",,"10.1142/9789812704269_0021",,"hep-ph",,"  We show how an effective field theory of long distance QCD, describing a dual
superconductor, can be expressed as an effective string theory of
superconducting vortices. We use the semiclassical expansion of this effective
string theory about a classical rotating string solution in any spacetime
dimension D to obtain the semiclassical meson energy spectrum. We argue that
the experimental data on Regge trajectories along with numerical simulations of
the heavy quark potentials provide good evidence for an effective string
description of long distance QCD.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 18:09:50 GMT""}]","2017-08-23"
"hep-ph/0301034","Jisuke Kubo","Jisuke Kubo (UNAM and Kanazawa U)","Renormalization Group Approach to the SUSY Flavor Problem","9 pages, LaTeX","AIP Conf.Proc. 670 (2003) 315-322","10.1063/1.1594349","IFUNAM-FT2003-01, KANAZAWA-03-01","hep-ph",,"  Renormalization group approach to the SUSY flavor problem is elucidated.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 22:38:47 GMT""}]","2009-11-10"
"hep-ph/0301035","Sannino Francesco","Francesco Sannino (NORDITA)","Anomaly Matching and Low Energy Theories at High Matter Density",,,"10.1142/9789812704498_0006",,"hep-ph hep-lat hep-th nucl-th",,"  I provide new arguments supporting the validity of the t'Hooft anomaly
conditions at non zero quark chemical potential. These constraints strengthen
the quark-hadron continuity scenario. Finally I review the 2SC effective
Lagrangian for color superconductivity.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 00:43:33 GMT""}]","2017-08-23"
"hep-ph/0301036","A. F. W. van Hameren","A. van Hameren","Adaptive channels for data analysis and importance sampling","major revision, integration strategy added, 14 pages, uses times and
  euler",,,,"hep-ph",,"  The adaptive multi-channel method is applied to derive probability
distributions from data samples. Moreover, an explicit algorithm is introduced,
for which both the channel weights and the channels themselves are adaptive,
and which can be used both for data analysis and for importance sampling in
Monte Carlo integration. Finally, it is pointed out how the usefulness for data
analysis can be used to optimize the integration procedure.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 10:37:48 GMT""},{""version"":""v2"",""created"":""Fri, 28 Mar 2003 15:53:16 GMT""}]","2007-05-23"
"hep-ph/0301037","Alon Faraggi","Gerald B. Cleaver, Alon E. Faraggi and Sander Nooij","NAHE-based string models with SU(4) X SU(2) X U(1) SO(10) Subgroup","25 pages. Standard Latex. Revised version to appear in NPB","Nucl.Phys. B672 (2003) 64-86","10.1016/j.nuclphysb.2003.09.012","BU-HEPP-02/13, CASPER-02/05, OUTP-03-01P","hep-ph hep-th",,"  The orbifold GUT doublet-triplet splitting mechanism was discussed in 1994 in
the framework of the NAHE-based free fermionic models in which the SO(10) GUT
symmetry is broken to SO(6) X SO(4), SU(3) X SU(2) X U(1)^2, or SU(3) X U(1) X
SU(2)^2. In this paper we study NAHE-based free fermionic models in which the
SO(10) symmetry is broken at the string level to SU(4) X SU(2) X U(1). In
addition to the doublet-triplet splitting this case also has the advantage of
inducing the doublet-doublet splitting already at the string level. We
demonstrate, however, that NAHE-based models with SU(4) X SU(2) X U(1) SO(10)
subgroup are not viable. We show that, similarly to the LRS models, and in
contrast to the FSU5, PS and SLM models, the SU421 case gives rise to models
without an anomalous U(1) symmetry, and discuss the different cases in terms of
their N=4 origins.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 11:18:48 GMT""},{""version"":""v2"",""created"":""Thu, 4 Sep 2003 15:04:58 GMT""}]","2015-06-25"
"hep-ph/0301038","Yu-Feng Zhou","Harald Fritzsch and Yu-Feng Zhou","The gluonic B and J/psi decays into the eta' meson","8 pages, ReVTeX4, 2 figures reference added, version to appear in
  Phys.Rev.D","Phys.Rev. D68 (2003) 034015","10.1103/PhysRevD.68.034015","LMU 03-20","hep-ph",,"  The inclusive and exclusive B decays into the eta' meson plus others are
investigated in a model based on the QCD anomaly. The invariant mass
distribution is discussed. The constraint of the effective coupling is obtained
from the data of the exclusive decay modes. The branching ratio of J/psi ->
eta'eta gamma is predicted to be as large as 5.4*10^{-5}, which can be tested
in the forthcoming CLEO-c experiments.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 15:38:43 GMT""},{""version"":""v2"",""created"":""Mon, 13 Jan 2003 16:06:17 GMT""},{""version"":""v3"",""created"":""Thu, 3 Jul 2003 14:06:57 GMT""}]","2009-11-10"
"hep-th/0301023","Pawel O. Mazur","Aharon Casher, Pawel O. Mazur and Andrzej J. Staruszkiewicz","De Sitter Invariant Vacuum States, Vertex Operators, and Conformal Field
  Theory Correlators","14 pages, LaTeX file We thank Roman Jackiw for bringing to our
  attention Ref. 16","Acta Phys.Polon.B42:1207-1218,2011","10.5506/APhysPolB.42.1207",,"hep-th gr-qc hep-ph math-ph math.MP",,"  We show that there is only one physically acceptable vacuum state for quantum
fields in de Sitter space-time which is left invariant under the action of the
de Sitter-Lorentz group $SO(1,d)$ and supply its physical interpretation in
terms of the Poincare invariant quantum field theory (QFT) on one dimension
higher Minkowski spacetime. We compute correlation functions of the generalized
vertex operator $:e^{i\hat{S}(x)}:$, where $\hat{S}(x)$ is a massless scalar
field, on the $d$-dimensional de Sitter space and demonstrate that their
limiting values at timelike infinities on de Sitter space reproduce correlation
functions in $(d-1)$-dimensional Euclidean conformal field theory (CFT) on
$S^{d-1}$ for scalar operators with arbitrary real conformal dimensions. We
also compute correlation functions for a vertex operator $e^{i\hat{S}(u)}$ on
the \L obaczewski space and find that they also reproduce correlation functions
of the same CFT. The massless field $\hat{S}(u)$ is the nonlocal transform of
the massless field $\hat{S}(x)$ on de Sitter space introduced by one of us.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 19:23:45 GMT""},{""version"":""v2"",""created"":""Wed, 23 Nov 2005 20:28:39 GMT""}]","2011-06-30"
