"astro-ph/0312567","Timur Rashba","V. B. Semikoz and D. D. Sokoloff","Large-scale magnetic field generation by alpha-effect driven by
  collective neutrino-plasma interaction","11 pages, no figure, extended version accepted in Phys. Rev. Lett","Phys.Rev.Lett. 92 (2004) 131301","10.1103/PhysRevLett.92.131301",,"astro-ph hep-ph",,"  We suggest a new mechanism for generation of large-scale magnetic field in
the hot plasma of early universe which is based on the parity violation in weak
interactions and depends neither on helicity of matter turbulence resulting in
the standard alpha-effect nor on general rotation. The mechanism can result in
a self-excitation of an (almost) uniform cosmological magnetic field.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 17:15:33 GMT""},{""version"":""v2"",""created"":""Sun, 29 Feb 2004 15:09:49 GMT""}]","2009-11-10"
"hep-ph/0312307","Giovannangeli","P. Giovannangeli","Two loop renormalization of the magnetic coupling in hot QCD","5 pages, 1 figure. Cosmetic changes. To be published in Phys. Lett. B","Phys.Lett. B585 (2004) 144-148","10.1016/j.physletb.2004.02.011",,"hep-ph hep-lat",,"  Well above the critical temperature hot QCD is described by 3d electrostatic
QCD with gauge coupling $g_E$ and Debye mass $m_E$. We integrate out the Debye
scales to two loop accuracy and find for the gauge coupling in the resulting
magnetostatic action $g_M^2=g_E^2(1-{1\over{48}}{g_E^2N\over{\pi m_E}}
-{17\over{4608}}({g_E^2N\over{\pi m_E}})^2+O(({g_E^2N\over{\pi m_E}})^3))$.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 18:37:56 GMT""},{""version"":""v2"",""created"":""Tue, 13 Jan 2004 13:57:09 GMT""},{""version"":""v3"",""created"":""Tue, 27 Jan 2004 14:07:27 GMT""}]","2009-11-10"
"hep-ph/0312308","Gilberto Tavares-Velasco","J. L. Garcia-Luna (Guadalajara U.), G. Tavares-Velasco and J. J.
  Toscano (Puebla U.)","Static quantities of the W boson in the SU_L(3) X U_X(1) model with
  right-handed neutrinos","New material included. Final version to apppear in Physical Review D","Phys.Rev. D69 (2004) 093005","10.1103/PhysRevD.69.093005",,"hep-ph",,"  The static electromagnetic properties of the $W$ boson, $\Delta \kappa$ and
$\Delta Q$, are calculated in the $SU_L(3)} \times U_X(1)$ model with
right-handed neutrinos. The new contributions from this model arise from the
gauge and scalar sectors. In the gauge sector there is a new contribution from
a complex neutral gauge boson $Y^0$ and a singly-charged gauge boson $Y^\pm$.
The mass of these gauge bosons, called bileptons, is expected to be in the
range of a few hundreds of GeV according to the current bounds from
experimental data. If the bilepton masses are of the order of 200 GeV, the size
of their contribution is similar to that obtained in other weakly coupled
theories. However the contributions to both $\Delta Q$ and $\Delta \kappa$ are
negligible for very heavy or degenerate bileptons. As for the scalar sector, an
scenario is examined in which the contribution to the $W$ form factors is
identical to that of a two-Higgs-doublet model. It is found that this sector
would not give large corrections to $\Delta \kappa$ and $\Delta Q$.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 20:02:11 GMT""},{""version"":""v2"",""created"":""Wed, 24 Mar 2004 04:45:11 GMT""}]","2009-11-10"
"hep-ph/0312309","St\'ephane Lavignac","St\'ephane Lavignac","Flavour and CP Violation in the Lepton Sector and New Physics","13 pages, 3 figures, Invited talk at Flavor Physics and CP Violation
  (FPCP 2003), Paris, France, 3-6 June 2003. Reference added",,,,"hep-ph",,"  We give a pedagogical review of flavour and CP violation in the lepton
sector, with a particular emphasis on new physics - and in particular
supersymmetric - contributions to flavour and CP violating observables
involving leptons.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 20:39:40 GMT""},{""version"":""v2"",""created"":""Sat, 10 Jan 2004 20:57:08 GMT""}]","2007-05-23"
"hep-ph/0312310","Gosta Gustafson","Gosta Gustafson","Multiple Interactions in Low x DIS and High Energy pp Collisions","Talk presented at XXXIII Int. Conf. on Multiparticle Dynamics,
  Krakow, Sept. 2003","Acta Phys.Polon.B35:257-260,2004",,"LU-TP 03-53","hep-ph",,"  The LDC formalism for DIS can describe HERA structure functions, and also
agrees well with CTEQ and MRST gluon distributions. It is also suitable for
hadronic collisions, and provides a strong connection between ep and pp
reactions. Some preliminary results are presented.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 10:59:04 GMT""}]","2014-11-17"
"hep-ph/0312311","Erhan Iltan","E. Iltan","The $\mu\to e\gamma$ and $\tau\to \mu\gamma$ decays in the general two
  Higgs Doublet model with the inclusion of one universal extra dimension","16 Pages, 8 Figures","JHEP 0402 (2004) 065","10.1088/1126-6708/2004/02/065",,"hep-ph",,"  We study the effect of one universal extra dimension on the branching ratios
of the lepton flavor violating processes \mu\to e\gamma and \tau\to \mu\gamma
in the general two Higgs doublet model. We observe that these new effects are
tiny for the small values of the compactification radius R. Furthermore, we see
that these effects are comparable with the branching ratio obtained without
including extra dimension, if the neutral Higgs bosons are nearly degenerate
and the complexity of the Yukawa coupling, inducing the vertex tau-tau-$h^0
(A^0)$, is large.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 11:07:43 GMT""}]","2009-11-10"
"hep-ph/0312312","Jeff Forshaw","Rikard Enberg, Jeff Forshaw, Leszek Motyka and Gavin Poludniowski","Diffractive Vector Meson Production with a Large Momentum Transfer","Talk presented at EPS2003, Aachen, July 2003. 4 pages","Eur.Phys.J.C33:s512-s514,2004","10.1140/epjcd/s2004-03-1584-y",,"hep-ph",,"  We summarise recent progress in the computation of helicity amplitudes for
diffractive vector meson production at large momentum transfer and their
comparison to data collected at the HERA collider.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 14:20:42 GMT""}]","2008-11-26"
"hep-ph/0312313","Gosta Gustafson","Gosta Gustafson","Unintegrated Parton Densities and Applications","Talk presented at the Ringberg Workshop, New Trends in HERA Physics,
  Schloss Ringberg, Germany, 28 Sept. - 3 Oct. 2003",,"10.1142/9789812702722_0025","LU-TP 03-55","hep-ph",,"  Different formalisms for unintegrated parton densities are discussed, and
some results and applications are presented.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 14:38:54 GMT""}]","2017-08-23"
"hep-ph/0312314","Georg Weiglein","G. Weiglein","Higher-Order Results in the Electroweak Theory","5 pages, 2 figures. Talk given at EPS03, Aachen, July 2003, to appear
  in the proceedings","Eur.Phys.J.C33:s630-s634,2004","10.1140/epjcd/s2004-03-1585-y","IPPP/03/80, DCPT/03/160","hep-ph",,"  The present status of higher-order results in the electroweak theory is
summarised, with particular emphasis on recent two-loop results for the
prediction of the W-boson mass in the Standard Model and leading three-loop
corrections to the rho parameter. The remaining theoretical uncertainties in
the prediction for the W-boson mass and the effective weak mixing angle are
discussed.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 15:24:24 GMT""}]","2011-07-19"
"hep-th/0312248","Raffaele Marotta","A. Liccardo, R. Marotta and F. Pezzella","Anomalies and Tadpoles in Open/Closed String Duality","LaTeX, 8 pages. Contribution to the proceedings of the workshop of
  the RTN Network ""The quantum structure of space-time and the geometric nature
  of fundamental interactions"", Copenhagen, September 2003","Class.Quant.Grav. 21 (2004) S1433-1440","10.1088/0264-9381/21/10/015",,"hep-th",,"  We discuss the role played by the divergences appearing in the interaction
between a fractional D3 brane dressed with an SU(N) gauge field and a stack of
N fractional D3 branes on the orbifolds C^2/Z_2 and C^3/(Z_2 x Z_2). In
particular we show that the logarithmic divergences in the closed string
channel, interpreted as due to twisted massless tadpoles, are mapped, under
open/closed string duality, in the logarithmic ones in the open string channel,
due to the massless states circulating in the annulus diagram and corresponding
to the one-loop divergences that one finds in the gauge theory living in the
world volume of the brane. This result provides a quantitative evidence of why
the chiral and scale anomalies of the supersymmetric and non conformal gauge
theories supported by the world volume of the branes can be inferred from
supergravity calculations.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 13:52:43 GMT""}]","2009-11-10"
"hep-th/0312251","Sophie de Buyl","Sophie de Buyl, Marc Henneaux, Bernard Julia and Louis Paulot","Cosmological billiards and oxidation","To appear in the Proceedings of the 27th Johns Hopkins Workshop and
  in the Proceedings of the 36th International Symposium Ahrenshoop; v2: minor
  error corrected","Fortsch.Phys. 52 (2004) 548-554","10.1002/prop.200310143","LPT-ENS/03-37 ULB-TH-03/42","hep-th",,"  We show how the properties of the cosmological billiards provide useful
information (spacetime dimension and $p$-form spectrum) on the oxidation
endpoint of the oxidation sequence of gravitational theories. We compare this
approach to the other available methods: $GL(n,R)$ subgroups and the
superalgebras of dualities.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 12:11:03 GMT""},{""version"":""v2"",""created"":""Fri, 6 Feb 2004 14:03:26 GMT""}]","2009-11-10"
"hep-th/0312256","Marco Cariglia","M. Cariglia, G. W. Gibbons, R. Guven, C. N. Pope","Non-Abelian pp-waves in D=4 supergravity theories","Latex, 1+12 pages","Class.Quant.Grav.21:2849-2858,2004","10.1088/0264-9381/21/12/005","DAMTP-2003-140, MIFP-03-24, MIT-CTP-3451","hep-th",,"  The non-Abelian plane waves, first found in flat spacetime by Coleman and
subsequently generalized to give pp-waves in Einstein-Yang-Mills theory, are
shown to be 1/2 supersymmetric solutions of a wide variety of N=1 supergravity
theories coupled to scalar and vector multiplets, including the theory of SU(2)
Yang-Mills coupled to an axion \sigma and dilaton \phi recently obtained as the
reduction to four-dimensions of the six-dimensional Salam-Sezgin model. In this
latter case they provide the most general supersymmetric solution. Passing to
the Riemannian formulation of this theory we show that the most general
supersymmetric solution may be constructed starting from a self-dual Yang-Mills
connection on a self-dual metric and solving a Poisson equation for e^\phi. We
also present the generalization of these solutions to non-Abelian AdS pp-waves
which allow a negative cosmological constant and preserve 1/4 of supersymmetry.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 21:47:10 GMT""}]","2008-11-26"
"hep-th/0312257","Mikhail Shifman","M. Shifman, A. Yung","Localization of Non-Abelian Gauge Fields on Domain Walls at Weak
  Coupling (D-brane Prototypes)","57 pages, 10 eps figures; Section 4.2.2 expanded; Section 6.4 added;
  typos corrected; 2 figures replaced by improved versions; Editorial
  corrections -- Final version to appear in Phys. Rev. D","Phys.Rev.D70:025013,2004","10.1103/PhysRevD.70.025013","FTPI-MINN-03/35, UMN-TH-2223/03, UMN-TH-2223/03, ITEP-TH-95/03","hep-th",,"  Building on our previous results, we study D-brane/string prototypes in
weakly coupled (3+1)-dimensional supersymmetric field theory engineered to
support (2+1)-dimensional domain walls, ""non-Abelian"" strings and various
junctions. Our main but not exclusive task is the study of localization of
non-Abelian gauge fields on the walls. The model we work with is N=2 QCD, with
the gauge group SU(2)x$U(1) and N_f=4 flavors of fundamental hypermultiplets
(referred to as quarks), perturbed by the Fayet-Iliopoulos term of the U(1)
factor. In the limit of large but almost equal quark mass terms a set of vacua
exists in which this theory is at weak coupling. We focus on these vacua
(called the quark vacua). We study elementary BPS domain walls interpolating
between selected quark vacua, as well as their bound state, a composite wall.
The composite wall is demonstrated to localize a non-Abelian gauge field on its
world sheet. Next, we turn to the analysis of recently proposed ""non-Abelian""
strings (flux tubes) which carry orientational moduli corresponding to
rotations of the ""color-magnetic"" flux direction inside a global O(3). We find
a 1/4-BPS solution for the string ending on the composite domain wall. The end
point of this string is shown to play the role of a non-Abelian (dual) charge
in the effective world volume theory of non-Abelian (2+1)-dimensional vector
fields confined to the wall.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 02:32:41 GMT""},{""version"":""v2"",""created"":""Mon, 22 Mar 2004 16:21:33 GMT""},{""version"":""v3"",""created"":""Sat, 22 May 2004 21:10:43 GMT""}]","2010-05-27"
"hep-th/0312259","David Ridout","Peter Bouwknegt and David Ridout","A Note on the Equality of Algebraic and Geometric D-Brane Charges in WZW
  Models","12 pages, fixed typos, added references and a couple of remarks","JHEP 0405 (2004) 029","10.1088/1126-6708/2004/05/029",,"hep-th",,"  The algebraic definition of charges for symmetry-preserving D-branes in
Wess-Zumino-Witten models is shown to coincide with the geometric definition,
for all simple Lie groups. The charge group for such branes is computed from
the ambiguities inherent in the geometric definition.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 04:42:20 GMT""},{""version"":""v2"",""created"":""Wed, 16 Jun 2004 00:48:54 GMT""}]","2009-11-10"
"hep-th/0312260","Takashi Maeda","Takashi Maeda, Toshio Nakatsu, Taku Oonishi","Non-Linear Field Equation from Boundary State Formalism","51 pages, 3 figures, minor changes, references added",,,"OU-HET 460","hep-th",,"  Boundary interactions of closed-string with open-strings are examined
intended to provide a constructive formulation of boundary string field theory.
As an illustration, we consider the BPS $D$-brane of the type II superstring in
a constant NS-NS two-form background, and study the boundary interaction with
arbitrary configurations of gauge field on the brane. The boundary interaction
is presented, within the world-sheet cut-off theories, as an off-shell boundary
state in the closed-string Hilbert space. It is regarded as a closed-string
theoretical counterpart of the Wilson loop in the world-volume gauge theory. We
show that the action of the closed-string BRST operator on the boundary state
is translated into the non-linear BRST transformation of the open-string fields
on the world-volume. In particular, the BRST invariance condition at the
$\alpha'$-order becomes the non-linear equation of motion for the
non-commutative gauge theory. The action of the closed-string BRST operator on
the boundary state is also shown to be identified with the beta functions of
the world-sheet renormalization group flow.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 08:29:09 GMT""},{""version"":""v2"",""created"":""Fri, 9 Jan 2004 06:09:08 GMT""}]","2007-05-23"
"hep-th/0312261","Yuri Shtanov","Yuri Shtanov and Alexander Viznyuk","Linearized gravity on the Randall-Sundrum two-brane background with
  curvature terms in the action for the branes","23 pages, revtex, published version","Class.Quant.Grav. 22 (2005) 987-1006","10.1088/0264-9381/22/6/007",,"hep-th gr-qc hep-ph",,"  We study gravitational perturbations in the Randall-Sundrum two-brane
background with scalar-curvature terms in the action for the branes, allowing
for positive as well as negative bulk gravitational constant. In the zero-mode
approximation, we derive the linearized gravitational equations, which have the
same form as in the original Randall-Sundrum model but with different
expressions for the effective physical constants. We develop a generic method
for finding tachyonic modes in the theory, which, in the model under
consideration, may exist only if the bulk gravitational constant is negative.
In this case, if both brane gravitational constants are nonzero, the theory
contains one or two tachyonic mass eigenvalues in the gravitational sector. If
one of the brane gravitational constants is set to zero, then either a single
tachyonic mass eigenvalue is present or tachyonic modes are totally absent
depending on the relation between the nonzero brane gravitational constant and
brane separation. In the case of negative bulk gravitational constant, the
massive gravitational modes have ghost-like character, while the massless
gravitational mode is not a ghost in the case where tachyons are absent.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 09:33:19 GMT""},{""version"":""v2"",""created"":""Sat, 10 Apr 2004 11:23:11 GMT""},{""version"":""v3"",""created"":""Thu, 27 Jan 2005 17:15:37 GMT""}]","2009-11-10"
"hep-th/0312262","Thomas Fischbacher","Thomas Fischbacher","Bulk Witten Indices from D=10 Yang Mills Integrals","13 pages, source package contains code to redo calculations. Results
  added that were missing in the first version due to a (now fixed) compiler
  bug","Nucl.Phys. B694 (2004) 525-535","10.1016/j.nuclphysb.2004.06.014","AEI-2003-113","hep-th",,"  Values for the bulk Witten indices for D=10 Yang-Mills integrals for some
regular simple groups of rank 4 and 5 are calculated by employing the BRST
deformation technique by Moore, Nekrasov and Shatashvili. The results cannot be
reconciled with the double assumption that the number of normalizable ground
states is given by certain simple partition functions given by Kac and Smilga
as well as that the corresponding boundary term is always negative.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 11:21:58 GMT""},{""version"":""v2"",""created"":""Mon, 23 Feb 2004 17:50:08 GMT""}]","2010-04-05"
"hep-th/0312263","Ingo Kirsch","J. Babington, J. Erdmenger (Humboldt U., Berlin), N. Evans
  (Southampton U.), Z. Guralnik, I. Kirsch (Humboldt U., Berlin)","A Gravity Dual of Chiral Symmetry Breaking","Talk given by I.K. at 36th International Symposium Ahrenshoop on the
  Theory of Elementary Particles: Recent Developments in String/M-Theory and
  Field Theory, Berlin, Germany, 26-30 Aug 2003, to appear in Fortsch.Phys","Fortsch.Phys. 52 (2004) 578-582","10.1002/prop.200310147",,"hep-th",,"  We establish a holographic description of chiral symmetry breaking for a
particular confining large N non-supersymmetric gauge theory with matter in the
fundamental representation. The gravity dual of this theory is obtained by
introducing a D7-brane probe into a deformed Anti-de Sitter background found by
Constable and Myers. We numerically compute the \bar\psi\psi condensate and
meson spectrum by solving the equation of motion of the D7-brane probe in this
background. We find a symmetry breaking condensate as well as the associated,
pion-like, Goldstone boson in the limit of small quark mass. The existence of
the condensate ensures that the D7-brane never reaches the naked singularity at
the origin of the deformed AdS space.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 11:48:45 GMT""}]","2009-11-10"
"hep-th/0312264","Bert Janssen","Joke Adam, Jos Gheerardyn, Bert Janssen, Yolanda Lozano","The gauge invariance of the non-Abelian Chern-Simons action for D-branes
  revisited","Latex, 11 pages. v2: reference added. v3: minor changes and typos
  corrected. version to appear in Phys. Lett. B","Phys.Lett. B589 (2004) 59-69","10.1016/j.physletb.2004.03.049","KUL-TF/03-35, FFUOV-03/16","hep-th",,"  We present an elegant method to prove the invariance of the Chern-Simons part
of the non-Abelian action for N coinciding D-branes under the R-R and NS-NS
gauge transformations, by carefully defining what is meant by a background
gauge transformation in the non-Abelian world volume action. We study as well
the invariance under massive gauge transformations of the massive Type IIA
supergravity and show that no massive dielectric couplings are necessary to
achieve this invariance. We show that this result is consistent with (massive)
T-duality from the non-Abelian action for N D9-branes.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 15:47:05 GMT""},{""version"":""v2"",""created"":""Tue, 20 Jan 2004 15:23:02 GMT""},{""version"":""v3"",""created"":""Tue, 23 Mar 2004 15:58:08 GMT""}]","2010-04-05"
"math-ph/0312053","Slawomir Klimek","Slawomir Klimek and Witold Kondracki","Ergodic properties of the quantum geodesic flow on tori","16 pages, latex",,,,"math-ph math.MP",,"  We study ergodic averages for a class of pseudodifferential operators on the
flat N-dimensional torus with respect to the Schr\""odinger evolution. The later
can be consider a quantization of the geodesic flow on $\bT^N$. We prove that,
up to semi-classically negligible corrections, such ergodic averages are
translationally invariant operators.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 16:42:01 GMT""}]","2007-05-23"
"math-ph/0312054","Kevin Zumbrun","Kevin Zumbrun","Stability of large-amplitude shock waves of compressible Navier--Stokes
  equations","Corrected/simplified proof of large-amplitude energy estimate,
  Section 4.1",,,,"math-ph math.MP",,"  We summarize recent progress on one- and multi-dimensional stability of
viscous shock wave solutions of compressible Navier--Stokes equations and
related symmetrizable hyperbolic--parabolic systems, with an emphasis on the
large-amplitude regime where transition from stability to instability may be
expected to occur. The main result is the establishment of rigorous necessary
and sufficient conditions for linearized and nonlinear planar viscous
stability, agreeing in one dimension and separated in multi-dimensions by a
codimension one set, that both extend and sharpen the formal conditions of
structural and dynamical stability found in classical physical literature. The
sufficient condition in multi-dimensions is new, and represents the main
mathematical contribution of this article. The sufficient condition for
stability is always satisfied for sufficiently small-amplitude shocks, while
the necessary condition is known to fail under certain circumstances for
sufficiently large-amplitude shocks; both are readily evaluable numerically.
The precise conditions under and the nature in which transition from stability
to instability occurs are outstanding open questions in the theory.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 21:35:13 GMT""},{""version"":""v2"",""created"":""Thu, 8 Jan 2004 19:02:41 GMT""}]","2007-05-23"
"math-ph/0312055","Pavel Exner","Pavel Exner and Sylwia Kondej","Schroedinger operators with singular interactions: a model of tunneling
  resonances","LaTeX2e, 34 pages","J. Phys. A37 (2004), 8255-8277","10.1088/0305-4470/37/34/005",,"math-ph cond-mat.mes-hall math.MP math.SP quant-ph",,"  We discuss a generalized Schr\""odinger operator in $L^2(\mathbb{R}^d),
d=2,3$, with an attractive singular interaction supported by a
$(d-1)$-dimensional hyperplane and a finite family of points. It can be
regarded as a model of a leaky quantum wire and a family of quantum dots if
$d=2$, or surface waves in presence of a finite number of impurities if $d=3$.
We analyze the discrete spectrum, and furthermore, we show that the resonance
problem in this setting can be explicitly solved; by Birman-Schwinger method it
is cast into a form similar to the Friedrichs model.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 09:27:26 GMT""}]","2020-02-03"
"math-ph/0312056","Wouter Kager","Wouter Kager and Bernard Nienhuis","A Guide to Stochastic Loewner Evolution and its Applications","80 pages, 22 figures, LaTeX; this version has 5 minor corrections to
  the text and improved hyperref support","J. Stat. Phys. 115:1149-1229 (2004)","10.1023/B:JOSS.0000028058.87266.be","ITFA-2003-62","math-ph cond-mat.stat-mech hep-th math.MP math.PR",,"  This article is meant to serve as a guide to recent developments in the study
of the scaling limit of critical models. These new developments were made
possible through the definition of the Stochastic Loewner Evolution (SLE) by
Oded Schramm. This article opens with a discussion of Loewner's method,
explaining how this method can be used to describe families of random curves.
Then we define SLE and discuss some of its properties. We also explain how the
connection can be made between SLE and the discrete models whose scaling limits
it describes, or is believed to describe. Finally, we have included a
discussion of results that were obtained from SLE computations. Some explicit
proofs are presented as typical examples of such computations. To understand
SLE sufficient knowledge of conformal mapping theory and stochastic calculus is
required. This material is covered in the appendices.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 11:26:31 GMT""},{""version"":""v2"",""created"":""Thu, 15 Jan 2004 12:40:00 GMT""},{""version"":""v3"",""created"":""Tue, 27 Jul 2004 07:02:06 GMT""}]","2007-05-23"
"math-ph/0312057","Tomasz Golinski","Alina Dobrogowska and Anatol Odzijewicz","Second order q-difference equations solvable by factorization method","21 pages",,,,"math-ph math.MP",,"  By solving an infinite nonlinear system of $q$-difference equations one
constructs a chain of $q$-difference operators. The eigenproblems for the chain
are solved and some applications, including the one related to $q$-Hahn
orthogonal polynomials, are discussed. It is shown that in the limit q->1 the
present method corresponds to the one developed by Infeld and Hull.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 14:41:05 GMT""}]","2007-05-23"
"math-ph/0312058","Igor Loutsenko","J. Harnad, I. Loutsenko, O. Yermolayeva","Constrained Reductions of 2D dispersionless Toda Hierarchy, Hamiltonian
  Structure and Interface Dynamics","18 pages LaTex, accepted to J.Math.Phys, Significantly updated
  version of the previous submission","J.Math.Phys. 46 (2005) 112701","10.1063/1.2104307",,"math-ph cond-mat.stat-mech hep-th math.DS math.MP physics.flu-dyn",,"  Finite-dimensional reductions of the 2D dispersionless Toda hierarchy,
constrained by the ``string equation'' are studied. These include solutions
determined by polynomial, rational or logarithmic functions, which are of
interest in relation to the ``Laplacian growth'' problem governing interface
dynamics. The consistency of such reductions is proved, and the Hamiltonian
structure of the reduced dynamics is derived. The Poisson structure of the
rationally reduced dispersionless Toda hierarchies is also derived
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 15:58:23 GMT""},{""version"":""v2"",""created"":""Wed, 7 Jan 2004 18:11:38 GMT""},{""version"":""v3"",""created"":""Tue, 17 Feb 2004 11:35:50 GMT""},{""version"":""v4"",""created"":""Tue, 13 Sep 2005 13:34:42 GMT""}]","2015-06-26"
"math/0312398","Peter E. Frenkel","P. E. Frenkel","Simple proof of Chebotarev's theorem on roots of unity","3 pages. References added",,,,"math.AC",,"  We give a simple proof of Chebotarev's theorem: Let $p$ be a prime and
$\omega $ a primitive $p$th root of unity. Then all minors of the matrix
$(\omega^{ij})_{i,j=0}^{p-1}$ are non-zero.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 14:45:04 GMT""},{""version"":""v2"",""created"":""Mon, 5 Jan 2004 16:47:25 GMT""},{""version"":""v3"",""created"":""Thu, 1 Jul 2004 10:38:44 GMT""}]","2007-05-23"
"math/0312402","Pablo A. Ferrari","Pablo A. Ferrari, Beat M. Niederhauser","Harness processes and harmonic crystals","21 pages. Revised version with minor changes. Version almost
  identical to the one to be published in SPA","Stochastic Process. Appl. 116 (2006), no. 6, 939--956","10.1016/j.spa.2005.12.004",,"math.PR math-ph math.MP",,"  In the Hammersley harness processes the real-valued height at each site i in
Z^d is updated at rate 1 to an average of the neighboring heights plus a
centered random variable (the noise). We construct the process ""a la Harris""
simultaneously for all times and boxes contained in Z^d. With this
representation we compute covariances and show L^2 and almost sure time and
space convergence of the process. In particular, the process started from the
flat configuration and viewed from the height at the origin converges to an
invariant measure. In dimension three and higher, the process itself converges
to an invariant measure in L^2 at speed t^{1-d/2} (this extends the convergence
established by Hsiao). When the noise is Gaussian the limiting measures are
Gaussian fields (harmonic crystals) and are also reversible for the process.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 18:44:32 GMT""},{""version"":""v2"",""created"":""Wed, 4 Jan 2006 12:45:33 GMT""}]","2011-11-10"
"math/0312403","Alan Horwitz","Alan Horwitz","The locus of centers of ellipses inscribed in quadrilaterals","Submitted for publication to the American Mathematical Monthly-5
  pages. No figures",,,,"math.CA",,"  Let R be a four-sided convex polygon in the xy plane and let M1 and M2 be the
midpoints of the diagonals of R. It is well-known that if E is an ellipse
inscribed in R, then the center of E must lie on Z, the open line segment
connecting M1 and M2. We prove the converse: If (h,k) lies in Z, then there is
a unique ellipse with center (h,k) inscribed in R. This completely
characterizes the locus of centers of ellipses inscribed in R. This result was
proved by the author in (""Finding ellipses and hyperbolas tangent to two,
three, or four given lines"", Southwest Journal of Pure and Applied Mathematics
1(2002), 6-32), but the approach given here is decidedly different and much
shorter and more succinct. In addition, we are also able to prove that there is
a unique ellipse of maximal area inscribed in R. The approach in this paper is
to use a theorem of Marden relating the foci of an ellipse tangent to the lines
thru the sides of a triangle and the zeros of a partial fraction expansion.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 03:00:15 GMT""}]","2007-05-23"
"math/0312404","Alan Horwitz","Alan Horwitz","Ratio vectors of fourth degree polynomials","26C10","Journal of Mathematical Analysis and Applications, 313(2006),
  132-141",,,"math.CA",,"  Let p(x) be a polynomial of degree 4 with four distinct real roots
r1<r2<r3<r4. Let x1<x2<x3 be the critical points of p, and define the ratios
s_{k}=((x_{k}-r_{k})/(r_{k+1}-r_{k})),k=1,2,3. For notational convenience, let
s1=u, s2=v, and s3=w. (u,v,w) is called the ratio vector of p. We prove
necessary and sufficient conditions for (u,v,w) to be a ratio vector of a
polynomial of degree 4 with all real roots. Most of the necessary conditions
were proven by the author in (On the Ratio Vectors of Polynomials, Journal of
Mathematical Analysis and Applications 205(1997), 568-576). The main results of
this paper involve using the theory of Groebner bases to prove that those
conditions are also sufficient.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 03:06:56 GMT""}]","2013-08-16"
"math/0312405","Peter Kropholler","P. H. Kropholler, S. Mosheni Rajaei and J. Segal","Invariant rings of orthogonal groups over the field of two elements","41 pages",,,"2003/54","math.GR math.AC",,"  We determine the rings of invariants in the symmetric algebra on the dual of
a vector space V over the field of two elements, for the group G of orthogonal
transformations preserving a non-singular quadratic form on V. The invariant
ring is shown to have a presentation in which the difference between the number
of generators and the number of relations is equal to the minimum possibility,
namely the dimension of V, and it is shown to be a complete intersection. In
particular, the rings of invariants computed here are all Gorenstein and hence
Cohen-Macaulay.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 09:54:05 GMT""}]","2007-05-23"
"math/0312406","Evgeny Mukhin","Evgeny Mukhin and Alexander Varchenko","Miura Opers and Critical Points of Master Functions","Latex, 27 pages",,,,"math.QA",,"  Critical points of a master function associated to a simple Lie algebra \g
come in families called the populations [MV1]. We prove that a population is
isomorphic to the flag variety of the Langlands dual Lie algebra \g^t. The
proof is based on the correspondence between critical points and differential
operators called the Miura opers.
  For a Miura oper D, associated with a critical point of a population, we show
that all solutions of the differential equation DY=0 can be written explicitly
in terms of critical points composing the population.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 11:20:18 GMT""},{""version"":""v2"",""created"":""Tue, 12 Oct 2004 21:14:20 GMT""}]","2007-05-23"
