"astro-ph/0311002","Luis Anchordoqui","Luis A. Anchordoqui, Haim Goldberg, Francis Halzen, and Thomas J.
  Weiler","Galactic Point Sources of TeV Antineutrinos","matches published version","Phys.Lett.B593:42,2004","10.1016/j.physletb.2004.04.054","NUB-3242-Th-03; MADPH-03-1355","astro-ph hep-ph",,"  High energy cosmic ray experiments have identified an excess from the region
of the Galactic Plane in a limited energy range around $10^{18}$ eV (EeV). This
is very suggestive of neutrons as candidate primaries, because the directional
signal requires relatively-stable neutral primaries, and time-dilated neutrons
can reach Earth from typical Galactic distances when the neutron energy exceeds
an EeV. We here point out that if the Galactic messengers are neutrons, then
those with energies below an EeV will decay in flight, providing a flux of
cosmic antineutrinos above a TeV which is {\it observable} at a kilometer-scale
neutrino observatory. The expected event rate per year above 1 TeV in a
detector such as IceCube, for example, is 20 antineutrino showers (all flavors)
and a $1^\circ$ directional signal of 4 $\bar \nu_\mu$ events. A measurement of
this flux can serve to identify the first extraterrestrial point source of TeV
antineutrinos.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 17:33:25 GMT""},{""version"":""v2"",""created"":""Mon, 22 Mar 2004 15:30:12 GMT""},{""version"":""v3"",""created"":""Thu, 19 Aug 2004 15:16:35 GMT""}]","2011-05-12"
"cond-mat/0311055","Yue Zhao","Y. Zhao, M. Ionescu, J. Horvat, A. H. Li, S. X. Dou","Si doping on MgB2 thin films by pulsed laser deposition","7 pages, 7 figures; typos corrected in Figure 5",,,,"cond-mat.supr-con",,"  A series of MgB2 thin films were fabricated by pulsed laser deposition (PLD),
doped with various amounts of Si up to a level of 18wt%. Si was introduced into
the PLD MgB2 films by sequential ablation of a stoichiometric MgB2 target and a
Si target. The doped films were deposited at 250 C and annealed in situ at 685
C for 1min. Up to a Si doping level of ~11wt%, the superconducting transition
temperature (Tc) of the film does not change significantly, as compared to the
control, undoped film. The magnetic critical current density (Jc) of the film
at 5K was increased by 50% for a Si doping level of ~3.5wt%, as compared to the
control film. Also, the irreversibility field of Si-doped MgB2 films (Hirr) at
low temperature is higher than for the undoped film.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 00:54:40 GMT""},{""version"":""v2"",""created"":""Thu, 6 Nov 2003 07:22:16 GMT""}]","2007-05-23"
"cond-mat/0311056","Vladimir Korepin","Vladimir Korepin","Universality of Entropy Scaling in 1D Gap-less Models","A section on spin chains with arbitrary value of spin is included.
  The entropy of a subsystem is calculated explicitly as a function of spin.
  References updated","Physical Review Letters, vol 92, issue 9, electronic identifier
  096402, 05 March 2004","10.1103/PhysRevLett.92.096402",,"cond-mat.str-el cond-mat.stat-mech physics.atom-ph quant-ph",,"  We consider critical models in one dimension. We study the ground state in
thermodynamic limit [infinite lattice]. Following Bennett, Bernstein, Popescu,
and Schumacher, we use the entropy of a sub-system as a measure of
entanglement. We calculate the entropy of a part of the ground state. At zero
temperature it describes entanglement of this part with the rest of the ground
state. We obtain an explicit formula for the entropy of the subsystem at low
temperature. At zero temperature we reproduce a logarithmic formula of Holzhey,
Larsen and Wilczek. Our derivation is based on the second law of
thermodynamics. The entropy of a subsystem is calculated explicitly for Bose
gas with delta interaction, the Hubbard model and spin chains with arbitrary
value of spin.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 01:50:58 GMT""},{""version"":""v2"",""created"":""Thu, 20 Nov 2003 21:37:55 GMT""},{""version"":""v3"",""created"":""Sat, 10 Jan 2004 22:26:27 GMT""},{""version"":""v4"",""created"":""Sun, 24 Jul 2005 17:52:33 GMT""}]","2009-11-10"
"cond-mat/0311057","Leonid Pechenik","M. L. Falk, J. S. Langer and L. Pechenik","Thermal Effects in the Shear-Transformation-Zone Theory of Amorphous
  Plasticity: Comparisons to Metallic Glass Data","27 pages, 7 figures",,"10.1103/PhysRevE.70.011507",,"cond-mat.mtrl-sci",,"  We extend our earlier shear-transformation-zone (STZ) theory of amorphous
plasticity to include the effects of thermally assisted molecular
rearrangements. This version of our theory is a substantial revision and
generalization of conventional theories of flow in noncrystalline solids. As in
our earlier work, it predicts a dynamic transition between jammed and flowing
states at a yield stress. Below that yield stress, it now describes thermally
assisted creep. We show that this theory accounts for the experimentally
observed strain-rate dependence of the viscosity of metallic glasses, and that
it also captures many of the details of the transient stress-strain behavior of
those materials during loading. In particular, it explains the apparent onset
of superplasticity at sufficiently high stress as a transition between creep at
low stresses and plastic flow near the yield stress. We also argue that there
are internal inconsistencies in the conventional theories of these deformation
processes, and suggest ways in which further experimentation as well as
theoretical analysis may lead to better understanding of a broad range of
nonequilibrium phenomena.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 02:25:25 GMT""},{""version"":""v2"",""created"":""Tue, 13 Apr 2004 01:58:19 GMT""}]","2009-11-10"
"cond-mat/0311058","Masatoshi Sato","Masafumi Ito, Yukio Yasui, Satoshi Iikubo, Minoru Soda, Akito
  Kobayashi, Masatoshi Sato, Kazuhisa Kakurai, Chul-Ho Lee and Kazuyoshi Yamada","Studies on Magnetic Excitation Spectra of High-Tc Superconductors","16 pages, 12 figures, J. Phys. Soc. Jpn. submitted","J. Phys. Soc. Jpn. 73 (2004) No.4 991.","10.1143/JPSJ.73.991",,"cond-mat.supr-con cond-mat.str-el",,"  Magnetic excitation spectra c""(q,w) of YBa2Cu3Oy, La2-xSrxCuO4,
La2-y-xNdySrxCuO4 and Nd2-xCexCuO4 are compared with those of model
calculations, where q and w are the wave vector and the energy of the
excitations. In the model, the dynamical spin susceptibility is calculated by
the expression c(q,w)= c0(q,w)/{1+J(q)c0(q,w)}, where c0(q,w) is obtained by
adopting the effective energy dispersion of the quasi particles which can
reproduce the shapes of the Fermi surface, and J(q) is the exchange coupling
between the Cu-Cu electrons. It is important to consider the experimentally
observed quasi particle broadening (G) to reproduce the observed spectra of
YBa2Cu3Oy, while to reproduce the data of La2-xSrxCuO4 and La2-y-xNdySrxCuO4,
very small G values have to be used, even in the phases without the static
""stripe"" order. This may be caused by the existence of the ""stripe""
correlations or ""stripe"" fluctuations.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 03:06:40 GMT""}]","2009-11-10"
"cond-mat/0311059","Pearl Louis","Pearl J.Y. Louis, Elena A. Ostrovskaya and Yuri S. Kivshar","Dark Matter-Wave Solitons in Optical Lattices","15 pages, 7 figures, submitted to J. Opt. B; Topical Issue: Optical
  Solitons",,,,"cond-mat",,"  We analyze the Floquet-Bloch matter-wave spectrum of Bose-Einstein
condensates loaded into single-periodic optical lattices and double-periodic
superlattices. In the framework of the Gross-Pitaevskii equation, we describe
the structure and analyze the mobility properties of dark matter-wave solitons
residing on the background of extended nonlinear Bloch-type states. We
demonstrate that interaction between dark solitons can be effectively
controlled in optical superlattices.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 05:00:18 GMT""}]","2007-05-23"
"cond-mat/0311060","Pawel Utko","P. Utko, K. Gloos, J. B. Hansen, and P. E. Lindelof","An improved 2.5 GHz electron pump: single-electron transport through
  shallow-etched point contacts driven by surface acoustic waves","11 pages, 4 figures","Acta Phys. Pol. A 103 (6): 533-538 June 2003",,,"cond-mat.mes-hall",,"  We present an experimental study of a 2.5 GHz electron pump based on the
quantized acoustoelectric current driven by surface acoustic waves (SAWs)
through a shallow-etched point contact in a GaAs/AlGaAs heterostructure. At low
temperatures and with an additional counter-propagating SAW beam, up to n = 20
current plateaus at I=nef could be resolved, where n is an integer, e the
electron charge, and f the SAW frequency. In the best case the accuracy of the
first plateau at 0.40 nA was estimated to be dI/I = +/- 25 ppm over 0.25 mV in
gate voltage, which is better than previous results.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 09:17:48 GMT""}]","2007-05-23"
"cond-mat/0311061","Dong-Lai Yao","Hua Xiukun","Strong-coupling surface polaron in a magnetic field","13 pages, 3 figures",,,,"cond-mat.mtrl-sci",,"  By applying variational method, the strong electron-surface optical(SO)
phonon interaction and the weak electron-longitudinal optical (LO) phonon
interaction are studied systematically in present paper. The formula of induced
energy $V_{e-so}$, $V_{e-lo}$ in both the ground and excited states are given.
The numerical results show that as the distance between the electron and the
polar crystal surface increases, the electron-LO phonon interaction energy
increases yet the electron-SO phonon interaction energy decreases. The
numerical results also show that both electron-LO and electron-SO phonon
interaction are enhanced as the magnetic field strength increases.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 09:21:00 GMT""}]","2007-05-23"
"cond-mat/0311062","Dr. Banasri Basu","B. Basu and P. Bandyopadhyay","Novel Families of Fractional Quantum Hall States : A Berry Phase
  Approach","5 pages","Phys. Lett. A Vol-337 (2005) 81","10.1016/j.physleta.2005.01.045",,"cond-mat.mes-hall",,"  We have studied here the newly observed families of fractional quantum Hall
states in the framework of Berry phase. It has been shown that this approach
embraces in a unified way the whole spectrum of quantum Hall states with their
various characteristic features. The newly observed states can be well
accommodated within the primary sequence of FQH states and need not be
considered as second generation FQH states as suggested by some authors.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 09:49:10 GMT""}]","2016-08-31"
"cond-mat/0311063","Mario Cuoco","Mario Cuoco, Paola Gentile, Canio Noce","Coexistence of ferromagnetism and singlet superconductivity via kinetic
  exchange","4 pages, 2 figures","Phys. Rev. Lett. 91, 197003 (2003)","10.1103/PhysRevLett.91.197003",,"cond-mat.supr-con",,"  We propose a novel mechanism for the coexistence of metallic ferromagnetism
and singlet superconductivity assuming that the magnetic instability is due to
kinetic exchange. Within this scenario, the unpaired electrons which contribute
to the magnetization have a positive feedback on the gain of the kinetic energy
in the coexisting phase by undressing the effective mass of the carriers
involved into the pairing. The evolution of the magnetization and pairing
amplitude, and the phase diagram are first analyzed for a generic kinetic
exchange model and then are determined within a specific case with spin
dependent bond-charge occupation.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 10:20:56 GMT""}]","2009-11-10"
"cond-mat/0311064","Paul G. Freeman","P. G. Freeman, A. T. Boothroyd, D. Prabhakaran, D. Gonz\'alez","Magnetization of Charge-ordered la(2-x)sr(x)nio(4+delta)","2 pages, 2 figures. Presented at ICM2003 to appear in J. Magn. Magn.
  Matr","J. Mag. Mag. Mat. 272-276, Part 2, 958 (2004).","10.1016/j.jmmm.2003.12.022",,"cond-mat.str-el",,"  We report magnetization measurements on La(2-x)Sr(x)NiO(4+ delta) single
crystals, with 0 < x < 0.5. Glassy behaviour associated with the formation of
spin-charge stripes, and a separate spin-glass phase at low temperatures were
observed. We have also found a `memory effect' in the magnetic field --
temperature history, which is found to be suppressed in the low temperature
spin state of the x = 0.33 crystal.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 10:41:27 GMT""}]","2016-08-16"
"cond-mat/0311065","Igor Bondarev Dr. hab.","I.V.Bondarev, G.Ya.Slepyan, S.A.Maksimenko, and Ph.Lambin","Vacuum-field Rabi oscillations in atomically doped carbon nanotubes","4 pages, 2 figures","Phys. Lett. A 328, 235 (2004)","10.1016/j.physleta.2004.06.017",,"cond-mat",,"  We report a strictly non-exponential spontaneous decay dynamics of an excited
two-level atom placed inside or at different distances outside a carbon
nanotube. This is the result of strong non-Markovian memory effects arising
from the rapid frequency variation of the photonic density of states near the
nanotube. The system exhibits vacuum-field Rabi oscillations when the atom is
close enough to the nanotube surface and the atomic transition frequency is in
the vicinity of the resonance of the photonic density of states.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 10:43:54 GMT""},{""version"":""v2"",""created"":""Fri, 16 Jan 2004 16:18:01 GMT""}]","2009-11-10"
"cond-mat/0311066","Georgios Kavoulakis","A. D. Jackson (1) and G. M. Kavoulakis (2) ((1) Niels Bohr Institute,
  (2) Lund)","Vortices in Bose-Einstein condensates with anharmonic confinement","4 pages, 2 ps figures, RevTex","Phys. Rev. A, 70 (2004) 023601","10.1103/PhysRevA.70.023601",,"cond-mat.stat-mech",,"  We examine an effectively repulsive Bose-Einstein condensate of atoms, that
rotates in a quadratic-plus-quartic trapping potential. We investigate the
phase diagram of the system as a function of the angular frequency of rotation
and of the coupling constant, demonstrating that there are phase transitions
between multiply- and singly-quantized vortex states. The derived phase diagram
is shown to be universal and exact in the limits of small anharmonicity and
weak coupling constant.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 11:10:11 GMT""}]","2015-06-24"
"cond-mat/0311067","Tsuyoshi Yamamoto","T. Yamamoto, Yu. A. Pashkin, O. Astafiev, Y. Nakamura, J. S. Tsai","Demonstration of conditional gate operation using superconducting charge
  qubits",,"Nature 425, 941 (2003)","10.1038/nature02015",,"cond-mat.mes-hall",,"  Since the first demonstration of coherent control of a quantum state of a
superconducting charge qubit a variety of Josephson-junction-based qubits have
been implemented with remarkable progress in coherence time and read-out
schemes. Although the current level of this solid-state device is still not as
advanced as that of the most advanced microscopic-system-based qubits, these
developments, together with the potential scalability, have renewed its
position as a strong candidate as a building block for the quantum computer.
Recently, coherent oscillation and microwave spectroscopy in
capacitively-coupled superconducting qubits have been reported. The next
challenging step toward quantum computation is a realization of logic gates.
Here we demonstrate a conditional gate operation using a pair of coupled
superconducting charge qubits. Using a pulse technique, we prepare different
input states and show that they can be transformed by controlled-NOT (C-NOT)
gate operation in the amplitude of the states. Although the phase evolution
during the gate operation is still to be clarified, the present results are a
major step toward the realization of a universal solid-state quantum gate.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 11:39:31 GMT""}]","2009-11-10"
"cond-mat/0311068","Yousuke Kobayashi","Yousuke Kobayashi (TITech), Kazuyuki Takai (TITech), Ken-ichi Fukui
  (TITech), Toshiaki Enoki (TITech), Kikuo Harigaya (AIST), Yutaka Kaburagi
  (Mi-Tech), and Yukihiro Hishiyama (Mi-Tech)","STM observation of the quantum interference effect in finite-sized
  graphite","11 pages; 2 figures; accepted for publication in J. Phys. Chem.
  Solids; ISIC12","Journal of Physics and Chemistry of Solids, Volume 65, Issues 2-3,
  March 2004, Pages 199-203","10.1016/j.jpcs.2003.10.016",,"cond-mat.mtrl-sci cond-mat.mes-hall physics.chem-ph",,"  Superperiodic patterns were observed by STM on two kinds of finite-sized
graphene sheets. One is nanographene sheets inclined from a highly oriented
pyrolitic graphite (HOPG) substrate and the other is several-layer-thick
graphene sheets with dislocation-network structures against a HOPG substrate.
As for the former, the in-plane periodicity increased gradually in the
direction of inclination, and it is easily changed by attachment of a
nanographite flake on the nanographene sheets. The oscillation pattern can be
explained by the interference of electron waves confined in the inclined
nanographene sheets. As for the latter, patterns and their corrugation
amplitudes depended on the bias voltage and on the terrace height from the HOPG
substrate. The interference effect by the perturbed and unperturbed waves in
the overlayer is responsible for the patterns whose local density of states
varies in space.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 12:01:33 GMT""},{""version"":""v2"",""created"":""Tue, 20 Jan 2004 14:34:35 GMT""}]","2007-05-23"
"cond-mat/0311069","Yousuke Kobayashi","Yousuke Kobayashi (TITech), Kazuyuki Takai (TITech), Ken-ichi Fukui
  (TITech), Toshiaki Enoki (TITech), Kikuo Harigaya (AIST), Yutaka Kaburagi
  (Mi-Tech), and Yoshihiro Hishiyama (Mi-Tech)","STM observation of electronic wave interference effect in finite-sized
  graphite with dislocation-network structures","8 pages; 6 figures; Paper which a part of cond-mat/0311068 is
  disscussed in detail","Physical Review B 69, 035418 (2004)","10.1103/PhysRevB.69.035418",,"cond-mat.mtrl-sci cond-mat.mes-hall physics.chem-ph",,"  Superperiodic patterns near a step edge were observed by STM on
several-layer-thick graphite sheets on a highly oriented pyrolitic graphite
substrate, where a dislocation network is generated at the interface between
the graphite overlayer and the substrate. Triangular- and rhombic-shaped
periodic patterns whose periodicities are around 100 nm were observed on the
upper terrace near the step edge. In contrast, only outlines of the patterns
similar to those on the upper terrace were observed on the lower terrace. On
the upper terrace, their geometrical patterns gradually disappeared and became
similar to those on the lower terrace without any changes of their periodicity
in increasing a bias voltage. By assuming a periodic scattering potential at
the interface due to dislocations, the varying corrugation amplitudes of the
patterns can be understood as changes in LDOS as a result of the beat of
perturbed and unperturbed waves, i.e. the interference in an overlayer. The
observed changes in the image depending on an overlayer height and a bias
voltage can be explained by the electronic wave interference in the ultra-thin
overlayer distorted under the influence of dislocation-network structures.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 12:15:55 GMT""},{""version"":""v2"",""created"":""Thu, 6 Nov 2003 13:26:03 GMT""},{""version"":""v3"",""created"":""Wed, 4 Feb 2004 04:28:16 GMT""}]","2007-05-23"
"cond-mat/0311071","Andreas Voigt","Andreas Voigt","Quantum phase transition in the Plaquette lattice with anisotropic spin
  exchange","LaTeX article with 4 pages and 3 figures, prepared with material for
  the ICM 2003",,"10.1016/j.jmmm.2003.12.1145",,"cond-mat.str-el cond-mat.stat-mech",,"  I study the influence of anisotropic spin exchange on a quantum phase
transition in the Plaquette lattice driven by the purely quantum effect of
singlet formation. I study the influence of i) a Dzyaloshinskii-Moriya exchange
and ii) four spin exchange on the transition point by evaluating spin--spin
correlations and the spin gap with exact diagonalization. The results point to
a stabilization of the Neel-like long range order when the
Dzyaloshinskii-Moriya exchange is added, whereas the four-spin exchange might
stabilize the singlet order as well as the Neel-like order depending on its
strength.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 14:14:06 GMT""}]","2015-06-24"
"cond-mat/0311072","Sebastien Manneville","S. Manneville, L. Becu, A. Colin","High-frequency ultrasonic speckle velocimetry in sheared complex fluids","15 pages, 18 figures, submitted to Eur. Phys. J. AP","Eur. Phys. J. AP, vol. 28, 361-373 (2004)","10.1051/epjap:2004165",,"cond-mat.soft",,"  High-frequency ultrasonic pulses at 36 MHz are used to measure velocity
profiles in a complex fluid sheared in the Couette geometry. Our technique is
based on time-domain cross-correlation of ultrasonic speckle signals
backscattered by the moving medium. Post-processing of acoustic data allows us
to record a velocity profile in 0.02--2 s with a spatial resolution of 40
$\mu$m over 1 mm. After a careful calibration using a Newtonian suspension, the
technique is applied to a sheared lyotropic lamellar phase seeded with
polystyrene spheres of diameter 3--10 $\mu$m. Time-averaged velocity profiles
reveal the existence of inhomogeneous flows, with both wall slip and shear
bands, in the vicinity of a shear-induced ``layering'' transition. Slow
transient regimes and/or temporal fluctuations can also be resolved and exhibit
complex spatio-temporal flow behaviors with sometimes more than two shear
bands.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 15:33:38 GMT""}]","2009-11-10"
"cs/0311001","Bernhard Peischl","Bernhard Peischl, Franz Wotawa","Modeling State in Software Debugging of VHDL-RTL Designs -- A
  Model-Based Diagnosis Approach",,,,,"cs.AI cs.SE",,"  In this paper we outline an approach of applying model-based diagnosis to the
field of automatic software debugging of hardware designs. We present our
value-level model for debugging VHDL-RTL designs and show how to localize the
erroneous component responsible for an observed misbehavior. Furthermore, we
discuss an extension of our model that supports the debugging of sequential
circuits, not only at a given point in time, but also allows for considering
the temporal behavior of VHDL-RTL designs. The introduced model is capable of
handling state inherently present in every sequential circuit. The principal
applicability of the new model is outlined briefly and we use industrial-sized
real world examples from the ISCAS'85 benchmark suite to discuss the
scalability of our approach.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 19:29:31 GMT""}]","2009-09-29"
"cs/0311002","Andy King","Florence Benoy and Andy King and Fred Mesnard","Computing Convex Hulls with a Linear Solver","13 pages, 1 figure",,,,"cs.PL",,"  A programming tactic involving polyhedra is reported that has been widely
applied in the polyhedral analysis of (constraint) logic programs. The method
enables the computations of convex hulls that are required for polyhedral
analysis to be coded with linear constraint solving machinery that is available
in many Prolog systems.
  To appear in Theory and Practice of Logic Programming (TPLP)
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 12:43:54 GMT""}]","2007-05-23"
"gr-qc/0311007","Matthew R. Francis","Matthew R. Francis and Arthur Kosowsky","Geometric Algebra Techniques for General Relativity","34 pages, 0 figures; submitted to Annals of Physics","Annals Phys. 311 (2004) 459-502","10.1016/j.aop.2003.12.009",,"gr-qc",,"  Geometric (Clifford) algebra provides an efficient mathematical language for
describing physical problems. We formulate general relativity in this language.
The resulting formalism combines the efficiency of differential forms with the
straightforwardness of coordinate methods. We focus our attention on
orthonormal frames and the associated connection bivector, using them to find
the Schwarzschild and Kerr solutions, along with a detailed exposition of the
Petrov types for the Weyl tensor.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 16:43:29 GMT""}]","2007-05-23"
"gr-qc/0311008","Lorenzo Iorio","Lorenzo Iorio","Some comments on a recently derived approximated solution of the
  Einstein equations for a spinning body with negligible mass","Latex2e, 17 pages, no tables, 5 figures, minor typos corrected. To
  appear in general Relativity and Gravitation","Gen.Rel.Grav. 36 (2004) 1987-2003","10.1023/B:GERG.0000038466.94639.d6",,"gr-qc",,"  Recently, an approximated solution of the Einstein equations for a rotating
body whose mass effects are negligible with respect to the rotational ones has
been derived by Tartaglia. At first sight, it seems to be interesting because
both external and internal metric tensors have been consistently found,
together an appropriate source tensor; moreover, it may suggest possible
experimental checks since the conditions of validity of the considered metric
are well satisfied at Earth laboratory scales. However, it should be pointed
out that reasonable doubts exist if it is physically meaningful because it is
not clear if the source tensor related to the adopted metric can be realized by
any real extended body. Here we derive the geodesic equations of the metric and
analyze the allowed motions in order to disclose possible unphysical features
which may help in shedding further light on the real nature of such
approximated solution of the Einstein equations.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 21:24:06 GMT""},{""version"":""v2"",""created"":""Thu, 11 Mar 2004 00:05:42 GMT""}]","2007-05-23"
"gr-qc/0311009","Sijie Gao","Sijie Gao, Xiaoning Wu","Position space of Doubly Special Relativity","13 pages, no figure",,,,"gr-qc",,"  We consider three possible approaches to formulating coordinate
transformations on position space associated with non-linear Lorentz
transformations on momentum space. The first approach uses the definition of
velocity and gives the standard Lorentz transformation. In the second method,
we translate the behavior in momentum space into position space by means of
Fourier transform. Under certain conditions, it also gives the standard Lorentz
transformation on position space. The third approach investigates the
covariance of the modified Klein-Gordon equation obtained from the dispersion
relation.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 10:20:50 GMT""},{""version"":""v2"",""created"":""Mon, 8 Dec 2003 10:32:34 GMT""}]","2007-05-23"
"gr-qc/0311010","Peter Hogan","C. Barrabes and P. A. Hogan","Deflection of Highly Relativistic Particles in a Gravitational Field","18 pages, 2 figures, accepted for publication in Classical and
  Quantum Gravity","Class.Quant.Grav. 21 (2004) 405-416","10.1088/0264-9381/21/2/005",,"gr-qc",,"  A novel approach to the calculation of the deflection of highly relativistic
test particles in gravitational fields is described. We make use of the
light-like boosts of the gravitational fields of the sources. Examples are
given of the deflection of highly relativistic particles in the Schwarzschild
and Kerr gravitational fields, in the field of a static, axially symmetric,
multipole source and in the field of a cosmic string. The deflection of
spinning particles is also discussed.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 14:35:31 GMT""},{""version"":""v2"",""created"":""Wed, 17 Dec 2003 12:47:23 GMT""}]","2009-11-10"
"hep-ex/0311007","Jason Detwiler","Jason Detwiler (the KamLAND Collaboration)","Recent Results from KamLAND","Invited talk at the SLAC Summer Insitute, July 2003 (SSI03). 16
  pages, LaTex, 8 eps figures","ECONF C0307282:TW04,2003",,,"hep-ex",,"  The Kamioka Liquid-scintillator Anti-Neutrino Detector (KamLAND) has detected
for the first time the disappearance of electron antineutrinos from a
terrestrial source at the 99.95% C.L. Interpreted in terms of neutrino
oscillations, the best fit to the KamLAND data gives a mixing angle 1.0 and a
mass-squared difference 6.9 x 10^-5 eV^2, in excellent agreement with the Large
Mixing Angle solution to the solar neutrino problem. Assuming CPT invariance,
this result excludes other solutions to the solar neutrino problem at > 99.95%
C.L.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 03:36:44 GMT""}]","2011-07-19"
"hep-ex/0311008","Michael Mazur","B. Aubert, et al, BABAR Collaboration","Measurement of the Average $\phi$ Multiplicity in $B$ Meson Decay","9 pages, 4 figures, submitted to Phys. Rev. D","Phys.Rev.D69:052005,2004","10.1103/PhysRevD.69.052005",,"hep-ex",,"  We present a measurement of the average multiplicity of $\phi$ mesons in
$B^0$, $\kern 0.18em\bar{\kern -0.18em B}{}^0$ and $B^\pm$ meson decays. Using
$17.6 fb^{-1}$ of data taken at the $\Upsilon{(4S)}\xspace$ resonance by the
{\slshape B\kern-0.1em{\smaller A}\kern-0.1em B\kern-0.1em{\smaller
A\kern-0.2em R}} detector at the PEP-II $e^+e^-\xspace$ storage ring at the
Stanford Linear Accelerator Center, we reconstruct $\phi$ mesons in the
$K^+K^-$ decay mode and measure ${\cal{B}}(B\to \phi X) =
(3.41\pm0.06\pm0.12)%$. This is significantly more precise than any previous
measurement.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 07:28:05 GMT""}]","2008-11-26"
"hep-ex/0311009","Katarzyna Perl","The NA49 Collaboration","Transverse Momentum Fluctuations in Nuclear Collisions at 158 AGeV","will be submitted to Phys. Rev. C","Phys.Rev. C70 (2004) 034902","10.1103/PhysRevC.70.034902",,"hep-ex nucl-ex",,"  Results are presented on event-by-event fluctuations in transverse momentum
of charged particles, produced at forward rapidities in p+p, C+C, Si+Si and
Pb+Pb collisions at 158 AGeV. Three different characteristics are discussed:
the average transverse momentum of the event, the Phi_pT fluctuation measure
and two-particle transverse momentum correlations. In the kinematic region
explored, the dynamical fluctuations are found to be small. However, a
significant system size dependence of Phi_pT is observed, with the largest
value measured in peripheral Pb+Pb interactions. The data are compared with
predictions of several models.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 15:37:44 GMT""},{""version"":""v2"",""created"":""Thu, 6 Nov 2003 16:47:25 GMT""}]","2013-05-29"
"hep-lat/0311003","Changhoan Kim","Changhoan Kim","I=2 $\pi\pi$ scattering using G-parity boundary condition","Lattice 2003, 3 pages, 6 figures",,"10.1016/S0920-5632(03)02528-3",,"hep-lat",,"  To make the $\pi\pi$ state with non-zero relative momentum as the leading
exponential, we impose anti-periodic boundary condition on the pion, which is
implemented by imposing G-parity or H-parity on the quark fields at the
boundary. With this, we calculate the I=2 $\pi\pi$ phase shift from lattice
simulation by using L\""uscher's formula.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 18:48:02 GMT""}]","2009-11-10"
"hep-lat/0311004","Quentin Mason","Eduardo Follana, Quentin Mason, Christine Davies, Kent Hornbostel,
  Peter Lepage and Howard Trottier","Further Improvements to Staggered Quarks","3 pages, 3 figures, uses espcrc2 and feynmp.sty. Contribution to
  Lattice2003(improve)",,"10.1016/S0920-5632(03)02610-0",,"hep-lat",,"  The improved staggered quark action has enabled breakthrough calculations of
QCD with three light dynamical quarks. The largest remaining $a^2$ scaling
violations come from ""taste-changing"" interactions, which are significantly
reduced over naive quarks because of carefully chosen smearing of the gauge
links. Here we examine further improvements to the quark action and show that
additional smearing of the links can reduce the taste-changing errors by
another factor of two, whilst retaining a fully $a^2$-improved action. The
taste-changing errors can be understood within a perturbative calculation of
the four-quark operators that appear at one-loop. We also discuss unquenching
techniques with such a highly improved action.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 00:43:30 GMT""}]","2009-11-10"
"hep-lat/0311005","Hiroshi Watanabe","Hiroshi Watanabe","Triviality of hierarchical O(N) spin model in four dimensions with large
  N","AMSLaTeX",,"10.1023/B:JOSS.0000028073.49354.9d",,"hep-lat",,"  The renormalization group transformation for the hierarchical O(N) spin model
in four dimensions is studied by means of characteristic functions of
single-site measures, and convergence of the critical trajectory to the
Gaussian fixed point is shown for a sufficiently large N. In the strong
coupling regime, the trajectory is controlled by the help of the exactly solved
O(\infty) trajectory, while, in the weak coupling regime, convergence to the
Gaussian fixed point is shown by power decay of the effective coupling
constant.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 07:19:31 GMT""}]","2009-11-10"
