"astro-ph/0305523","Je-An Gu","Je-An Gu","Kaluza-Klein Burst: a New Mechanism for Generating Ultrahigh-Energy
  Cosmic Rays","13 pages, LaTeX",,,,"astro-ph hep-ph hep-th",,"  By invoking small extra dimensions as a good energy bearer, a new scenario
for understanding the origin of ultrahigh-energy cosmic rays (UHECRs), from
both the bottom-up and the top-down viewpoints, is proposed. We explore the
possibility of generating UHECRs via Kaluza-Klein (KK) bursts, a violent energy
transfer from extra dimensions to ordinary dimensions through collisions
between KK modes, in particular, within clumps of KK modes. The possible scales
of these clumps range from the astronomical, e.g. KK stellar compact objects,
to the microscopic, e.g. ""KKonium"". Advantages of this KK burst model of UHECRs
and possible signatures of clumped KK modes are discussed.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:53:45 GMT""},{""version"":""v2"",""created"":""Thu, 10 Nov 2005 21:46:37 GMT""}]","2007-05-23"
"cond-mat/0305674","Shinohara Tadatomi","Ikuo S. Sogami (Kyoto Sangyo University)","Integral Representations for Free Energies of Macroionic Suspensions and
  Equation of State for Osmotic Pressure","4 pages, revtex4",,,,"cond-mat",,"  A generating functional which results in the Poisson-Boltzmann equation and
boundary conditions for an average electric potential of a macroionic
suspension through an extremal condition is constructed in a mean field theory.
The extremum of the generating functional turns out to be identical with the
Helmholtz free energy of the system which has an integral representation in
terms of the average electric potential satisfying the Poisson-Boltzmann
equation. From the Helmholtz free energy, the chemical potentials of small ions
and {\it chemical potentials of effective valencies of macroions} are
calculated and, as the total sum of them, an integral representation of the
Gibbs free energy of the system is derived. Difference of two free energies
leads to an equation of state for osmotic pressure of small ion gas in an
environment of macroions in the suspension.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 05:36:23 GMT""}]","2007-05-23"
"cond-mat/0305675","Wu, Shin-Tza","Shin-Tza Wu and Sungkit Yip","Reply to ""Common on `Superfluidity in the interior-gap states'""","Reply to Liu and Wilczek cond-mat/0304632, as of posted 28 Apr, 2003",,,,"cond-mat",,"  We show that the recent Comment by Liu and Wilczek (cond-mat/0304632) on our
work (PRA 67, 053603) is incorrect.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 05:55:44 GMT""}]","2016-08-31"
"cond-mat/0305676","Dr. Banasri Basu","B. Basu","Topological Aspects of High Temperature Superconductivity and Berry
  Phase","18 pages","Published in the book ""Superconductivity Research at the Leading
  Edge"",pp-59 (2004), Ed. Paul S. Lewis, Nova Science Publishers, Inc",,,"cond-mat.supr-con",,"  We propose a mechanism of high temperature superconductivity from the
viewpoint of chirality and Berry phase. It is observed that spin pairing and
charge pairing is caused by a gauge force generated by magnetic flux quanta
attached to them. From the renormalization group equation involving the Berry
phase factor $\mu$ it is found that there are two crossovers above the
superconducting temperature $T_c$, one corresponds to the glass phase and the
other represents the spin gap phase. Actually, in this topological framework
each charge carrier is dressed with a magnetic flux quantum and represents a
skyrmion. The skyrmion-skyrmion bound state leads to the d-wave Cooper pair
formation. We have also discussed the Magnus force acting on the vortices of
this system.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 06:47:22 GMT""}]","2007-05-23"
"cond-mat/0305677","Mark S. Handcock","Mark S. Handcock, James Holland Jones, Martina Morris","On ""Sexual contacts and epidemic thresholds,"" models and inference for
  Sexual partnership distributions","22 pages, 5 figures in linked working paper",,,,"cond-mat.dis-nn cond-mat.stat-mech q-bio",,"  Recent work has focused attention on statistical inference for the population
distribution of the number of sexual partners based on survey data.
  The characteristics of these distributions are of interest as components of
mathematical models for the transmission dynamics of sexually-transmitted
diseases (STDs). Such information can be used both to calibrate theoretical
models, to make predictions for real populations, and as a tool for guiding
public health policy.
  Our previous work on this subject has developed likelihood-based statistical
methods for inference that allow for low-dimensional, semi-parametric models.
Inference has been based on several proposed stochastic process models for the
formation of sexual partnership networks. We have also developed model
selection criteria to choose between competing models, and assessed the fit of
different models to three populations: Uganda, Sweden, and the USA. Throughout
this work, we have emphasized the correct assessment of the uncertainty of the
estimates based on the data analyzed. We have also widened the question of
interest to the limitations of inferences from such data, and the utility of
degree-based epidemiological models more generally.
  In this paper we address further statistical issues that are important in
this area, and a number of confusions that have arisen in interpreting our
work. In particular, we consider the use of cumulative lifetime partner
distributions, heaping and other issues raised by Liljeros et al. in a recent
working paper.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 07:36:25 GMT""}]","2007-05-23"
"cond-mat/0305678","G. Fratesi","G. Fratesi and G. P. Brivio and Patrick Rinke and R. W. Godby","Image resonance in the many-body density of states at a metal surface","5 pages, 6 figures","Phys. Rev. B 68, 195404 (2003)","10.1103/PhysRevB.68.195404",,"cond-mat.mtrl-sci",,"  The electronic properties of a semi-infinite metal surface without a bulk gap
are studied by a formalism able to account for the continuous spectrum of the
system. The density of states at the surface is calculated within the $GW$
approximation of many-body perturbation theory. We demonstrate the presence of
an unoccupied surface resonance peaked at the position of the first image
state. The resonance encompasses the whole Rydberg series of image states and
cannot be resolved into individual peaks. Its origin is the shift in spectral
weight when many-body correlation effects are taken into account.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 09:13:27 GMT""}]","2008-11-24"
"cond-mat/0305679","Teruki Motohashi","Y. Yasukawa, M. Karppinen, J. Linden, T.S. Chan, R.S. Liu, H. Yamauchi","Iron valence in double-perovskite (Ba,Sr,Ca)2FeMoO6: Isovalent
  substitution effect","19 pages, 6 figures, submitted to Phys. Rev. B",,"10.1016/j.jssc.2004.04.031",,"cond-mat.str-el cond-mat.mtrl-sci",,"  In the Fe-Mo based B-site ordered double-perovskite, A2FeMoO6.0, with iron in
the mixed-valence II/III state, the valence value of Fe is not precisely fixed
at 2.5 but may be fine-tuned by means of applying chemical pressure at the
A-cation site. This is shown through a systematic 57Fe Mossbauer spectroscopy
study using a series of A2FeMoO6.0 [A = (Ba,Sr) or (Sr,Ca)] samples with high
degree of Fe/Mo order, the same stoichiometric oxygen content and also almost
the same grain size. The isomer shift values and other hyperfine parameters
obtained from the Mossbauer spectra confirm that Fe remains in the
mixed-valence state within the whole range of A constituents. However, upon
increasing the average cation size at the A site the precise valence of Fe is
found to decrease such that within the A = (Ba,Sr) regime the valence of Fe is
closer to II, while within the A = (Sr,Ca) regime it is closer to the actual
mixed-valence II/III state. As the valence of Fe approaches II, the difference
in charges between Fe and Mo increases, and parallel with this the degree of
Fe/Mo order increases. Additionally, for the less-ordered samples an increased
tendency of clustering of the anti-site Fe atoms is deduced from the Mossbauer
data.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 10:45:12 GMT""}]","2009-11-10"
"cond-mat/0305680","Maksimuk Mikhail","M. Maksimuk, K. Yakushi, H. Taniguchi, K. Kanoda, A. Kawamoto","Influence of the cooling rate on low-temperature Raman and infrared
  reflection spectra of partially deuterated k-(BEDT-TTF)_2Cu[N(CN)_2]Br","7 pages, 9 figures, one reference is corrected",,,,"cond-mat.supr-con cond-mat.str-el",,"  Raman and IR spectra of k-(BEDT-TTF)_2Cu[N(CN)_2]Br [BEDT-TTF denotes
bis(ethylenedithiolo)tetrathiafulvalene] and its deuterated and partially
deuterated analogues were measured at temperatures between 5 and 300 K and
cooling rates from 1 to 20 K/min. It was found that, in partially deuterated
samples, the interdimer electron-molecular vibration splitting of nu_3 mode in
Raman spectra, the magnitude of the resonance enhancement in Raman spectra, and
linewidths of some phonon peaks both in Raman and infrared spectra depend on
the cooling rate. These observations were explained by disorder-related
effects.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 10:50:46 GMT""},{""version"":""v2"",""created"":""Mon, 2 Jun 2003 17:09:00 GMT""}]","2007-05-23"
"cond-mat/0305681","Gorban","A. N. Gorban, A. Yu. Zinovyev, T. G. Popova","Seven clusters in genomic triplet distributions","Correction of URL. 16 pages, 5 figures. The software and datasets are
  available at http://www.ihes.fr/~zinovyev/bullet and
  http://www.ihes.fr/~zinovyev/7clusters Paper also available at
  http://www.bioinfo.de/isb/2003/03/0039","In Silico Biology, 3 (2003), 0039, 471-482",,,"cond-mat.dis-nn cs.CV physics.bio-ph physics.data-an q-bio.GN",,"  In several recent papers new gene-detection algorithms were proposed for
detecting protein-coding regions without requiring learning dataset of already
known genes. The fact that unsupervised gene-detection is possible closely
connected to existence of a cluster structure in oligomer frequency
distributions. In this paper we study cluster structure of several genomes in
the space of their triplet frequencies, using pure data exploration strategy.
Several complete genomic sequences were analyzed, using visualization of tables
of triplet frequencies in a sliding window. The distribution of 64-dimensional
vectors of triplet frequencies displays a well-detectable cluster structure.
The structure was found to consist of seven clusters, corresponding to
protein-coding information in three possible phases in one of the two
complementary strands and in the non-coding regions with high accuracy (higher
than 90% on the nucleotide level). Visualizing and understanding the structure
allows to analyze effectively performance of different gene-prediction tools.
Since the method does not require extraction of ORFs, it can be applied even
for unassembled genomes. The information content of the triplet distributions
and the validity of the mean-field models are analysed.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 11:36:34 GMT""},{""version"":""v2"",""created"":""Wed, 14 Apr 2004 17:01:56 GMT""},{""version"":""v3"",""created"":""Mon, 1 Nov 2004 11:08:03 GMT""},{""version"":""v4"",""created"":""Tue, 23 Nov 2004 13:09:00 GMT""}]","2007-05-23"
"cond-mat/0305683","Hb Nie","H.B. Nie, S. Y. Xu, S.J. Wang, L.P. You, Z. Yang, C.K. Ong, J. Li, T.
  Y. F. Liew","Structural and electrical properties of tantalum nitride thin films
  fabricated by using reactive radio-frequency magnetron sputtering","12 pages, 6 figures","APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING 73 (2): 229-236
  AUG 2001",,,"cond-mat.mtrl-sci",,"  TaN thin film is an attractive interlayer as well as a diffusion barrier
layer in [FeN/TaN](n) multilayers for the application as potential write-head
materials in high-density magnetic recording. We synthesized two series of TaN
films on glass and Si substrates by using reactive radio-frequency sputtering
under 5-mtorr Ar/N-2 processing pressure with varied N-2 partial pressure, and
carried out systematic characterization analyses of the films. We observed
clear changes of phases in the films from metallic bcc Ta to a mixture of bcc
Ta(N) and hexagonal Ta2N, then sequentially to fcc TaN and a mixture of TaN
with N-rich phases when the N2 partial pressure increased from 0.0% to 30%. The
changes were associated with changes in the grain shapes as well as in the
preferred crystalline orientation of the films from bcc Ta [100] to [110], then
to random and finally to fcc TaN [111], correspondingly. They were also
associated with a change in film resistivity from metallic to
semiconductor-like behavior in the range of 77-295 K. The films showed a
typical polycrystalline textured structure with small, crystallized domains and
irregular grain shapes. Clear preferred (111) stacks parallel to the substrate
surface with embedded amorphous regions were observed in the film. TaN film
with [ 111]-preferred orientation and a resistivity of 6.0 m Omega cm was
obtained at 25% N-2 partial pressure, which may be suitable for the interlayer
in [FeN/TaN](n) multilayers.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 12:32:50 GMT""},{""version"":""v2"",""created"":""Fri, 30 May 2003 06:08:53 GMT""}]","2007-05-23"
"cond-mat/0305684","Marija Drndic","M. Drndic, R. Markov, M.V. Jarosz, M.G. Bawendi, M.A. Kastner, N.
  Markovic, M. Tinkham","Imaging the charge transport in arrays of CdSe nanocrystals","4 pages, 4 jpg figures",,"10.1063/1.1626268",,"cond-mat.mes-hall cond-mat.soft",,"  A novel method to image charge is used to measure the diffusion coefficient
of electrons in films of CdSe nanocrystals at room temperature. This method
makes possible the study of charge transport in films exhibiting high
resistances or very small diffusion coefficients.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 15:19:14 GMT""}]","2009-11-10"
"cond-mat/0305685","M. Ya. Ovchinnikova","A A Ovchinnikov and M Ya Ovchinnikova","Influence of spin structures and nesting on Fermi surface and a
  pseudogap anisotropy in t-t'-U Hubbard model","12 pages, 4 figures",,"10.1134/1.1705707",,"cond-mat.str-el",,"  Influence of two type of spin structures on the form of the Fermi surface
(FS) and a photoemission intensity map is studied for t-t'-U Hubbard model.
Mean field calculations are done for the stripe phase and for the spiral spin
structure. It is shown, that unlike a case of electron doping, the hole-doped
models are unstable with respect to formation of such structures. The pseudogap
anisotropies are different for h- and e- doping. In accordance with ARPES data
for La2SrxCuO4 the stripe phase is characterized by quasi-one-dimensional
segments of FS at k=(\pi,0) and by suppression of spectral weight in diagonal
direction. It is shown that spiral structures display the polarisation
anisotropy: different segments of FS correspond to electros with different spin
polarisations.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 14:14:25 GMT""}]","2015-06-24"
"cond-mat/0305686","Dr. M. W. Wu","M. Q. Weng and M. W. Wu","Many-body effect in spin dephasing in n-typed GaAs quantum wells","4 pages, 2 figures in eps format","Chin. Phys. Lett. 22, 671 (2005)","10.1088/0256-307X/22/3/042",,"cond-mat",,"  By constructing and numerically solving the kinetic Bloch equations we
perform a many-body study of the spin dephasing due to the D'yakonov-Perel'
effect in $n$-typed GaAs (100) quantum wells for high temperatures. In our
study, we include the spin-conserving scattering such as the electron-phonon,
the electron-nonmagnetic impurity as well as the electron-electron Coulomb
scattering into consideration. The dephasing obtained from our theory contains
not only that due to the effective spin-flip scattering first proposed by
D'yakonov and Perel' [Zh. Eksp. Teor. Fiz. {\bf 60}, 1954(1971)[Sov. Phys.-JETP
{\bf 38}, 1053(1971)]], but also the recently proposed many-body dephasing due
to the inhomogeneous broadening provided by the DP term [Wu, J.
Supercond.:Incorp. Novel Mechanism {\bf 14}, 245 (2001); Wu and Ning, Eur.
Phys. J. B {\bf 18}, 373 (2000)]. Our result agrees with the experiment data
[Malinowski {\em et al.}, Phys. Rev. B {\bf 62}, 13034 (2000)] very well. We
further show that in the case we study, the spin dephasing is dominated by the
many-body effect.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 14:22:47 GMT""}]","2009-11-10"
"cond-mat/0305687","Hb Nie","H.B. Nie, S. Y. Xu, J. Li, C.K. Ong, J.P. Wang","Magnetic anisotropy and magnetoresistance of sputtered
  [(FeTaN)/(TaN)](n) multilayers",,"JOURNAL OF APPLIED PHYSICS 91 (10): 7532-7534 Part 2 MAY 15 2002",,,"cond-mat.mtrl-sci",,"  We studied the in-plane magnetic anisotropy of rf (radio frequency) sputtered
[(FeTaN)/(TaN)](n) multilayers synthesized on Si substrates. In the multilayers
where n=5, the FeTaN thickness is fixed at 30 nm and the thickness of TaN,
t(TaN), is varied from 0 to 6.0 nm, we observed a clear trend that, with
increasing t(TaN), the values of coercivity, grain size, and amplitude of
maximum magnetoresistance (MR) of the samples all decrease first and then
increase after reaching a minimum when t(TaN) is around 2.0-4.0 nm. This trend
is also associated with an evolution of in-plane magnetic anisotropy, where the
multilayers change from uniaxial anisotropy to biaxial at t(TaN) around 4.0 nm
and above. We attribute the phenomena to the interlayer coupling effect of
FeTaN films as a function of the coupling layer (TaN) thickness, rather than to
the thickness dependence observed in single-layered FeTaN films, where the
direction of easy axis switches 90degrees when the film is thicker than 300 nm.
The in-plane anisotropy of the [(FeTaN)/(TaN)](n) multilayers also shows signs
of oscillation when the number of coupling layers varies. The MR effects
observed are mainly due to anisotropy MR (AMR), while the grain size and
exchange coupling may also contribute to the change of maximum MR ratios in the
multilayers with changing t(TaN).
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 14:44:23 GMT""},{""version"":""v2"",""created"":""Fri, 30 May 2003 04:28:22 GMT""}]","2007-05-23"
"cond-mat/0305688","Hb Nie","H. B. Nie, C. K. Ong, J. P. Wang and Z. W. Li","Evolution of In-Plane Magnetic Anisotropy In Sputtered FeTaN/TaN/FeTaN
  Sandwich Films","6 pages, 3 figures","JOURNAL OF APPLIED PHYSICS 93 (10): 7252-7254 Part 2 MAY 15 2003","10.1063/1.1555365",,"cond-mat.mtrl-sci",,"  FeTaN/TaN/FeTaN sandwich films, FeTaN/TaN and TaN/FeTaN bilayers were
synthesized by using RF magnetron sputtering. The magnetic properties,
crystalline structures, microstructures and surface morphologies of the
as-deposited samples were characterized using angle-resolved M-H loop tracer,
VSM, XRD, TEM, AES and AFM. An evolution of the in-plane anisotropy was
observed with the changing thickness of the nonmagnetic TaN interlayer in the
FeTaN/TaN/FeTaN sandwiches, such as the easy-hard axis switching and the
appearing of biaxial anisotropy. It is ascribed to three possible mechanisms,
which are interlayer magnetic coupling, stress, and interface roughness,
respectively. Interlayer coupling and stress anisotropies may be the major
reasons to cause the easy-hard axis switching in the sandwiches. Whereas,
magnetostatic and interface anisotropies may be the major reasons to cause
biaxial anisotropy in the sandwiches, in which magnetostatic anisotropy is the
dominant one.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 15:13:33 GMT""}]","2009-11-10"
"cond-mat/0305689","Jean Nuyts","Thomas Alderweireld, Jean Nuyts","Term Structure of Interest Rates. Emergence of Power Laws and Scaling
  Laws","22 pages, 9 figures and 2 tables","Physica A, 331(2004)602-616","10.1016/j.physa.2003.09.038",,"cond-mat",,"  The technique of Pad\'e Approximants, introduced in a previous work, is
applied to extended recent data on the distribution of variations of interest
rates compiled by the Federal Reserve System in the US. It is shown that new
power laws and new scaling laws emerge for any maturity not only as a function
of the Lag but also as a function of the average inital rate. This is
especially true for the one year maturity where critical forms and critical
exponents are obtained. This suggests future work in the direction of
constructing a theory of variations of interest rates at a more ``microscopic''
level.}
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 15:45:24 GMT""}]","2015-06-24"
"cs/0305050","Olof Barring","Olof Barring","Towards automation of computing fabrics using tools from the fabric
  management workpackage of the EU DataGrid project","Talk from the 2003 Computing in High Energy and Nuclear Physics
  (CHEP03), La Jolla, Ca, USA, March 2003, 8 pages. PSN MODT004","ECONFC0303241:MODT004,2003",,,"cs.DC",,"  The EU DataGrid project workpackage 4 has as an objective to provide the
necessary tools for automating the management of medium size to very large
computing fabrics. At the end of the second project year subsystems for
centralized configuration management (presented at LISA'02) and
performance/exception monitoring have been delivered. This will soon be
augmented with a subsystem for node installation and service configuration,
which is based on existing widely used standards where available (e.g. rpm,
kickstart, init.d scripts) and clean interfaces to OS dependent components
(e.g. base installation and service management). The three subsystems together
allow for centralized management of very large computer farms. Finally, a fault
tolerance system is being developed for tying together the above subsystems to
form a complete framework for automated enterprise computing management by
3Q03. All software developed is open source covered by the EU DataGrid project
license agreements. This article describes the architecture behind the designed
fabric management system and the status of the different developments. It also
covers the experience with an existing tool for automated configuration and
installation that have been adapted and used from the beginning to manage the
EU DataGrid testbed, which is now used for LHC data challenges.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 16:25:45 GMT""},{""version"":""v2"",""created"":""Fri, 30 May 2003 11:51:07 GMT""}]","2008-11-26"
"cs/0305051","Tanya Y. Berger-Wolf","Tanya Y. Berger-Wolf and Mitchell A. Harris","Sharp Bounds for Bandwidth of Clique Products","15 pages, 13 figures. Presented at the SIAM Discrete Math 2002
  conference",,,,"cs.DM",,"  The bandwidth of a graph is the labeling of vertices with minimum maximum
edge difference. For many graph families this is NP-complete. A classic result
computes the bandwidth for the hypercube. We generalize this result to give
sharp lower bounds for products of cliques. This problem turns out to be
equivalent to one in communication over multiple channels in which channels can
fail and the information sent over those channels is lost. The goal is to
create an encoding that minimizes the difference between the received and the
original information while having as little redundancy as possible. Berger-Wolf
and Reingold [2] have considered the problem for the equal size cliques (or
equal capacity channels). This paper presents a tight lower bound and an
algorithm for constructing the labeling for the product of any number of
arbitrary size cliques.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 20:28:55 GMT""}]","2007-05-23"
"cs/0305052","Marcus Hutter","Marcus Hutter","On the Existence and Convergence Computable Universal Priors","13 pages","Proceedings of the 14th International Conference on Algorithmic
  Learning Theory (ALT-2003) 298-312",,"IDSIA-05-03","cs.LG cs.AI cs.CC math.ST stat.TH",,"  Solomonoff unified Occam's razor and Epicurus' principle of multiple
explanations to one elegant, formal, universal theory of inductive inference,
which initiated the field of algorithmic information theory. His central result
is that the posterior of his universal semimeasure M converges rapidly to the
true sequence generating posterior mu, if the latter is computable. Hence, M is
eligible as a universal predictor in case of unknown mu. We investigate the
existence and convergence of computable universal (semi)measures for a
hierarchy of computability classes: finitely computable, estimable, enumerable,
and approximable. For instance, M is known to be enumerable, but not finitely
computable, and to dominate all enumerable semimeasures. We define seven
classes of (semi)measures based on these four computability concepts. Each
class may or may not contain a (semi)measure which dominates all elements of
another class. The analysis of these 49 cases can be reduced to four basic
cases, two of them being new. The results hold for discrete and continuous
semimeasures. We also investigate more closely the types of convergence,
possibly implied by universality: in difference and in ratio, with probability
1, in mean sum, and for Martin-Loef random sequences. We introduce a
generalized concept of randomness for individual sequences and use it to
exhibit difficulties regarding these issues.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 11:11:01 GMT""}]","2011-11-09"
"cs/0305053","Baden Hughes","Baden Hughes","Developing Open Data Models for Linguistic Field Data",,,,,"cs.DL cs.CL",,"  The UQ Flint Archive houses the field notes and elicitation recordings made
by Elwyn Flint in the 1950's and 1960's during extensive linguistic survey work
across Queensland, Australia.
  The process of digitizing the contents of the UQ Flint Archive provides a
number of interesting challenges in the context of EMELD. Firstly, all of the
linguistic data is for languages which are either endangered or extinct, and as
such forms a valuable ethnographic repository. Secondly, the physical format of
the data is itself in danger of decline, and as such digitization is an
important preservation task in the short to medium term. Thirdly, the adoption
of open standards for the encoding and presentation of text and audio data for
linguistic field data, whilst enabling preservation, represents a new field of
research in itself where best practice has yet to be formalised. Fourthly, the
provision of this linguistic data online as a new data source for future
research introduces concerns of data portability and longevity.
  This paper will outline the origins of the data model, the content creation
components, presentation forms based on the data model, data capture tools and
media conversion components. It will also address some of the larger questions
regarding the digitization and annotation of linguistic field work based on
experience gained through work with the Flint Archive contents.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 12:12:19 GMT""}]","2007-05-23"
"cs/0305054","Moreno Marzolla","M. Marzolla and V. Melloni","A Monitoring System for the BaBar INFN Computing Cluster","Talk from the 2003 Computing in High Energy and Nuclear Physics
  (CHEP03), La Jolla, Ca, USA, March 2003, 10 pages, LaTeX, 4 eps figures. PSN
  MOET006","ECONFC0303241:MOET006,2003",,,"cs.PF",,"  Monitoring large clusters is a challenging problem. It is necessary to
observe a large quantity of devices with a reasonably short delay between
consecutive observations. The set of monitored devices may include PCs, network
switches, tape libraries and other equipments. The monitoring activity should
not impact the performances of the system. In this paper we present PerfMC, a
monitoring system for large clusters. PerfMC is driven by an XML configuration
file, and uses the Simple Network Management Protocol (SNMP) for data
collection. SNMP is a standard protocol implemented by many networked
equipments, so the tool can be used to monitor a wide range of devices. System
administrators can display informations on the status of each device by
connecting to a WEB server embedded in PerfMC. The WEB server can produce
graphs showing the value of different monitored quantities as a function of
time; it can also produce arbitrary XML pages by applying XSL Transformations
to an internal XML representation of the cluster's status. XSL Transformations
may be used to produce HTML pages which can be displayed by ordinary WEB
browsers. PerfMC aims at being relatively easy to configure and operate, and
highly efficient. It is currently being used to monitor the Italian
Reprocessing farm for the BaBar experiment, which is made of about 200 dual-CPU
Linux machines.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 13:29:27 GMT""}]","2008-11-26"
"gr-qc/0305106","George E. A. Matsas","George E. A. Matsas","Relativistic Arquimedes law for fast moving bodies and the
  general-relativistic resolution of the ""submarine paradox""","4 pages (REVTEX) (compact manuscript version)","Phys.Rev. D68 (2003) 027701","10.1103/PhysRevD.68.027701",,"gr-qc",,"  We investigate and solve in the context of General Relativity the apparent
paradox which appears when bodies floating in a background fluid are set in
relativistic motion. Suppose some macroscopic body, say, a submarine designed
to lie just in equilibrium when it rests (totally) immersed in a certain
background fluid. The puzzle arises when different observers are asked to
describe what is expected to happen when the submarine is given some high
velocity parallel to the direction of the fluid surface. On the one hand,
according to observers at rest with the fluid, the submarine would contract
and, thus, sink as a consequence of the density increase. On the other hand,
mariners at rest with the submarine using an analogous reasoning for the fluid
elements would reach the opposite conclusion. The general relativistic
extension of the Arquimedes law for moving bodies shows that the submarine
sinks.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 19:18:08 GMT""}]","2009-11-10"
"gr-qc/0305107","Hans-Juergen Schmidt","F. Canfora, H.-J. Schmidt","Vacuum solutions which cannot be written in diagonal form","18 pages, latex, no figures. An Acknowledgement, 4 references, and
  the section ""Note added"" are added","Gen.Rel.Grav. 35 (2003) 2117-2128","10.1023/A:1027393421715",,"gr-qc",,"  A vacuum solution of the Einstein gravitational field equation is given that
follows from a general ansatz but fails to follow from it if a certain
symmetric matrix is assumed to be in diagonal form from the beginning.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 20:13:55 GMT""},{""version"":""v2"",""created"":""Mon, 23 Jun 2003 07:18:48 GMT""}]","2015-06-25"
"hep-ex/0305087","Undrus","A. Undrus","NICOS System of Nightly Builds for Distributed Development","Talk from the 2003 Computing in High Energy and Nuclear Physics
  (CHEP03), La Jolla, Ca, USA, March 2003, 4 pages, LaTeX, 2 eps figures. PSN
  TUJT006","ECONFC0303241:TUJT006,2003",,,"hep-ex",,"  NICOS, NIghtly COntrol System, is a flexible tool for coordination of
software development in large-scale projects. It manages the multi-platform
nightly builds based on the recent versions of software packages, tries to
compensate for technical failures, tests the newly built software, identifies
possible problems, and makes results immediately available to developers spread
over different institutions and countries. The NICOS nightly build services
ensure that new software submissions are consistent and provide expected
results. The NICOS tool was developed to coordinate the efforts of more than
100 developers from 34 countries for the ATLAS project at CERN and can be
easily adapted for other large software projects.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 17:48:27 GMT""}]","2008-11-26"
"hep-ex/0305090","Christopher D. Jones","C. D. Jones","Reconstruction and Analysis on Demand: A Success Story","Talk from the 2003 Computing in High Energy and Nuclear Physics
  (CHEP03), La Jolla, Ca, USA, March 2003, 6 pages, LaTeX, 4 eps figures. PSN
  THJT002",,,,"hep-ex",,"  The traditional design of an HEP reconstruction system partitions the problem
into a series of modules. A reconstruction job is then just a sequence of
modules run in a particular order with each module reading data from the event
and placing new data into the event. The problem with such a design is it is up
to the user to place the modules in the correct order and CPU time is wasted
calculating quantities that may not be used if the event is rejected based on
some other criteria.
  The CLEO III analysis/reconstruction system takes a different approach: on
demand processing (otherwise known as lazy evaluation). Jobs are still
partitioned into smaller components which we call Producers. However, Producers
register what data they produce. The first time a datum is requested for an
event the Producer's algorithm is run. Sources work similarly, registering what
data they can retrieve but delaying retrieval until the data is requested. Data
analysis and filtering are done via a separate set of modules called
Processors.
  We have been using this system for four years and it has been a huge success.
The data access implementation has proven to be very easy to use and extremely
efficient. Reconstruction jobs are easy to configure and additional event
filters can be added efficiently and robustly -- access to correct data is
automatically guaranteed. The true test of success: physicists have embraced
this model for analysis even though the old model is still supported.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:55:18 GMT""}]","2007-05-23"
"hep-ex/0305091","Christopher D. Jones","C. D. Jones","The Event as an Object-Relational Database: Avoiding the Dependency
  Nightmare","Talk from the 2003 Computing in High Energy and Nuclear Physics
  (CHEP03), La Jolla, Ca, USA, March 2003, 3 pages, LaTeX, 2 eps figures. PSN
  MOJT011",,,,"hep-ex",,"  With the use of object-oriented languages for HEP, many experiments have
designed their data objects to contain direct references to other objects in
the event (e.g., tracks and electromagnetic showers have references to each
other to denote matches). Unfortunately this creates tremendous dependencies
between packages which lead to brittle development systems (e.g., if the
electromagnetic code has a problem you may not be able to compile the tracking
code) and makes the storage system more complex.
  We discuss how the CLEO III experiment avoided these problems by treating an
event as an object-relational database. The discussion will include: the
constraints we placed on our objects; our use of a separate Association class
to deal with inter-object references; and our ability to use multiple sources
to supply different data items for one event.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:37:16 GMT""}]","2007-05-23"
