"astro-ph/0310780","Stanislav Boldyrev","Stanislav Boldyrev and Fausto Cattaneo (U. Chicago)","On magnetic field generation in Kolmogorov turbulence","4 pages, revised, new material added","Phys.Rev.Lett. 92 (2004) 144501","10.1103/PhysRevLett.92.144501",,"astro-ph physics.flu-dyn",,"  We analyze the initial, kinematic stage of magnetic field evolution in an
isotropic and homogeneous turbulent conducting fluid with a rough velocity
field, v(l) ~ l^alpha, alpha<1. We propose that in the limit of small magnetic
Prandtl number, i.e. when ohmic resistivity is much larger than viscosity, the
smaller the roughness exponent, alpha, the larger the magnetic Reynolds number
that is needed to excite magnetic fluctuations. This implies that numerical or
experimental investigations of magnetohydrodynamic turbulence with small
Prandtl numbers need to achieve extremely high resolution in order to describe
magnetic phenomena adequately.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 18:39:56 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 2003 18:07:55 GMT""}]","2007-05-23"
"cond-mat/0310673","Ivan Sergienko","I. A. Sergienko","Mixed-parity superconductivity in centrosymmetric crystals","5 pages, 2 figures. Final version accepted to PRB","Phys. Rev. B 69, 174502 (2004)","10.1103/PhysRevB.69.174502",,"cond-mat.supr-con cond-mat.str-el",,"  A weak-coupling formalism for superconducting states possessing both singlet
(even parity) and triplet (odd parity) components of the order parameter in
centrosymmetric crystals is developed. It is shown that the quasiparticle
energy spectrum may be non-degenerate even if the triplet component is unitary.
The superconducting gap of a mixed-parity state may have line nodes in the
strong spin-orbit coupling limit. The pseudospin carried by the superconducting
electrons is calculated, from which follows a prediction of a kink anomaly in
the temperature dependence of muon spin relaxation rate. The anomaly occurs at
the phase boundary between the bare triplet and mixed-parity states. The
stability of mixed-parity states is discussed within Ginzburg-Landau theory.
The results may have immediate application to the superconducting series
Pr(Os,Ru)4Sb12.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 21:53:03 GMT""},{""version"":""v2"",""created"":""Thu, 6 Nov 2003 14:35:58 GMT""},{""version"":""v3"",""created"":""Mon, 1 Mar 2004 17:27:58 GMT""},{""version"":""v4"",""created"":""Mon, 3 May 2004 20:24:05 GMT""}]","2007-05-23"
"cond-mat/0310674","Weiqiang Yu","W. Yu, F. Zamborszky, J. D. Thompson, J. L. Sarrao, M. E. Torelli, Z.
  Fisk and S. E. Brown","Phase Inhomogeneity of the Itinerant Ferromagnet MnSi at High Pressures","4 pages, 4 figures","Phys. Rev. Lett. 92, 086403 (2004)","10.1103/PhysRevLett.92.086403",,"cond-mat.str-el",,"  The pressure induced quantum phase transition of the weakly itinerant
ferromagnet MnSi is studied using zero-field $^{29}Si$ NMR spectroscopy and
relaxation. Below $P^*\approx 1.2GPa$, the intensity of the signal and the
nuclear spin-lattice relaxation is independent of pressure, even though the
amplitude of the magnetization drops by 20% from the ambient pressure
amplitude. For $P>P^*$, the decreasing intensity within the experimentally
detectable bandwidth signals the onset of an inhomogeneous phase that persists
to the highest pressure measured, $P\ge 1.75GPa$, which is well beyond the
known critical pressure $P_c=1.46GPa$. Implications for the non-Fermi Liquid
behavior observed for $P>P_c$ are discussed.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 23:56:14 GMT""}]","2009-11-10"
"cond-mat/0310675","Ostrovskii","Lucien Cremaldi, and Igor Ostrovskii","Ultrasonic Defect Modification in Irradiated Silicon","9 pages, 2 figures; corrected typos in the text and figures",,,,"cond-mat.mtrl-sci hep-ex",,"  It is shown for the first time, that room temperature Ultrasonic Defect
Manipulation (UDM) can significantly reduce the concentration of radiation
defects in high resistivity silicon. Secondary Ion Mass Spectroscopy revealed
that oxygen- and hydrogen- related chemical reactions in silicon are likely to
occur under UDM at room temperature. Ultrasonically stimulated chemical
reactions in solids can be an important source of energy, which is required for
UDM.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 02:38:31 GMT""}]","2007-05-23"
"cond-mat/0310676","Yogesh N. Joglekar","Yogesh N. Joglekar (LANL), Alexander V. Balatsky (LANL), Allan H.
  MacDonald (University of Texas at Austin)","Noise spectroscopy and interlayer phase-coherence in bilayer quantum
  Hall systems","5 pages, 2 figures","Phys. Rev. Lett. 92, 086803 (2004).","10.1103/PhysRevLett.92.086803",,"cond-mat.mes-hall cond-mat.str-el",,"  Bilayer quantum Hall systems develop strong interlayer phase-coherence when
the distance between layers is comparable to the typical distance between
electrons within a layer. The phase-coherent state has until now been
investigated primarily via transport measurements. We argue here that
interlayer current and charge-imbalance noise studies in these systems will be
able to address some of the key experimental questions. We show that the
characteristic frequency of current-noise is that of the zero wavevector
collective mode, which is sensitive to the degree of order in the system. Local
electric potential noise measured in a plane above the bilayer system on the
other hand is sensitive to finite-wavevector collective modes and hence to the
soft-magnetoroton picture of the order-disorder phase transition.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 00:08:03 GMT""}]","2009-11-10"
"cond-mat/0310677","Sergey Faleev","Sergey V. Faleev, Mark van Schilfgaarde, and Takao Kotani","All-electron self-consistent GW approximation: Application to Si, MnO,
  and NiO","5 pages, 3 figures",,"10.1103/PhysRevLett.93.126406",,"cond-mat",,"  We present a new kind self-consistent GW approximation (scGW) based on the
all-electron, full-potential LMTO method. By iterating the eigenfunctions of
the GW Hamiltonian, self-consistency in both the charge density and the
quasiparticle spectrum is achieved. We explain why this form of
self-consistency should be preferred to the conventional one. Then some results
for Si are shown as a representative semiconductor, to establish agreement with
a prior scGW calculation. Finally we consider many details in the electronic
structure of the antiferromagnetic insulators MnO and NiO. Excellent agreement
with experiment is shown for many properties, suggesting that a Landau
quasiparticle (energy band) picture of MnO and NiO provides a reasonable
description of electronic structure even in these correlated materials.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 01:56:38 GMT""}]","2009-11-10"
"cond-mat/0310678","Tom Chou","Maria R. D'Orsogna and Tom Chou","Chiral molecule adsorption on helical polymers",,,"10.1103/PhysRevE.69.021805",,"cond-mat.soft cond-mat.stat-mech",,"  We present a lattice model for helicity induction on an optically inactive
polymer due to the adsorption of exogenous chiral amine molecules. The system
is mapped onto a one-dimensional Ising model characterized by an on-site
polymer helicity variable and an amine occupancy one. The equilibrium
properties are analyzed at the limit of strong coupling between helicity
induction and amine adsorption and that of non-interacting adsorbant molecules.
We discuss our results in view of recent experimental results.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 02:09:40 GMT""}]","2009-11-10"
"cond-mat/0310679","Tom Chou","Tom Chou","Water alignment, dipolar interactions, and multiple proton occupancy
  during water-wire proton transport",,"Biophys. J., 86, 2827-2836, (2004)","10.1016/S0006-3495(04)74335-0",,"cond-mat.soft cond-mat.stat-mech",,"  A discrete multistate kinetic model for water-wire proton transport is
constructed and analyzed using Monte-Carlo simulations. The model allows for
each water molecule to be in one of three states: oxygen lone pairs pointing
leftward, pointing rightward, or protonated (H$_{3}$O$^{+}$). Specific rules
for transitions among these states are defined as protons hop across successive
water oxygens. We then extend the model to include water-channel interactions
that preferentially align the water dipoles, nearest-neighbor dipolar coupling
interactions, and coulombic repulsion. Extensive Monte-Carlo simulations were
performed and the observed qualitative physical behaviors discussed. We find
the parameters that allow the model to exhibit superlinear and sublinear
current-voltage relationships and show why alignment fields, whether generated
by interactions with the pore interior or by membrane potentials {\it always}
decrease the proton current. The simulations also reveal a ``lubrication''
mechanism that suppresses water dipole interactions when the channel is
multiply occupied by protons. This effect can account for an observed
sublinear-to-superlinear transition in the current-voltage relationship.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 02:15:05 GMT""}]","2009-11-10"
"cond-mat/0310680","Tom Chou","Greg Lakatos, Tom Chou, and Anatoly Kolomeisky","Steady-State Properties of a Totally Asymmetric Exclusion Process with
  Periodic Structure",,,,,"cond-mat.stat-mech cond-mat.soft",,"  We formulate and analyze the steady-state behavior of totally asymmetric
simple exclusion processes (TASEPs) that contain periodically varying movement
rates. In our models, particles at a majority sites hop to the right with rate
$p_1$ while particles occupying a periodically arranged set of sites move to
the right at rate $p_2$. A number of approximate mean field approaches are used
to study the steady-state currents and bulk densities of this model. While
exact solutions are not found, the mean field approaches provide results that
show good agreement with data derived from extensive Monte-Carlo simulations.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 02:27:51 GMT""}]","2007-05-23"
"cond-mat/0310681","Tom Chou","Guillaume Bal and Tom Chou","On the reconstruction of diffusions from first-exit time distributions","Submitted to Inverse Problems",,"10.1088/0266-5611/20/4/004",,"cond-mat.stat-mech cond-mat.soft",,"  This paper explores the reconstruction of drift or diffusion coefficients of
a scalar stochastic diffusion processes as it starts from an initial value and
reaches, for the first time, a threshold value. We show that the distribution
function derived from repeated measurements of the first-exit times can be used
to formally partially reconstruct the dynamics of the process. Upon mapping the
relevant stochastic differential equations (SDE) to the associated
Sturm-Liouville problem, results from Gelfand and Levitan \cite{GelLev-51} can
be used to reconstruct the potential of the Schr\""{o}dinger equation, which is
related to the drift and diffusion functionals of the SDE. We show that either
the drift or the diffusion term of the stochastic equation can be uniquely
reconstructed, but only if both the drift and diffusion are known in at least
half of the domain. No other information can be uniquely reconstructed unless
additional measurements are provided. Applications and implementations of our
results are discussed.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 02:34:31 GMT""}]","2009-11-10"
"cond-mat/0310682","Tom Chou","Tom Chou and Greg Lakatos","Clustered bottlenecks in mRNA translation and protein synthesis",,"Phys. Rev. Lett. 93, 198101, (2004)","10.1103/PhysRevLett.93.198101",,"cond-mat.stat-mech cond-mat.soft q-bio.SC",,"  We construct an algorithm that generates large, band-diagonal transition
matrices for a totally asymmetric exclusion process (TASEP) with local hopping
rate inhomogeneities. The matrices are diagonalized numerically to find
steady-state currents of TASEPs with local variations in hopping rate. The
results are then used to investigate clustering of slow codons along mRNA.
Ribosome density profiles near neighboring clusters of slow codons interact,
enhancing suppression of ribosome throughput when such bottlenecks are closely
spaced. Increasing the slow codon cluster size, beyond $\approx 3-4$, does not
significantly reduce ribosome current. Our results are verified by extensive
Monte-Carlo simulations and provide a biologically-motivated explanation for
the experimentally-observed clustering of low-usage codons.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 02:46:20 GMT""}]","2009-11-10"
"cond-mat/0310683","Congwu Cui","Congwu Cui and Trevor A. Tyson","Correlations between pressure and bandwidth effects in metal-insulator
  transitions in manganites",,"Applied Physics Letters 84(6), 942-944 (2004)","10.1063/1.1646212",,"cond-mat",,"  The effect of pressure on the metal-insulator transition in manganites with a
broad range of bandwidths is investigated. A critical pressure is found at
which the metal-insulator transition temperature, T$_{MI}$, reaches a maximum
value in every sample studied. The origin of this universal pressure and the
relation between the pressure effect and the bandwidth on the metal-insulator
transition are discussed.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 04:19:21 GMT""}]","2009-11-10"
"cond-mat/0310684","Petra Jonsson","Petra E. J\""onsson","Superparamagnetism and Spin Glass Dynamics of Interacting Magnetic
  Nanoparticle Systems","62 pages, 25 figures. To be published in Advances in Chemical Physics","Adv. Chem. Phys., vol 128, pages 191-248 (2004)",,,"cond-mat.mtrl-sci cond-mat.dis-nn",,"  The physical properties of magnetic nanoparticles have been investigated with
focus on the influence of dipolar interparticle interaction. For weakly coupled
nanoparticles, thermodynamic perturbation theory is employed to derive
analytical expressions for the linear equilibrium susceptibility, the
zero-field specific heat and averages of the local dipolar fields. By
introducing the averages of the dipolar fields in an expression for the
relaxation rate of a single particle, a nontrivial dependence of the
superparamagnetic blocking on the damping coefficient is evidenced. This
damping dependence is interpreted in terms of the nonaxially symmetric
potential created by the transverse component of the dipolar field.
  Strongly interacting nanoparticle systems are investigated experimentally in
terms of spin glass behavior. Disorder and frustration arise in samples
consisting of frozen ferrofluids from the randomness in particle position and
anisotropy axis orientation. A strongly interacting FeC system is shown to
exhibit critical dynamics characteristic of a spin glass phase transition.
Aging, memory and rejuvenation phenomena similar to those of conventional spin
glasses are observed, albeit with much weaker rejuvenation effects than in both
a Ag(11 at% Mn) Heisenberg and an Fe_{0.5}Mn_{0.5}TiO_3 Ising spin glass.
Differences in the nonequilibrium dynamics of the strongly interacting
nanoparticle system and the two spin glass samples are discussed in terms of
anisotropy and different timescales, due to the much longer microscopic flip
time of a magnetic moment than of an atomic spin.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 07:12:05 GMT""},{""version"":""v2"",""created"":""Thu, 30 Oct 2003 10:53:08 GMT""}]","2016-08-31"
"cond-mat/0310685","Hiromi Saida","Hiromi Saida","Steady State Thermodynamic Functions for Radiation Field","9 pages, 4 figures",,,,"cond-mat.stat-mech gr-qc",,"  Several attempts to construct the thermodynamical formulation for
non-equilibrium steady states have been made along the context by Oono and
Paniconi, called the steady state thermodynamics (SST). In this paper we study
the SST for radiation field. Consider a cavity in a large black body, and put
an another black body in it. Let the temperature of the outer black body be
different from that of the inner one, and keep their temperatures unchanged.
Then the radiation field between the black bodies are retained in a
non-equilibrium steady state with a stationary energy flow. (The inner black
body may be considered as a representative of a black hole with the Hawking
radiation, and the cavity be the universe including the black hole.) According
to the total momentum carried by photons par a unit time in passing through a
virtual unit area, the pressure for the SST is defined. Then, taking this
pressure as the basis, we propose the definitions of steady state thermodynamic
functions and state variables satisfying the plausible properties: the
convexity/concavity of thermodynamic functions, the intensivity/extensivity of
state variables, the Gibbs-Duhem relation and the Legendre transformation among
thermodynamic functions.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 08:33:38 GMT""}]","2007-05-23"
"cond-mat/0310687","Iacopo Carusotto","Iacopo Carusotto, Erich J. Mueller","Imaging of spinor gases","second revised version","Journal of Physics B 37 (2004) S115 - S125","10.1088/0953-4075/37/7/058",,"cond-mat",,"  We explore the dielectric properties of spinor condensates. Gases with vector
(nematic) order, such as spin-1 condensates with ferromagnetic
(antiferromagnetic) interactions, display optical activity (birefringence).
This optical activity/birefringence is respectively seen for light detuned from
resonance by a frequency which is not too large compared with the
fine/hyperfine structure. Careful tuning of the light frequency can isolate
either of these two effects. These features can be used to image spin textures
in clouds of spin 1 bosons, and to discern states showing different types of
spin order.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 10:28:48 GMT""},{""version"":""v2"",""created"":""Wed, 14 Jan 2004 12:43:37 GMT""}]","2007-05-23"
"cond-mat/0310689","Diego Rubi","M. Wojcik, E. Jedryka, S. Nadolski, J. Navarro, D.Rubi and J.
  Fontcuberta","NMR evidence for selective enhancement of Mo magnetic moment by electron
  doping in SrxLa2-xFeMoO6","15 pages, 4 figures",,,,"cond-mat.mtrl-sci",,"  95, 97Mo NMR experiments have been performed on a series of Sr2FeMoO6 and
electron-doped Sr2-xLaxFeMoO6 ceramics. Detailed analysis of the NMR spectra
from pristine Sr2FeMoO6 conclusively shows that the Mo hyperfine field is
mainly due to atomic Mo magnetic moments. No contribution of transferred
hyperfine field has been observed, confirming the absence of s-electrons in the
conduction band. Upon La doping, the NMR frequency (hyperfine field) gradually
increases proving that the concentration of spin polarized electrons at Mo ion
is enhanced by the La substitution. A simple linear correlation between
magnetic moment at Mo sites and the Curie temperature of the system has been
found. Implications for understanding the electronic structure and the
ferromagnetic coupling in these systems are underlined.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 11:28:03 GMT""}]","2007-05-23"
"cond-mat/0310690","Alain Barrat","Alain Barrat, Vittorio Loreto and Andrea Puglisi","Temperature probes in binary granular gases",,"Physica A 334 (2004) 513.","10.1016/j.physa.2003.11.008",,"cond-mat.stat-mech",,"  We investigate the validity of Fluctuation-Dissipation (FD) relations for a
mixture of two granular gases with different physical properties (restitution
coefficients or masses) subject to stochastic driving. It is well known that
the partial granular temperatures T_1 and T_2 of the two components are
different, i.e. energy equipartition is broken. We observe, with numerical
simulations of inelastic hard disks in homogeneous and non-homogeneous
situations, that the classical equilibrium Green-Kubo relations are satisfied
separately for each component of the gas, the role of the equilibrium
temperature being played by the granular temperature of each component. Of
particular interest is the limit in which one of the two components consists of
only one particle, representing a non-perturbing thermometer. In this case it
turns out that such a thermometer is measuring its own temperature and not that
of the surrounding granular media, which in general will be different.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 11:34:03 GMT""}]","2009-11-10"
"cond-mat/0310691","Yosuke Shindo Mr.","Yosuke Shindo and Hidekazu Tanaka","Triplon Localization Effect in Tl_{1-x}$K_xCuCl_3","4 pages, 4 figures",,,,"cond-mat.str-el",,"  The effect of randomness on field-induced magnetic ordering was investigated
through specific heat measurements in Tl$_{1-x}$K$_x$CuCl$_3$ with $x\leq
0.22$. The isostructural parent compounds TlCuCl$_3$ and KCuCl$_3$ are coupled
spin dimer systems with a gapped ground state and their field-induced
antiferromagnetic ordering is described by the Bose condensation of spin
triplets (triplons). Well-defined field-induced phase transitions were observed
in Tl$_{1-x}$K$_x$CuCl$_3$. The critical exponent $\phi$ of the phase boundary
defined by $T(H) \propto (H-H_{\rm c})^{1/\phi}$ is reevaluated in TlCuCl$_3$
as $\phi=1.67 \pm 0.07$, which is close to $\phi_{\rm BEC} =3/2$ derived from
the triplon BEC theory. For $x \neq 0$, the exponent $\phi$ decreases
systematically with $x$. The phase boundary observed at low temperatures for
$x>0.1$ is almost a linear function of temperature $T$. In the low-field region
for $H<H_{\rm c}$, no magnetic ordering is observed in spite of finite
susceptibility. These properties are discussed in connection with the Bose
glass phase argued by Fisher {\it et al.} [Phys. Rev. B {\bf 40}, 546 (1989)].
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 12:16:26 GMT""},{""version"":""v2"",""created"":""Wed, 3 Mar 2004 06:41:59 GMT""}]","2007-05-23"
"cond-mat/0310692","Swarnali Bandopadhyay","Swarnali Bandopadhyay, Binayak Dutta-Roy, H.S.Mani","Understanding the Fano Resonance : through Toy Models","17 pages, 1 figure","Am. J. Phys. 72 (12) 1501 (2004)","10.1119/1.1789162",,"cond-mat.mes-hall quant-ph",,"  The Fano Resonance, involving the mixing between a quasi-bound `discrete'
state of an inelastic channel lying in the continuum of scattering states
belonging to the elastic channel, has several subtle features. The underlying
ideas have recently attracted attention in connection with interference effects
in quantum wires and mesoscopic transport phenomena. Simple toy models are
provided in the present study to illustrate the basics of the Fano resonance in
a simple and tractable setting.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 12:25:39 GMT""}]","2010-05-28"
"cond-mat/0310693","Sergey Dorogovtsev","S.N. Dorogovtsev, A.V. Goltsev, J.F.F. Mendes","Potts model on complex networks","6 pages, 1 figure","Eur. Phys. J. B 38, 177 (2004)","10.1140/epjb/e2004-00019-y",,"cond-mat.stat-mech",,"  We consider the general p-state Potts model on random networks with a given
degree distribution (random Bethe lattices). We find the effect of the
suppression of a first order phase transition in this model when the degree
distribution of the network is fat-tailed, that is, in more precise terms, when
the second moment of the distribution diverges. In this situation the
transition is continuous and of infinite order, and size effect is anomalously
strong. In particular, in the case of $p=1$, we arrive at the exact solution,
which coincides with the known solution of the percolation problem on these
networks.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 12:29:40 GMT""}]","2009-11-10"
"cond-mat/0310694","Hamid Kachkachi","H. Kachkachi and D.A. Garanin","Magnetic nanoparticles as many-spin systems","30 pages, 14 eps figures, review article submitted to Elsevier
  Science","in Surface Effects in Magnetic Nanoparticles, Ed. D. Fiorani,
  Springer, 2005, p.75",,,"cond-mat.stat-mech cond-mat.mtrl-sci",,"  We present a review of recent advances in the study of many-body effects in
magnetic nanoparticles. Considering classical spins on a lattice coupled by the
exchange interaction in the presence of the bulk and surface anisotropy, we
investigate the effects of finite size, free boundaries, and surface anisotropy
on the average and local magnetization for zero and finite temperatures and
magnetic fields. Superparamagnetism of magnetic particles necessitates
introducing two different, induced and intrinsic, magnetizations. We check the
validity of the much used relation between them within different theoretical
models. We show that the competition between the exchange and surface
anisotropy leads to spin canting dependent on the orientation of the average
magnetization with respect to the crystallographic axes and thus to a
second-order effective anisotropy of the particle. We have also investigated
the switching mechanism of the magnetization upon varying the surface
anisotropy constant. Some cases of more realistic particles are also dealt
with.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 13:43:08 GMT""}]","2016-08-31"
"cond-mat/0310695","Bernhard Keimer","A. Lebon, P. Adler, C. Bernhard, A. V. Boris, A. V. Pimenov, A.
  Maljuk, C. T. Lin, C. Ulrich and B. Keimer","Magnetism, Charge Order and Giant Magnetoresistance in
  SrFeO$_{3-\delta}$ Single Crystals","published version","Phys. Rev. Lett. 92, 037202 (2004)","10.1103/PhysRevLett.92.037202",,"cond-mat.str-el",,"  The electronic and magnetic properties of SrFeO$_{3-\delta}$ single crystals
with controlled oxygen content ($0 \leq \delta \leq 0.19$) have been studied
systematically by susceptibility, transport and spectroscopic techniques. An
intimate correlation between the spin-charge ordering and the electronic
transport behavior is found. Giant negative as well as positive
magnetoresistance are observed.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 13:59:40 GMT""},{""version"":""v2"",""created"":""Thu, 29 Jan 2004 16:46:45 GMT""}]","2009-11-10"
"cond-mat/0310696","Charles Creffield","C. E. Creffield and G. Platero","Localization of interacting electrons in quantum dot arrays driven by an
  ac-field","7 pages, 6 eps figures V2. Minor changes, this version to be
  published in Phys. Rev. B","Phys. Rev. B 69, 165312 (2004).","10.1103/PhysRevB.69.165312",,"cond-mat.mes-hall",,"  We investigate the dynamics of two interacting electrons moving in a
one-dimensional array of quantum dots under the influence of an ac-field. We
show that the system exhibits two distinct regimes of behavior, depending on
the ratio of the strength of the driving field to the inter-electron Coulomb
repulsion. When the ac-field dominates, an effect termed coherent destruction
of tunneling occurs at certain frequencies, in which transport along the array
is suppressed. In the other, weak-driving, regime we find the surprising result
that the two electrons can bind into a single composite particle -- despite the
strong Coulomb repulsion between them -- which can then be controlled by the
ac-field in an analogous way. We show how calculation of the Floquet
quasienergies of the system explains these results, and thus how ac-fields can
be used to control the localization of interacting electron systems.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 15:11:24 GMT""},{""version"":""v2"",""created"":""Fri, 27 Feb 2004 18:31:02 GMT""}]","2009-11-10"
"cond-mat/0310697","Alexej Streltsov","L.S. Cederbaum and A.I. Streltsov","Best mean-field for condensates","(11 pages, 2 figures). Physics Letters A Article in Press","Physics Letters A Volume 318, Issue 6, 24 November 2003, Pages
  564-569","10.1016/j.physleta.2003.09.058",,"cond-mat",,"  The Gross-Pitaevskii equation assumes that all (identical) bosons of a
condensate reside in a single one-particle function. Here, we raise the
question whether it always provides the best mean-field ansatz for condensates,
leading to the lowest mean-field ground state energy. To this end, we derive a
mean-field approach allowing for bosons to reside in several different
one-particle functions. The number of bosons in each of these functions is a
variational parameter minimizing the energy. The energy and one-particle
functions at these optimal numbers can be determined directly. A numerical
example is presented demonstrating that the mean-field energy of trapped bosons
can be below that provided by the Gross-Pitaevskii equation. Implications are
discussed.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 15:12:30 GMT""}]","2007-05-23"
"cond-mat/0310698","Stefan Boettcher","S. Boettcher (Emory U)","Stiffness Exponents for Lattice Spin Glasses in Dimensions d=3,...,6","8 pages, RevTex, 15 ps-figures included (see
  http://www.physics.emory.edu/faculty/boettcher for related information)","European Physics Journal B 38, 83-91 (2004)","10.1140/epjb/e2004-00102-5",,"cond-mat.stat-mech cond-mat.dis-nn",,"  The stiffness exponents in the glass phase for lattice spin glasses in
dimensions $d=3,...,6$ are determined. To this end, we consider bond-diluted
lattices near the T=0 glass transition point $p^*$. This transition for
discrete bond distributions occurs just above the bond percolation point $p_c$
in each dimension. Numerics suggests that both points, $p_c$ and $p^*$, seem to
share the same $1/d$-expansion, at least for several leading orders, each
starting with $1/(2d)$. Hence, these lattice graphs have average connectivities
of $\alpha=2dp\gtrsim1$ near $p^*$ and exact graph-reduction methods become
very effective in eliminating recursively all spins of connectivity $\leq3$,
allowing the treatment of lattices of lengths up to L=30 and with up to
$10^5-10^6$ spins. Using finite-size scaling, data for the defect energy width
$\sigma(\Delta E)$ over a range of $p>p^*$ in each dimension can be combined to
reach scaling regimes of about one decade in the scaling variable
$L(p-p^*)^{\nu^*}$. Accordingly, unprecedented accuracy is obtained for the
stiffness exponents compared to undiluted lattices ($p=1$), where scaling is
far more limited. Surprisingly, scaling corrections typically are more benign
for diluted lattices. We find in $d=3,...,6$ for the stiffness exponents
$y_3=0.24(1)$, $y_4=0.61(2), y_5=0.88(5)$, and $y_6=1.1(1)$. The result for the
upper critical dimension, $d_u=6$, suggest a mean-field value of $y_\infty=1$.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 15:20:21 GMT""}]","2009-11-10"
"cond-mat/0310699","Alexej Streltsov","L.S. Cederbaum and A.I. Streltsov","Self-consistent fragmented excited states of trapped condensates","(11 pages 2 figures, submitted to PRL)","Phys. Rev. A 70, 023610 (2004)","10.1103/PhysRevA.70.023610",,"cond-mat",,"  Self-consistent excited states of condensates are solutions of the
Gross-Pitaevskii (GP) equation and have been amply discussed in the literature
and related to experiments. By introducing a more general mean-field which
includes the GP one as a special case, we find a new class of self-consistent
excited states. In these states macroscopic numbers of bosons reside in
different one-particle functions, i.e., the states are fragmented. Still, a
single chemical potential is associated with the condensate. A numerical
example is presented, illustrating that the energies of the new, fragmented,
states are much lower than those of the GP excited states, and that they are
stable to variations of the particle number and shape of the trap potential.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 15:25:01 GMT""}]","2009-11-10"
"cond-mat/0310700","Tulika Maitra","T. Maitra, P. Thalmeier and T. Chatterji","Volume contraction at the Jahn-Teller transition of LaMnO$_3$","5 pages, 4 figures","Phys. Rev. B 69, 132417 (2004)","10.1103/PhysRevB.69.132417",,"cond-mat.str-el cond-mat.mtrl-sci",,"  We have studied the volume collapse of LaMnO$_3$ at the Jahn- Teller (JT)
transition temperature T$_{JT}$=750 K which has recently been found in high
temperature powder x- ray and neutron diffraction experiments. We construct a
model Hamiltonian involving the pseudospin of Mn$^{3+}$ e$_g$ states, the
staggered JT distortion and the volume strain coordinate. We show that the
anharmonic coupling between these primary and secondary order parameters leads
to the first order JT phase transition associated with a comparatively large
reduction of the unit cell volume of $\Delta$V/V$\simeq$ 10$^{-2}$. We explain
the temperature dependence of JT distortions and volume strain and discuss the
volume change as function of the anharmonic coupling constant. A continuous
change to a second order transition as function of model parameters is
obtained. This behaviour is also observed under Ba doping.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 15:27:48 GMT""}]","2009-11-10"
"cs/0310054","Bernhard M\""oller","J. Desharnais, B. M\""oller, G. Struth","Kleene algebra with domain","40 pages",,,,"cs.LO",,"  We propose Kleene algebra with domain (KAD), an extension of Kleene algebra
with two equational axioms for a domain and a codomain operation, respectively.
KAD considerably augments the expressiveness of Kleene algebra, in particular
for the specification and analysis of state transition systems. We develop the
basic calculus, discuss some related theories and present the most important
models of KAD. We demonstrate applicability by two examples: First, an
algebraic reconstruction of Noethericity and well-foundedness; second, an
algebraic reconstruction of propositional Hoare logic.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 16:09:48 GMT""}]","2007-05-23"
"cs/0310055","Judith Beumer","William McCune","Mace4 Reference Manual and Guide","17 pages",,,"ANL/MCS-TM-264","cs.SC cs.MS",,"  Mace4 is a program that searches for finite models of first-order formulas.
For a given domain size, all instances of the formulas over the domain are
constructed. The result is a set of ground clauses with equality. Then, a
decision procedure based on ground equational rewriting is applied. If
satisfiability is detected, one or more models are printed. Mace4 is a useful
complement to first-order theorem provers, with the prover searching for proofs
and Mace4 looking for countermodels, and it is useful for work on finite
algebras. Mace4 performs better on equational problems than did our previous
model-searching program Mace2.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 16:56:44 GMT""}]","2007-05-23"
