"astro-ph/0309800","Neal Weiner","Rob Fardon, Ann E. Nelson, and Neal Weiner (UW)","Dark Energy from Mass Varying Neutrinos","26 pages, 3 figures, refs added, typos corrected, comment added about
  possible matter effects","JCAP 0410:005,2004","10.1088/1475-7516/2004/10/005","UW/PT 03-22","astro-ph hep-ph hep-th",,"  We show that mass varying neutrinos (MaVaNs) can behave as a negative
pressure fluid which could be the origin of the cosmic acceleration. We derive
a model independent relation between the neutrino mass and the equation of
state parameter of the neutrino dark energy, which is applicable for general
theories of mass varying particles. The neutrino mass depends on the local
neutrino density and the observed neutrino mass can exceed the cosmological
bound on a constant neutrino mass. We discuss microscopic realizations of the
MaVaN acceleration scenario, which involve a sterile neutrino. We consider
naturalness constraints for mass varying particles, and find that both ev
cutoffs and ev mass particles are needed to avoid fine-tuning. These
considerations give a (current) mass of order an eV for the sterile neutrino in
microscopic realizations, which could be detectable at MiniBooNE. Because the
sterile neutrino was much heavier at earlier times, constraints from big bang
nucleosynthesis on additional states are not problematic. We consider regions
of high neutrino density and find that the most likely place today to find
neutrino masses which are significantly different from the neutrino masses in
our solar system is in a supernova. The possibility of different neutrino mass
in different regions of the galaxy and the local group could be significant for
Z-burst models of ultra-high energy cosmic rays. We also consider the cosmology
of and the constraints on the ``acceleron'', the scalar field which is
responsible for the varying neutrino mass, and briefly discuss neutrino density
dependent variations in other constants, such as the fine structure constant.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 19:40:39 GMT""},{""version"":""v2"",""created"":""Mon, 3 Nov 2003 20:25:51 GMT""}]","2009-11-10"
"gr-qc/0310002","Steven Carlip","M. Anderson, S. Carlip, J. Ratcliffe, S. Surya, S. Tschantz","Peaks in the Hartle-Hawking Wave Function from Sums over Topologies","16 pages,LaTeX, no figures; v2: some changes coming from revision of
  a math reference: wave function peaks sharp but not infinite; v3: added
  paragraph in intro on interpretation of wave function","Class.Quant.Grav.21:729-742,2004","10.1088/0264-9381/21/2/025","UCD-2003-10","gr-qc astro-ph hep-th",,"  Recent developments in ``Einstein Dehn filling'' allow the construction of
infinitely many Einstein manifolds that have different topologies but are
geometrically close to each other. Using these results, we show that for many
spatial topologies, the Hartle-Hawking wave function for a spacetime with a
negative cosmological constant develops sharp peaks at certain calculable
geometries. The peaks we find are all centered on spatial metrics of constant
negative curvature, suggesting a new mechanism for obtaining local homogeneity
in quantum cosmology.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 00:24:48 GMT""},{""version"":""v2"",""created"":""Fri, 31 Oct 2003 21:22:21 GMT""},{""version"":""v3"",""created"":""Wed, 19 Nov 2003 22:11:07 GMT""}]","2010-04-28"
"gr-qc/0310003","Vladimir Majernik","V. Majernik","Is the Energy Density of the Cosmic Quaternionic Field a Possible
  Candidate for the Black Energy?","9 pages",,,,"gr-qc",,"  We try to show that the energy density of the cosmic quaternionic field might
be a possible candidate for the black energy.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 09:24:48 GMT""}]","2007-05-23"
"gr-qc/0310004","Stefano Ansoldi","Stefano Ansoldi","WKB metastable quantum states of a de Sitter--Reissner-Nordstroem dust
  shell","IOPart class, 16 figures","Class.Quant.Grav. 19 (2002) 6321-6344","10.1088/0264-9381/19/24/304",,"gr-qc",,"  We study the dynamics of a spherically symmetric dust shell separating two
spacetime domains, the 'interior' one being a part of the de Sitter spacetime
and the exterior one having the 'extremal' Reissner-Nordstroem geometry.
Extending the ideas of previous works on the subject, we show that the it is
possible to determine the (metastable) WKB quantum states of this gravitational
system.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 13:46:04 GMT""}]","2022-05-04"
"gr-qc/0310005","Maciej Dunajski","Maciej Dunajski, Maciej Przanowski","Null K\""ahler structures, Symmetries and Integrability","Text of a talk given at the conference on ""Mathematical Physics,
  General Relativity and Cosmology"", held in honour of Professor Jerzy
  Plebanski. To appear in the Proceedings","Topics in Mathematical Physics, General Relativity and Cosmology
  in Honor of Jerzy Plebanski, ed. Hugo Garcia-Compean, Bogdan Mielnik, Merced
  Montesinos & Maciej Przanowski. World Scientific 2006.",,"DAMTP-2003-74","gr-qc hep-th math-ph math.MP nlin.SI",,"  We review the integrable systems which arise as symmetry reductions of
Plebanski's heavenly equations, and their generalisations. We also show that
all four-dimensional null Kahler-Einstein (or type N hyper-heavenly) metrics
with symmetry can be found from solutions to a variable coefficient
generalisation of the dispersionless Kadomtsev-Petviashvili equation.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 15:30:35 GMT""},{""version"":""v2"",""created"":""Thu, 22 Jul 2004 02:25:31 GMT""},{""version"":""v3"",""created"":""Wed, 21 Jun 2006 11:59:10 GMT""}]","2007-05-23"
"hep-ex/0309079","David Kawall","D. Kawall, F. Bay, S. Bickman, Y. Jiang, D. DeMille","Proof of principle for a high sensitivity search for the electric dipole
  moment of the electron using the metastable a(1)[^3\Sigma^+] state of PbO","5 pages, 3 figures","Phys.Rev.Lett. 92 (2004) 133007","10.1103/PhysRevLett.92.133007",,"hep-ex nucl-ex physics.atom-ph",,"  The metastable a(1)[^3\Sigma^+] state of PbO has been suggested as a suitable
system in which to search for the electric dipole moment (EDM) of the electron.
We report here the development of experimental techniques allowing
high-sensitivity measurements of Zeeman and Stark effects in this system,
similar to those required for an EDM search. We observe Zeeman quantum beats in
fluorescence from a vapor cell, with shot-noise limited extraction of the
quantum beat frequencies, high counting rates, and long coherence times. We
argue that improvement in sensitvity to the electron EDM by at least two orders
of magnitude appears possible using these techniques.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 18:59:10 GMT""}]","2009-11-10"
"hep-ex/0310001","Alexander Korol","M. N. Achasov, K. I. Beloborodov, A. V. Berdugin, A. G. Bogdanchikov,
  A. V. Bozhenok, A. D. Bukin, D. A. Bukin, A. V. Vasiljev, T. V. Dimova, V. P.
  Druzhinin, V. B. Golubev, A. A. Korol, S. V. Koshuba, A. P. Lysenko, E. V.
  Pakhtusova, S. I. Serednyakov, Yu. M. Shatunov, V. A. Sidorov, Z. K.
  Silagadze, A. N. Skrinsky, Yu. V. Usov","Study of the e^+e^-\to\pi^0\gamma process in the energy range 0.60-1.06
  GeV","6 pages, 1 figure, Talk given at the X International Conference on
  Hadron Spectroskopy, Aschaffenburg, Germany, August 31 - September 6, 2003
  Replacement: e-print authors list corrected, contents not modified","AIP Conf.Proc.717:130-134,2004","10.1063/1.1799691",,"hep-ex",,"  The process e^+e^-\to\pi^0\gamma in the energy range \sqrt{s}=0.60-1.06 GeV
was studied at VEPP-2M collider with SND detector using 14 pb^{-1} of
integrated luminosity. Data were analyzed in the framework of the vector meson
dominance model. Preliminary results on obtained cross-section and parameters
of \rho^0, \omega ,\phi \to \pi^0\gamma radiative decays are presented.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 23:00:53 GMT""},{""version"":""v2"",""created"":""Thu, 2 Oct 2003 16:04:37 GMT""}]","2011-07-19"
"hep-ex/0310002","Mauricio Barbi","M. Barbi (McGill University) (for the ZEUS Collaboration)","KsKs resonances in deep inelastic scattering at HERA","5 pages, 3 figures, to appear in the proceedings of the 10th
  International Conference on Hadron Spectroscopy, Aschaffenburg (Germany),
  August 31 to September 6, 2003",,"10.1063/1.1799686",,"hep-ex",,"  Inclusive KsKs production in deep inelastic ep scattering at HERA has been
studied with the ZEUS detector using an integrated luminosity of 120 pb-1. Two
states are observed at masses of 1537{+9}{-8} MeV and 1726{+-7} MeV, as well as
an enhancement around 1300 MeV. The state at 1537 MeV is consistent with the
well established f'2(1525). The state at 1726 MeV may be the glueball candidate
f0(1710). However, it's width of 38{+20}{-14} MeV is narrower than 125{+-10}
MeV observed by previous experiments for the f0(1710).
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 11:55:35 GMT""}]","2019-08-14"
"hep-ex/0310003","Zein-Eddine Meziani","the Jefferson Lab E94-010 Collaboration: M. Amarian, L. Auerbach, T.
  Averett, J. Berthot, et al","Q^2 Evolution of the Neutron Spin Structure Moments using a He-3 Target","5 pages, 2 figures, submitted to Phys. Rev. Lett.. Updated Hermes
  data in Fig. 2 (top panel) and their corresponding reference. Updated the low
  x extrapolation error Fig. 2 (middle panel). Corrected references to ChiPT
  calculations","Phys.Rev.Lett.92:022301,2004","10.1103/PhysRevLett.92.022301",,"hep-ex nucl-ex",,"  We have measured the spin structure functions $g_1$ and $g_2$ of $^3$He in a
double-spin experiment by inclusively scattering polarized electrons at
energies ranging from 0.862 to 5.07 GeV off a polarized $^3$He target at a
15.5$^{\circ}$ scattering angle. Excitation energies covered the resonance and
the onset of the deep inelastic regions. We have determined for the first time
the $Q^2$ evolution of $\Gamma_1(Q^2)=\int_0^{1} g_1(x,Q^2) dx$,
$\Gamma_2(Q^2)=\int_0^1 g_2(x,Q^2) dx$ and $d_2 (Q^2) = \int_0^1 x^2[
2g_1(x,Q^2) + 3g_2(x,Q^2)] dx$ for the neutron in the range 0.1 GeV$^2$ $\leq
Q^2 \leq $ 0.9 GeV$^2$ with good precision. $ \Gamma_1(Q^2)$ displays a smooth
variation from high to low $Q^2$. The Burkhardt-Cottingham sum rule holds
within uncertainties and $d_2$ is non-zero over the measured range.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 13:19:25 GMT""},{""version"":""v2"",""created"":""Thu, 23 Oct 2003 22:17:20 GMT""},{""version"":""v3"",""created"":""Fri, 28 Nov 2003 17:20:35 GMT""}]","2012-08-27"
"hep-lat/0309191","S. Stickan","S. Stickan, F. Karsch, E. Laermann, P. Petreczky","Free Meson Spectral Functions on the Lattice","3 pages, Lattice2003(nonzero)",,"10.1016/S0920-5632(03)02654-9","BI-TP 2003/28 / BNL-NT-03/29","hep-lat",,"  We present results from an analytic calculation of thermal meson spectral
functions in the infinite temperature (free field) limit. We compare spectral
functions for various lattice fermion formulations used at present in studies
of in-medium properties of hadrons based on the maximum entropy method (MEM).
In particular, we will present a new calculation of spectral functions
performed with extended quark sources.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 17:00:28 GMT""}]","2009-11-10"
"hep-lat/0310001","Yasuhisa Kayaba","Sinya Aoki, Yasuhisa Kayaba and Yoshinobu Kuramashi","One-loop calculation of mass dependent ${\cal O}(a)$ improvement
  coefficients for the relativistic heavy quarks on the lattice","Lattice2003(improve), 3 pages",,"10.1016/S0920-5632(03)02579-9","UT-CCP-P-143, UTHEP-477","hep-lat",,"  We carry out the one-loop calculation of mass dependent ${\cal O}(a)$
improvement coefficients in the relativistic heavy quark action recently
proposed, employing the ordinary perturbation theory with the fictitious gluon
mass as an infrared regulator. We also determine renormalization factors and
improvement coefficients for the axial-vector current at the one-loop level. It
is shown that the improvement coefficients are infrared finite at the one-loop
level if and only if the improvement coefficients in the action are properly
tuned at the tree level.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 08:49:35 GMT""},{""version"":""v2"",""created"":""Fri, 14 Nov 2003 09:15:09 GMT""}]","2015-06-25"
"hep-lat/0310002","Jonna Koponen","J. Koponen, A. M. Green, C. Michael (UKQCD Collaboration)","Energy spectrum of a Heavy-Light meson","3 pages, 3 figures, Lattice2003(heavy)","Nucl.Phys.Proc.Suppl.129:367-369,2004","10.1016/S0920-5632(03)02584-2","HIP-2003-51/TH","hep-lat",,"  The energies of different angular momentum states of a heavy-light meson were
measured on a lattice by Michael and Peisa in Phys. Rev. D 58, 34506 (1998). We
have now repeated this study using a larger, quenched lattice to check that
there the finite size effects are under control. Also the effect of quenching
is studied by using dynamical fermion configurations. In the latter case the
lattice spacing a is smaller, which allows one to make an estimate of a -> 0
corrections. The new measurements confirm the earlier calculated energy
spectrum.
  From some theoretical considerations it is expected that, for high angular
momentum states, the multiplets should be inverted compared with the Coulomb
spectrum, i.e. L- should lie higher than L+ (see H. J. Schnitzer Phys. Lett. B
226, 171 (1989)). This happens when a pure scalar confining potential is
present. Here the notation L+(-) means that the light quark spin couples to
angular momentum L giving the total j=L+/- 1/2. Experimentally this inversion
is not seen for P-wave mesons, and lattice measurements now suggest that there
is no inversion in the D-wave either. Indeed we find that the spin-orbit
splitting is very small for both values L=1 and 2. This almost exact
cancellation need not be a coincidence, and could probably be understood by
using straightforward symmetry arguments (P.R. Page, T. Goldman and J.N.
Ginocchio, Phys. Rev. Lett. 86, 204 (2001)).
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 11:41:27 GMT""}]","2008-11-26"
"hep-ph/0309342","Apostolos Pilaftsis","Apostolos Pilaftsis and Thomas E. J. Underwood","Resonant Leptogenesis","53 pages, LaTeX, 5 eps figures, improved Eq. (A.7) and clarifying
  comments added","Nucl.Phys.B692:303-345,2004","10.1016/j.nuclphysb.2004.05.029","MC-TH-2003-09","hep-ph",,"  We study the scenario of thermal leptogenesis in which the leptonic
asymmetries are resonantly enhanced through the mixing of nearly degenerate
heavy Majorana neutrinos that have mass differences comparable to their decay
widths. Field-theoretic issues arising from the proper subtraction of real
intermediate states from the lepton-number-violating scattering processes are
addressed in connection with an earlier developed resummation approach to
unstable particle mixing in decay amplitudes. The pertinent Boltzmann equations
are numerically solved after the enhanced heavy-neutrino self-energy effects on
scatterings and the dominant gauge-mediated collision terms are included. We
show that resonant leptogenesis can be realized with heavy Majorana neutrinos
even as light as about 1 TeV, in complete accordance with the current solar and
atmospheric neutrino data.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 16:39:03 GMT""},{""version"":""v2"",""created"":""Tue, 21 Oct 2003 17:19:00 GMT""},{""version"":""v3"",""created"":""Mon, 1 Mar 2004 19:11:59 GMT""}]","2011-05-05"
"hep-ph/0309345","Pedro David Ruiz-Femenia","P. D. Ruiz-Femenia, A. Pich and J. Portoles","Phenomenology of the <VVP> Green's function within the Resonance Chiral
  Theory","4 pages, 1 figure. Talk given at QCD 03: High-Energy Physics
  International Conference in Quantum Chromodynamics, Montpellier, France, 2-8
  Jul 2003",,"10.1016/j.nuclphysbps.2004.04.167","IFIC/03-43, FTUV/03-0930","hep-ph",,"  We analyse the odd-intrinsic-parity effective Lagrangian of QCD valid for
processes involving one pseudoscalar with two vector mesons described in terms
of antisymmetric tensor fields. Substantial information on the
odd-intrinsic-parity couplings is obtained by constructing the
vector-vector-pseudoscalar Green's three-point function, at leading order in
1/N_C, and demanding that its short-distance behaviour matches the
corresponding OPE result. The QCD constraints thus enforced allow us to predict
the decay amplitude omega -> pi gamma, the O(p^6) corrections to pi -> gamma
gamma and the slope parameter in pi -> gamma gamma^*.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 17:41:58 GMT""}]","2009-11-10"
"hep-ph/0309346","Carlos Munoz","Carlos Munoz","Dark Matter Detection in the Light of Recent Experimental Results","Final version to appear in Int. J. Mod. Phys. A, with 82 pages and 29
  figures. More references added","Int.J.Mod.Phys. A19 (2004) 3093-3170","10.1142/S0217751X04018154","FTUAM 03/18, IFT-UAM/CSIC-03-38","hep-ph astro-ph",,"  The existence of dark matter was suggested, using simple gravitational
arguments, seventy years ago. Although we are now convinced that most of the
mass in the Universe is indeed some non-luminous matter, we still do not know
its composition. The problem of the dark matter in the Universe is reviewed
here. Particle candidates for dark matter are discussed with particular
emphasis on Weakly Interacting Massive Particles (WIMPs). Experiments searching
for these relic particles, carried out by many groups around the world, are
also reviewed, paying special attention to their direct detection by observing
the elastic scattering on target nuclei through nuclear recoils. Finally, we
concentrate on the theoretical models predicting WIMPs, and in particular on
supersymmetric extensions of the standard model, where the leading candidate
for WIMP, the neutralino, is present. There, we compute the cross section for
the direct detection of neutralinos, and compare it with the sensitivity of
detectors. We mainly discuss supergravity, superstring and M-theory scenarios.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 17:58:33 GMT""},{""version"":""v2"",""created"":""Thu, 30 Oct 2003 16:31:35 GMT""},{""version"":""v3"",""created"":""Mon, 22 Mar 2004 22:29:09 GMT""},{""version"":""v4"",""created"":""Mon, 31 May 2004 14:56:01 GMT""}]","2009-11-10"
"hep-ph/0309347","Gary Steigman","Gary Steigman","Forensic Cosmology: Probing Baryons and Neutrinos With BBN and the CBR","To appear in the proceedings of the IVth Marseille International
  Cosmology Conference, ""Where Cosmology and Fundamental Physics Meet"". 12
  pages, 9 figures",,,,"hep-ph astro-ph",,"  The primordial abundances of the light nuclides produced by Big Bang
Nucleosynthesis (BBN) during the first 20 minutes in the evolution of the
Universe are sensitive to the universal density of baryons and to the expansion
rate of the early Universe. For example, while deuterium is an excellent
baryometer, helium-4 provides an accurate chronometer. Some 400 kyr later, when
the cosmic background radiation (CBR) was freed from the grasp of the ionized
plasma of protons and electrons, the spectrum of temperature fluctuations also
depended on (among other parameters) the baryon density and the density in
relativistic particles. The comparison between the constraints imposed by BBN
and those from the CBR reveals a remarkably consistent picture of the Universe
at two widely separated epochs in its evolution. Combining these two probes
leads to new estimates of the baryon density at present and tighter constraints
on possible physics beyond the standard model of particle physics. In this
review the consistency between these complementary probes of the universal
baryon density and the early-Universe expansion rate is exploited to provide
new constraints on any asymmetry between relic neutrinos and anti-neutrinos
(neutrino degeneracy).
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 19:25:10 GMT""},{""version"":""v2"",""created"":""Tue, 30 Sep 2003 20:52:16 GMT""}]","2007-05-23"
"hep-ph/0310001","Zack Sullivan","Edmond L. Berger and Zack Sullivan","Lower limits on R-parity-violating couplings in supersymmetric models
  with light squarks","10 pgs. revtex4, 2 ps figures, to appear in Phys. Rev. Lett.,
  extended description of anomalous isotope calculation and results","Phys.Rev.Lett. 92 (2004) 201801","10.1103/PhysRevLett.92.201801","ANL-HEP-PR-03-073, FERMILAB-Pub-03/288-T","hep-ph hep-ex",,"  We interpret the results of searches for strongly interacting massive
particles to place absolute lower limits on R-parity-violating couplings for
squarks with mass (m_\tilde{q}) below 100 GeV. Recent searches for anomalous
isotopes require that there be a baryon-number-violating or
lepton-number-violating coupling larger than 10^{-22} -- 10^{-21} if
m_\tilde{q} > 18 GeV. Using data from searches for stable particles at the CERN
Large Electron Positron collider (LEP) we demonstrate that this lower limit
increases by 14 orders of magnitude, to an R-parity-violating coupling larger
than 10^{-8} -- 10^{-7} for any squarks of mass less than 90 GeV. In the
presence of an R-parity-violating coupling of this magnitude, neutralinos
cannot explain the dark matter density in the Universe.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 20:00:39 GMT""},{""version"":""v2"",""created"":""Tue, 30 Mar 2004 20:49:16 GMT""}]","2009-11-10"
"hep-ph/0310002","Frank Daniel Steffen","Frank Daniel Steffen","Confining Strings and High-Energy Reactions","1 page, no figure. Contribution to Confinement 2003, Tokyo, July
  21-24",,,,"hep-ph hep-lat nucl-th",,"  We present the loop-loop correlation model that allows us to compute
confining flux tubes and to examine their effects and manifestations in
high-energy reactions.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 20:36:43 GMT""}]","2016-09-06"
"hep-ph/0310003","Silvia Pascoli","S. Pascoli and S. T. Petcov","Addendum: The SNO Solar Neutrino Data, Neutrinoless Double Beta-Decay
  and Neutrino Mass Spectrum","12 pages, Latex; the text contains 3 tables; 10 pages of text, 2
  ps-figures","Phys.Lett.B580:280-289,2004","10.1016/j.physletb.2003.11.030",,"hep-ph",,"  We update our earlier study in [1], which was inspired by the 2002 SNO data,
on the implications of the results of the solar neutrino experiments for the
predictions of the effective Majorana mass in neutrinoless double beta-decay,
|<m>|. We obtain predictions for |<m>| using the values of the neutrino
oscillation parameters, obtained in the analyzes of the presently available
solar neutrino data, including the just published data from the salt phase of
the SNO experiment, the atmospheric neutrino and CHOOZ data and the first data
from the KamLAND experiment. The main conclusion reached in ref. [1] of the
existence of significant lower bounds on |<m>| in the cases of neutrino mass
spectrum of inverted hierarchical (IH) and quasi-degenerate (QD) type is
strongly reinforced by fact that combined solar neutrino data i) exclude the
possibility of cos(2 \theta_\odot)=0 at more than 5 s.d., ii) determine as a
best fit value cos(2 \theta_\odot)=0.40, and ii) imply at 95% C.L. that cos(2
\theta_\odot) \geq 0.22, \theta_\odot being the solar neutrino mixing angle.
For the IH and QD spectra we get using, e.g., the 90% C.L. allowed ranges of
values of the oscillation parameters, |<m>| \geq 0.010 eV and |<m>| \geq 0.043
eV, respectively. We also comment on the possibility to get information on the
neutrino mass spectrum and on the CP-violation in the lepton sector due to
Majorana CP-violating phases.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 22:28:58 GMT""}]","2008-11-26"
"hep-ph/0310004","Hongshi Zong","Hong-shi Zong, Shi Qi, Wei Chen, Wei-min Sun, and En-guang Zhao","Pion susceptibility of the QCD vacuum from an effective quark-quark
  interaction","13 pages, 2 figures","Phys.Lett. B576 (2003) 289-296","10.1016/j.physletb.2003.09.099",,"hep-ph",,"  A modified method for calculating the pion vacuum susceptibility from an
effective quark-quark interaction model is derived. Within this approach it is
shown that the pion vacuum susceptibility is free of ultraviolet divergence and
is much smaller than the previous estimations.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 01:52:41 GMT""}]","2015-06-25"
"hep-ph/0310005","Stepan Olean","S.S. Olean","Effective Lagrangian for Baryons and Baryon-Meson Interaction","4 pages",,,,"hep-ph",,"  Expansion of model Nambu-Jona-Lasinio is considered and on its basis an
effective lagrangian for mesons, baryons and baryon - meson interaction has
been obtained.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 12:28:27 GMT""}]","2007-05-23"
"hep-ph/0310006","Grigory Volovik","G.E. Volovik","Dark matter from SU(4) model","9 pages, 2 figures, version accepted in JETP Letters, corrected after
  referee reports, references are added","Pisma Zh.Eksp.Teor.Fiz. 78 (2003) 1203-1206; JETP Lett. 78 (2003)
  691-694","10.1134/1.1648287",,"hep-ph cond-mat gr-qc",,"  The left-right symmetric Pati-Salam model of the unification of quarks and
leptons is based on SU(4) and SU(2)xSU(2) groups. These groups are naturally
extended to include the classification of families of quarks and leptons. We
assume that the family group (the group which unites the families) is also the
SU(4) group. The properties of the 4-th generation of fermions are the same as
that of the ordinary-matter fermions in first three generations except for the
family charge of the SU(4)_F group: F=(1/3,1/3,1/3,-1), where F=1/3 for
fermions of ordinary matter and F=-1 for the 4-th generation. The difference in
F does not allow the mixing between ordinary and fourth-generation fermions.
Because of the conservation of the F charge, the creation of baryons and
leptons in the process of electroweak baryogenesis must be accompanied by the
creation of fermions of the 4-th generation. As a result the excess n_B of
baryons over antibaryons leads to the excess n_{\nu 4}=N-\bar N=n_B of
neutrinos over antineutrinos in the 4-th generation. This massive
fourth-generation neutrino may form the non-baryonic dark matter. In principle
their mass density n_{\nu 4}m_N in the Universe can give the main contribution
to the dark matter, since the lower bound on neutrino mass m_N from the data on
decay of the Z-bosons is m_N > m_Z/2. The straightforward prediction of this
model leads to the amount of cold dark matter relative to baryons, which is an
order of magnitude bigger than allowed by observations. This inconsistency may
be avoided by non-conservation of the F-charge.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 06:43:56 GMT""},{""version"":""v2"",""created"":""Fri, 3 Oct 2003 13:02:44 GMT""},{""version"":""v3"",""created"":""Wed, 15 Oct 2003 14:25:04 GMT""},{""version"":""v4"",""created"":""Thu, 30 Oct 2003 14:10:21 GMT""}]","2009-11-10"
"hep-ph/0310007","Javier Vijande ASenjo","J. Vijande, F. Fernandez, A. Valcarce, B. Silvestre-Brac","Tetraquarks in a chiral constituent quark model","13 pages, no figures. Accepted for publication in European Journal of
  Physics A","Eur.Phys.J.A19:383,2004","10.1140/epja/i2003-10128-9",,"hep-ph",,"  We analyze the possibility of heavy-light tetraquark bound states by means of
a chiral constituent quark model. The study is done in a variational approach.
Special attention is paid to the contribution given by the different terms of
the interacting potential and also to the role played by the different color
channels. We find a stable state for both $qq\bar{c}\bar{c}$ and
$qq\bar{b}\bar{b}$ configurations. Possible decay modes of these structures are
analyzed.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 07:22:33 GMT""}]","2011-01-25"
"hep-ph/0310008","Pedro Bicudo","P. Bicudo, G. M. Marques","Hard core attraction in hadron scattering and the family of the Ds meson
  molecule","5 pages, 1 figure, 2 tables, contribution to the X International
  Conference on Hadron Spectroscopy, HADRON 2003, August 31 - September 6,
  2003, Aschaffenburg, Germany",,"10.1063/1.1799762",,"hep-ph",,"  We study the discovered Ds(2317) at BABAR, CLEO and BELLE, and find that it
belongs to a class of strange multiquarks, which is equivalent to the class of
kaonic molecules bound by hard core attraction. In this class of hadrons a kaon
is trapped by a s-wave meson or baryon. To describe this class of multiquarks
we apply the Resonating Group Method, and extract the hard core
kaon-meson(baryon)interactions. We derive a criterion to classify the
attractive channels. We find that the mesons f0(980), Ds(2457), Bs scalar and
axial, and also the baryons with the quantum numbers of Lambda, Xi_c, Xi_b and
also Omega_cc, Omega_cb and Omega_bb belong to the new hadronic class of the
Ds(2317).
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 08:59:16 GMT""}]","2009-11-10"
"hep-ph/0310009","Catherine Bourge","Eli Ben-Haim","Hadronisation at LEP","Talk given at XXXVIII Rencontres de Moriond, March 23rd - 29th, 2003",,,,"hep-ph hep-ex",,"  An overview of recent results from LEP concerning the hadronisation process
is presented. Emphasis is placed on the $b$-quark. The first presented analysis
is the measurement of the $b$-quark fragmentation function. It includes a new,
hadronic-model independent method to extract the x-dependence of the
non-perturbative QCD component from the measured fragmentation function. This
is followed by the results of two analyses on, respectively, production rates
of b-excited states and branching fractions of b-quarks to neutral and charged
b-hadrons. Multiplicity in the final state is also discussed concerning the
difference in multiplicities between b and light quark initiated events, and
total multiplicities in three jet events. Finally, recent measurements of
\omega and \eta meson production rates are given.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 09:16:28 GMT""}]","2007-05-23"
"hep-ph/0310010","Sandhya Choubey","Sandhya Choubey","Precision measurement of oscillation parameters with reactors","Talk presented at the 5th International Workshop on Neutrino
  Factories & Superbeams (NuFact'03), Columbia University, New York, June 5-11,
  2003",,"10.1063/1.1818396",,"hep-ph",,"  We review the potential of long and intermediate baseline reactor neutrino
experiments in measuring the mass and mixing parameters. The KamLAND experiment
can measure the solar mass squared difference very precisely. However it is not
at the ideal baseline for measuring the solar neutrino mixing angle. If low-LMA
is confirmed by the next results from KamLAND, a reactor experiment with a
baseline of 70 km should be ideal to measure precisely the solar neutrino
mixing angle. If on the contrary KamLAND re-establishes high-LMA as a viable
solution, then a 20--30 km intermediate baseline reactor experiment could yield
very rich phenomenology.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 09:32:40 GMT""}]","2009-11-10"
"hep-ph/0310011","Olaf Kittel","A. Bartl, H. Fraas, T. Kernreiter, O. Kittel, W. Majerotto","Impact of beam polarization on CP asymmetries in neutralino pair
  production","6 pages, 3 figures, contribution to the POWER (polarization at work
  in energetic reactions) working group",,,"WUE-ITP-03-016, UWThPh-2003-24, HEPHY-PUB 779/03","hep-ph",,"  We analyze the dependence of CP-odd asymmetries on longitudinally polarized
e+ and e- beams in neutralino production and subsequent leptonic two-body
decays. We give numerical examples of the asymmetries and of the cross sections
in the Minimal Supersymmetric Standard Model with complex parameters mu, M_1
and A_{tau} for a collider with sqrt{s}=500 GeV. We show that longitudinally
polarized electron and positron beams can enhance considerably both the
asymmetries and the cross sections.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 09:53:10 GMT""}]","2007-05-23"
