"astro-ph/0306364","Robert J. Scherrer","Casey R. Watson and Robert J. Scherrer","The Evolution of Inverse Power Law Quintessence at Low Redshift","6 pages, 6 figures, new figure added, numerous clarifications","Phys.Rev.D68:123524,2003","10.1103/PhysRevD.68.123524",,"astro-ph gr-qc hep-ph",,"  Quintessence models based on a scalar field, phi, with an inverse power law
potential display simple tracking behavior at early times, when the
quintessence energy density, rho_phi, is sub-dominant. At late times, when
rho_phi becomes comparable to the matter density, the evolution of phi diverges
from its scaling behavior. We calculate the first order departure of phi from
its tracker solution at low redshift. Our results for the evolution of phi,
rho_phi, Omega_phi, and w are suprisingly accurate even down to z=0. We find
that w and Omega_phi are related linearly to first order. We also derive a
semi-analytic expression for w(z) which is accurate to within a few percent.
Our analytic techniques are potentially applicable to any quintessence model in
which the quintessence component comes to dominate at late times.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:12:18 GMT""},{""version"":""v2"",""created"":""Mon, 23 Jun 2003 15:45:22 GMT""},{""version"":""v3"",""created"":""Fri, 19 Sep 2003 20:25:40 GMT""}]","2009-11-10"
"cond-mat/0306490","Gustavo A. Narvaez","Gustavo A. Narvaez (The Ohio State University) and George Kirczenow
  (Simon Fraser University)","Electronic excitations and the tunneling spectra of metallic nanograins","Submitted to the Physical Review B",,"10.1103/PhysRevB.68.245415",,"cond-mat.mtrl-sci",,"  Tunneling-induced electronic excitations in a metallic nanograin are
classified in terms of {\em generations}: subspaces of excitations containing a
specific number of electron-hole pairs. This yields a hierarchy of populated
excited states of the nanograin that strongly depends on (a) the available
electronic energy levels; and (b) the ratio between the electronic relaxation
rate within the nano-grain and the bottleneck rate for tunneling transitions.
To study the response of the electronic energy level structure of the nanograin
to the excitations, and its signature in the tunneling spectrum, we propose a
microscopic mean-field theory. Two main features emerge when considering an Al
nanograin coated with Al oxide: (i) The electronic energy response fluctuates
strongly in the presence of disorder, from level to level and excitation to
excitation. Such fluctuations produce a dramatic sample dependence of the
tunneling spectra. On the other hand, for excitations that are energetically
accessible at low applied bias voltages, the magnitude of the response,
reflected in the renormalization of the single-electron energy levels, is
smaller than the average spacing between energy levels. (ii) If the tunneling
and electronic relaxation time scales are such as to admit a significant
non-equilibrium population of the excited nanoparticle states, it should be
possible to realize much higher spectral densities of resonances than have been
observed to date in such devices. These resonances arise from tunneling into
ground-state and excited electronic energy levels, as well as from charge
fluctuations present during tunneling.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 04:32:11 GMT""}]","2009-11-10"
"cond-mat/0306491","Armando Rastelli","A. Rastelli, H. von Kaenel, B. J. Spencer and J. Tersoff","Prepyramid-to-pyramid transition of SiGe islands on Si(001)",,,"10.1103/PhysRevB.68.115301",,"cond-mat",,"  The morphology of the first three-dimensional islands appearing during
strained growth of SiGe alloys on Si(001) was investigated by scanning
tunneling microscopy. High resolution images of individual islands and a
statistical analysis of island shapes were used to reconstruct the evolution of
the island shape as a function of size. As they grow, islands undergo a
transition from completely unfacetted rough mounds (prepyramids) to partially
{105} facetted islands and then they gradually evolve to {105} facetted
pyramids. The results are in good agreement with the predictions of a recently
proposed theoretical model.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 05:58:43 GMT""},{""version"":""v2"",""created"":""Thu, 14 Aug 2003 13:59:48 GMT""}]","2009-11-10"
"cond-mat/0306492","Mitsuaki Takigawa","Mitsuaki Takigawa, Masanori Ichioka and Kazushige Machida","Quasiparticle heat transport in the mixed state of high $T_c$
  superconductors","4 pages, 3 figures",,"10.1143/JPSJ.73.2049",,"cond-mat.supr-con cond-mat.str-el",,"  The field dependence of low-temperature thermal conductivity $\kappa(H)$
observed on cuprates is explained by calculating $\kappa(H)$ microscopically.
The heat current carried by low-lying quasiparticles around a vortex core
decreases with $H$ due to its depletion by the $H$-induced moment centered at a
core for an underdoped case. This leads to a common and consistent picture on
an ``anomalous core''. $\kappa(H,T)$ is found to be a useful tool for probing
quasiparticle structures in the mixed state in general.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 06:29:44 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 2003 05:13:19 GMT""},{""version"":""v3"",""created"":""Tue, 6 Jul 2004 08:53:17 GMT""}]","2009-11-10"
"cond-mat/0306493","M. Sylvain Reynal","Sylvain Reynal, Hung-The Diep","Reexamination of the long-range Potts model: a multicanonical approach","18 pages, 18 figures","Physical Review E 69 (2004) 026109","10.1103/PhysRevE.69.026109",,"cond-mat.stat-mech",,"  We investigate the critical behavior of the one-dimensional q-state Potts
model with long-range (LR) interaction $1/r^{d+\sigma}$, using a multicanonical
algorithm. The recursion scheme initially proposed by Berg is improved so as to
make it suitable for a large class of LR models with unequally spaced energy
levels. The choice of an efficient predictor and a reliable convergence
criterion is discussed. We obtain transition temperatures in the first-order
regime which are in far better agreement with mean-field predictions than in
previous Monte Carlo studies. By relying on the location of spinodal points and
resorting to scaling arguments, we determine the threshold value $\sigma_c(q)$
separating the first- and second-order regimes to two-digit precision within
the range $3 \leq q \leq 9$. We offer convincing numerical evidence supporting
$\sigma_c(q)
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 06:27:04 GMT""},{""version"":""v2"",""created"":""Tue, 16 Sep 2003 07:20:08 GMT""},{""version"":""v3"",""created"":""Thu, 23 Oct 2003 07:07:13 GMT""},{""version"":""v4"",""created"":""Sat, 15 Nov 2003 07:45:57 GMT""},{""version"":""v5"",""created"":""Sat, 17 Apr 2004 06:32:49 GMT""}]","2007-05-23"
"cond-mat/0306494","Raffaella Burioni","R. Burioni, D. Cassi, F. Cecconi, A. Vulpiani","Topological thermal instability and the length of proteins","6 pages, 3 eps figures",,,,"cond-mat q-bio",,"  We present an analysis of the role of global topology on the structural
stability of folded proteins in thermal equilibrium with a heat bath. For a
large class of single domain proteins, we compute the harmonic spectrum within
the Gaussian Network Model (GNM) and we determine the spectral dimension, a
parameter describing the low frequency behaviour of the density of modes. We
find a surprisingly strong correlation between the spectral dimension and the
number of aminoacids of the protein. Considering that the larger the spectral
dimension, the more topologically compact is the folded state, our results
indicate that for a given temperature and length of the protein, the folded
structure corresponds to the less compact folding compatible with thermodynamic
stability.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 07:19:35 GMT""}]","2007-05-23"
"cond-mat/0306495","Stanislav Dobrov","Stanislav V. Dobrov (Institute of Electrophysics, Ekaterinburg,
  Russia)","Something about spin-fermion connection","12 pages, LaTeX 2.09. See also J. Phys. A: Math. Gen. 36 (2003)
  L503-L508 (FREE for downloading). Except these comments, nothing has been
  changed here. Excuse me for a number of mispellings encountered here",,,"IEP-03-06","cond-mat.str-el",,"  Jordan-Wigner-type transformations connecting the spin-3/2 operators and two
kinds of fermions are derived. A general condition of fermionizability of spins
is obtained and a theorem establishing connection between half integer spins
and fermions is proved. The fallibility of a previous attempt to generalize the
Jordan-Wigner transformation for all spins (C.D. Batista and G. Ortiz, Phys.
Rev. Lett. 86, 1082 (2001)) is pointed out.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 09:01:57 GMT""},{""version"":""v2"",""created"":""Fri, 20 Jun 2003 04:29:39 GMT""},{""version"":""v3"",""created"":""Mon, 23 Jun 2003 03:27:50 GMT""},{""version"":""v4"",""created"":""Tue, 16 Sep 2003 06:58:58 GMT""}]","2007-05-23"
"cond-mat/0306496","Wei-Xing Zhou","D. Sornette (CNRS-Univ. Nice and UCLA), W.-X. Zhou (UCLA)","Evidence of Fueling of the 2000 New Economy Bubble by Foreign Capital
  Inflow: Implications for the Future of the US Economy and its Stock Market","41 Latex pages including 14 eps figures","Physica A 332 (2004) 412-440","10.1016/j.physa.2003.10.010",,"cond-mat.stat-mech q-fin.GN",,"  Previous analyses of a large ensemble of stock markets have demonstrated that
a log-periodic power law (LPPL) behavior of the prices constitutes a qualifying
signature of speculative bubbles that often land with a crash. We detect such a
LPPL signature in the foreign capital inflow during the bubble on the US
markets culminating in March 2000. We detect a weak synchronization and lag
with the NASDAQ 100 LPPL pattern. We propose to rationalize these observations
by the existence of positive feedback loops between market-appreciation /
increased-spending / increased-deficit-of-balance-of-payment /
larger-foreign-surplus / increased-foreign-capital-inflows and so on. Our
analysis suggests that foreign capital inflow have been following rather than
causing the bubble. We then combine a macroeconomic analysis of feedback
processes occurring between the economy and the stock market with a technical
analysis of more than two hundred years of the DJIA to investigate possible
scenarios for the future, three years after the end of the bubble and deep into
a bearish regime. We also detect a LPPL accelerating bubble on the EURO against
the US dollar and the Japanese Yen. In sum, our analyses is in line with our
previous work on the LPPL ``anti-bubble'' representing the bearish market that
started in 2000.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 09:55:50 GMT""}]","2008-12-02"
"cond-mat/0306497","Belen Paredes","B. Paredes, C. Tejedor, and J. I. Cirac","Fermionic Atoms in Optical Superlattices",,,"10.1103/PhysRevA.71.063608",,"cond-mat",,"  Fermionic atoms in an optical superlattice can realize a very peculiar
Anderson lattice model in which impurities interact with each other through a
discretized set of delocalized levels. We investigate the interplay between
Kondo effect and magnetism under these finite-size features. We find that Kondo
effect can dominate over magnetism depending on the parity of the number of
particles per discretized set. We show how Kondo-induced resonances of
measurable size can be observed through the atomic interference pattern.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 11:34:42 GMT""}]","2013-05-29"
"cond-mat/0306498","Tetsuo Deguchi","Tetsuo Deguchi","The $sl_2$ loop algebra symmetry of the twisted transfer matrix of the
  six vertex model at roots of unity","13 pages, in the Proceedings of RAQIS03, Annecy, France, March 2003","J.Phys.A37:347-358,2004","10.1088/0305-4470/37/2/006",,"cond-mat.stat-mech",,"  We discuss a family of operators which commute or anti-commute with the
twisted transfer matrix of the six-vertex model at $q$ being roots of unity:
$q^{2N}=1$. The operators commute with the Hamiltonian of the XXZ spin chain
under the twisted boundary conditions, and they are valid also for the
inhomogeneous case. For the case of the anti-periodic boundary conditions, we
show explicitly that the operators generate the $sl_2$ loop algebra in the
sector of the total spin operator $S^Z \equiv N/2 ({\rm mod} N)$. The
infinite-dimensional symmetry leads to exponentially-large spectral
degeneracies, as shown for the periodic boundary conditions \cite{DFM}.
Furthermore, we derive explicitly the $sl_2$ loop algebra symmetry for the
periodic XXZ spin chain with an odd number of sites in the sector $S^Z \equiv
N/2 ({\rm mod} N)$ when $q$ is a primitive $N$ th root of unity with $N$ odd.
Interestingly, in the case of N=3, various conjectures of combinatorial
formulas for the XXZ spin chain with odd-sites have been given
\cite{Odd,Razumov,BGN,GBNM}. We also note a connection to the spectral
degeneracies of the eight-vertex model.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 12:21:33 GMT""},{""version"":""v2"",""created"":""Tue, 30 Dec 2003 08:09:47 GMT""}]","2008-11-26"
"cond-mat/0306499","D. H. E. Gross","D.H.E.Gross","A New Thermodynamics, From Nuclei to Stars II","6 pages, contributed paper for the international conference ""Gobal
  Phase Diagrams"", Odessa, 2003",,,,"cond-mat.stat-mech",,"  Equilibrium statistics of Hamiltonian systems is correctly described by the
microcanonical ensemble. Classically this is the manifold of all points in the
N-body phase space with the given total energy. Due to Boltzmann's principle,
e^S=tr(\delta(E-H)), its geometrical size is related to the entropy S(E,N,...).
This definition does not invoke any information theory, no thermodynamic limit,
no extensivity, and no homogeneity assumption, as are needed in conventional
(canonical) thermo-statistics. Therefore, it describes the equilibrium
statistics of extensive as well of non-extensive systems. Due to this fact it
is the general and fundamental definition of any classical equilibrium
statistics. It can address nuclei and astrophysical objects as well. As these
are not described by the conventional extensive Boltzmann-Gibbs thermodynamics,
this is a mayor achievement of statistical mechanics. Moreover, all kind of
phase transitions can be distinguished sharply and uniquely for even small
systems. In contrast to the Yang-Lee singularities in Boltzmann-Gibbs canonical
thermodynamics phase-separations are well treated.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 13:28:58 GMT""}]","2007-05-23"
"cond-mat/0306500","Chiara Fort","R. Bonifacio, F. S. Cataliotti, M. Cola, L. Fallani, C. Fort, N.
  Piovella, M. Inguscio","Superradiant light scattering from a moving Bose-Einstein condensate",,,"10.1016/j.optcom.2004.01.027",,"cond-mat.soft",,"  We investigate the interaction of a moving BEC with a far detuned laser beam.
Superradiant Rayleigh scattering arises from the spontaneous formation of a
matter-wave grating due to the interference of two wavepackets with different
momenta. The system is described by the CARL-BEC model which is a
generalization of the Gross-Pitaevskii model to include the self-consistent
evolution of the scattered field. The experiment gives evidence of a damping of
the matter-wave grating which depends on the initial velocity of the
condensate. We describe this damping in terms of a phase-diffusion decoherence
process, in good agreement with the experimental results.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 13:29:38 GMT""},{""version"":""v2"",""created"":""Mon, 22 Sep 2003 14:43:49 GMT""}]","2009-11-10"
"cond-mat/0306501","Mohammad Khorrami","Amir Aghamohammadi, Mohammad Khorrami","Exactly solvable models through the generalized empty interval method:
  multi-species and more-than-two-site interactions","10 pages, LaTeX","Int. J. Mod. Phys. B18 (2004) 2047-2055","10.1142/S0217979204025130",,"cond-mat.stat-mech",,"  Multi-species reaction-diffusion systems, with more-than-two-site interaction
on a one-dimensional lattice are considered. Necessary and sufficient
constraints on the interaction rates are obtained, that guarantee the
closedness of the time evolution equation for $E^{\mathbf a}_n(t)$'s, the
expectation value of the product of certain linear combination of the number
operators on $n$ consecutive sites at time $t$.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 13:40:51 GMT""},{""version"":""v2"",""created"":""Fri, 23 Apr 2004 05:21:35 GMT""},{""version"":""v3"",""created"":""Sun, 29 Aug 2004 10:43:59 GMT""}]","2007-05-23"
"cond-mat/0306502","Hyunbum Jang","Hyunbum Jang, Malcolm J. Grimson, and Carol K. Hall","Exchange anisotropy and the dynamic phase transition in thin
  ferromagnetic Heisenberg films","11 pages including 3 figure pages; submitted to PRE",,"10.1103/PhysRevE.68.046115",,"cond-mat.stat-mech",,"  Monte Carlo simulations have been performed to investigate the dependence of
the dynamic phase behavior on the bilinear exchange anisotropy of a classical
Heisenberg spin system. The system under consideration is a planar thin
ferromagnetic film with competing surface fields subject to a pulsed
oscillatory external field. The results show that the films exhibit a single
discontinuous dynamic phase transition (DPT) as a function of the anisotropy of
the bilinear exchange interaction in the Hamiltonian. Furthermore there is no
evidence of stochastic resonance (SR) associated with the DPT. These results
are in marked contrast to the continuous DPT observed in the same system as a
function of temperature and applied field strength for a fixed bilinear
exchange anisotropy.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 14:07:17 GMT""}]","2009-11-10"
"cond-mat/0306503","Vladimir Evteev","E.Ya. Glushko (1 and 2), V.N. Evteev (3), M.V. Moiseenko (3), N.A.
  Slusarenko (3) and A.A. Zakhidov (4) ((1) Institute for Semiconductors
  Physics NAS Ukraine (2) Slavonic University, Kiev, Ukraine; (3) Pedagogical
  University, Krivoy Rog, Ukraine ;(4) Texas University at Dallas, Richardson,
  TX)","Quantum model of phonon transport and heat conductivity in carbon
  nanoclusters and nanotubes","19 pages, 28 figures, Latex2e Was presented at Annual APS March
  Meeting, March 3-7, 2003;Austin Convention Center; Austin, TX",,,"http://www.aps.org/meet/MAR03/baps/abs/S6660.html#SS26.016","cond-mat.mes-hall cond-mat.mtrl-sci",,"  A complex approach phonon quantum discrete model (PQDM) was developed to
describe dynamics, kinetics and statistics of phonons in carbon nanostructures
with zero-chirality of both zig-zag and armchair geometry. The model allows
include into the pure phonon problem existing interaction with others
subsystems: electrons, photons, impurities and defects. We predict that planar
C- structures are geometrically stable and may bridge interelectrode space in
strong external electric field. The exact solution of generalized thermal
conductivity (TC) equation was obtained for nanotubes. Temperature distribution
along the tube was derived analytically. The diagonalization procedure for the
case ofstrong ph-ph interaction was proposed. It was shown the quadratic
increasing of heat conductivity with the growth of the phonon mean free path
(PMFP). Heat capacitance and the entropy of carbon linear tubes were calculated
as the function of temperature. Our theoretical approach explains the nature of
good TC in carbon and carbon-like materials by existing of the soft vibration
branch (low frequency radial breathing mode phonons with high density of states
at thermal energies) accompanied by structure hardness (high frequency $\phi$-
and z-branches) providing big PMFP. TC coefficient for high conducting channel
in surrounding medium was calculated. The mechanism of heat conductivity
temperature damping was analyzed. Two competitive tendencies produce TC maximum
at intermediate temperatures (100-300)K. It was shown the strongly non-linear
increasing of effective heat conductivity with the growth nanotubes
concentration. It was shown that insertion of armchair nanotube inside a medium
or its coating by polyacetilene molecule considerably changes the structure of
radial breathing phonons.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 15:19:04 GMT""}]","2007-05-23"
"cs/0306110","Michele Gulmini","M. Bellato, L. Berti, V. Brigljevic, G. Bruno, E. Cano, S. Cittolin,
  A. Csilling, S. Erhan, D. Gigi, F. Glege, R. Gomez-Reino, M. Gulmini, J.
  Gutleber, C. Jacobs, M. Kozlovszky, H. Larsen, I. Magrans, G. Maron, F.
  Meijers, E. Meschi, S. Murray, A. Oh, L. Orsini, L. Pollet, A. Racz, G.
  Rorato, D. Samyn, P. Scharff-Hansen, C. Schwick, P. Sphicas, N. Toniolo, S.
  Ventura, L. Zangrando","Run Control and Monitor System for the CMS Experiment","Talk from the 2003 Computing in High Energy and Nuclear Physics
  (CHEP03), La Jolla, Ca, USA, March 2003, 8 pages, PSN THGT002",,,,"cs.DC",,"  The Run Control and Monitor System (RCMS) of the CMS experiment is the set of
hardware and software components responsible for controlling and monitoring the
experiment during data-taking. It provides users with a ""virtual counting
room"", enabling them to operate the experiment and to monitor detector status
and data quality from any point in the world. This paper describes the
architecture of the RCMS with particular emphasis on its scalability through a
distributed collection of nodes arranged in a tree-based hierarchy. The current
implementation of the architecture in a prototype RCMS used in test beam
setups, detector validations and DAQ demonstrators is documented. A discussion
of the key technologies used, including Web Services, and the results of tests
performed with a 128-node system are presented.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:34:11 GMT""}]","2007-05-23"
"cs/0306112","Gabriele Garzoglio","D. Bonham, G. Garzoglio, R. Herber, J. Kowalkowski, D. Litvintsev, L.
  Lueking, M. Paterno, D. Petravick, L. Piccoli, R. Pordes, N. Stanfield, I.
  Terekhov, J. Trumbo, J. Tseng, S. Veseli, M. Votava, V. White, T. Huffman, S.
  Stonjek, K. Waltkins, P. Crosby, D. Waters, R. St.Denis","Adapting SAM for CDF","Talk from the 2003 Computing in High Energy and Nuclear Physics
  (CHEP03), La Jolla, Ca, USA, March 2003, 4 pages, pdf format, TUAT004","ECONF C0303241:TUAT004,2003",,"TUAT004","cs.DC",,"  The CDF and D0 experiments probe the high-energy frontier and as they do so
have accumulated hundreds of Terabytes of data on the way to petabytes of data
over the next two years. The experiments have made a commitment to use the
developing Grid based on the SAM system to handle these data. The D0 SAM has
been extended for use in CDF as common patterns of design emerged to meet the
similar requirements of these experiments. The process by which the merger was
achieved is explained with particular emphasis on lessons learned concerning
the database design patterns plus realization of the use cases.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:28:02 GMT""}]","2009-01-09"
"cs/0306113","Farn Wang","Farn Wang","Symbolic Parametric Analysis of Embedded Systems with BDD-like
  Data-Structures","11 pages, 1 figure",,,,"cs.DS cs.LO",,"  We use dense variable-ordering to define HRD (Hybrid-Restriction Diagram), a
new BDD-like data-structure for the representation and manipulation of
state-spaces of linear hybrid automata. We present and discuss various
manipulation algorithms for HRD, including the basic set-oriented operations,
weakest precondition calculation, and normalization. We implemented the ideas
and experimented to see their performance. Finally, we have also developed a
pruning technique for state-space exploration based on parameter valuation
space characterization. The technique showed good promise in our experiment.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 09:57:09 GMT""},{""version"":""v2"",""created"":""Mon, 27 Oct 2003 03:10:42 GMT""}]","2007-05-23"
"gr-qc/0306085","Reinaldo J. Gleiser","Reinaldo J. Gleiser and Alfredo E. Dominguez (FaMAF, Universidad
  Nacional de Cordoba, Argentina)","A gravitational memory effect in ""boosted"" black hole perturbation
  theory","REVTexIV, 15 pages, 2 EPS figures","Phys.Rev. D68 (2003) 104018","10.1103/PhysRevD.68.104018",,"gr-qc",,"  Black hole perturbation theory, or more generally, perturbation theory on a
Schwarzschild bockground, has been applied in several contexts, but usually
under the simplifying assumption that the ADM momentum vanishes, namely, that
the evolution is carried out and observed in the ``center of momentum frame''.
In this paper we consider some consequences of the inclusion of a non vanishing
ADM momentum in the initial data. We first provide a justification for the
validity of the transformation of the initial data to the ``center of momentum
frame'', and then analyze the effect of this transformation on the
gravitational wave amplitude. The most significant result is the possibility of
a type of gravitational memory effect that appears to have no simple relation
with the well known Christodoulou effect.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 17:58:33 GMT""}]","2009-11-10"
"gr-qc/0306086","Kahil","M.I.Wanas, M.Melek and M.E.Kahil","SN1987A: Temporal Models","7 pages LaTex file, published in the Proceedings of MG IX, Vol. 2,
  p.1100, World Scientific Pub.(2002)",,,,"gr-qc astro-ph",,"  It is well known that carriers of astrophysical information are massless
spinning particles. These carriers are photons, neutrinos and, expectedly,
gravitons. All these particles are emitted during supernova events. Information
carried by these particles characterize their sources, but such information are
affected by the trajectories of the carriers. Recently, it is shown that these
trajectories are spin dependent. Knowing these trajectories and the arrival
times of such particles to the detectors, a spin dependent model is constructed
and compared with the conventional spin independent model.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 10:55:58 GMT""}]","2007-05-23"
"gr-qc/0306087","Masayuki Tanimoto","Masayuki Tanimoto","Linear perturbations of spatially locally homogeneous spacetimes","Eq.(2.2) and Eq.(3.1) swapped. Errata to the (yet-to-be) published
  version attached. 16 pages, to appear in Contemporary Mathematics, AMS","Contemp.Math. 337 (2003) 171-185",,,"gr-qc math-ph math.MP",,"  Methods and properties regarding the linear perturbations are discussed for
some spatially closed (vacuum) solutions of Einstein's equation. The main focus
is on two kinds of spatially locally homogeneous solution; one is the Bianchi
III (Thurston's H^2 x R) type, while the other is the Bianchi II (Thurston's
Nil) type. With a brief summary of previous results on the Bianchi III
perturbations, asymptotic solutions for the gauge-invariant variables for the
Bianchi III are shown, with which (in)stability of the background solution is
also examined. The issue of linear stability for a Bianchi II solution is still
an open problem. To approach it, appropriate eigenfunctions are presented for
an explicitly compactified Bianchi II manifold and based on that, some field
equations on the Bianchi II background spacetime are studied. Differences
between perturbation analyses for Bianchi class B (to which Bianchi III
belongs) and class A (to which Bianchi II belongs) are stressed for an
intention to be helpful for applications to other models.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 13:19:59 GMT""},{""version"":""v2"",""created"":""Sat, 13 Sep 2003 20:20:17 GMT""}]","2007-05-23"
"gr-qc/0306089","Igor I. Smolyaninov","Igor I. Smolyaninov, Christopher C. Davis","Surface plasmon toy-models of black holes and wormholes","4 pages, 4 figures",,,,"gr-qc",,"  Surface plasmons at metal interfaces are collective excitations of the
conduction electrons and the electromagnetic field. They exist in ""curved
three-dimensional space-times"" defined by the shape of the metal surface and
the spatial distribution of the dielectric constant near the surface. Here we
show that surface plasmon toy models of many non-trivial space-time metrics,
such as wormholes and black holes, can be easily built and studied in
experiments. For example, a droplet of dielectric on the metal surface behaves
as a black hole for surface plasmons within a substantial frequency range. On
the other hand, a nanohole in a thin metal membrane may be treated as a
wormhole connecting two ""flat"" surface plasmon worlds located on the opposite
interfaces of the membrane.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 14:21:49 GMT""}]","2017-12-20"
"gr-qc/0306090","Dilip Ranganathan","D. Ranganathan","A self consistent solution to the Einstein Maxwell Dirac Equations","Revtex4, 5 pages. Corrected typos",,,,"gr-qc math-ph math.MP quant-ph",,"  A self consistent solution to Dirac equation in a Kerr Newman space-time with
$M^2 > a^2 + Q^2$ is presented for the case when the Dirac particle is the
source of the curvature and the electromagnetic field. The solution is
localised, continuous everywhere and valid only for a special choice of the
parameters appearing in the Dirac equation.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 15:41:59 GMT""},{""version"":""v2"",""created"":""Fri, 20 Jun 2003 05:00:34 GMT""}]","2007-05-23"
"hep-ex/0306040","Alessandro Curioni","A. Curioni, E. Aprile","Detection of partial polarization in Compton scattered photons","7 pages, 3 figures",,,,"hep-ex astro-ph",,"  It has been recently proposed (Boggs, Nucl. Instr. and Meth. A 503 (2003)
562), to use polarization of Compton scattered gamma-rays to improve the
imaging performance of Compton telescopes. Building upon that work, we detected
the aforementioned polarization in a sample of 1.836 MeV gamma-rays from the
LXeGRIT Compton telescope. Here we present the measurement, together with
detector oriented considerations on the application of the principle to a
realistic Compton telescope.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 18:05:28 GMT""}]","2007-05-23"
"hep-ex/0306041","Armen Apyan","NA59 Collaboration: A. Apyan, R.O. Avakian, B. Badelek, S.
  Ballestrero, C. Biino, I. Birol, P. Cenci, S.H. Connell, S. Eichblatt, T.
  Fonseca, A. Freund, B. Gorini, R. Groess, K. Ispirian, T.J. Ketel, Yu.V.
  Kononets, A. Lopez, A. Mangiarotti, B. van Rens, J.P.F. Sellschop, M. Shieh,
  P. Sona, V. Strakhovenko, E. Uggerhoj, U.I. Uggerhoj, G. Unel, M. Velasco,
  Z.Z. Vilakazi, O. Wessely","Linear to Circular Polarisation Conversion using Birefringent Properties
  of Aligned Crystals for Multi-GeV Photons","12 pages, 12 figures, 1 table, REVTeX4 two column, Version for
  publication",,,"nuhep-exp/2-006","hep-ex",,"  We present the first experimental results on the use of a thick aligned Si
crystal acting as a quarter wave plate to induce a degree of circular
polarisation in a high energy linearly polarised photon beam. The linearly
polarised photon beam is produced from coherent bremsstrahlung radiation by 178
GeV unpolarised electrons incident on an aligned Si crystal, acting as a
radiator. The linear polarisation of the photon beam is characterised by
measuring the asymmetry in electron-positron pair production in a Ge crystal,
for different crystal orientations. The Ge crystal therefore acts as an
analyser. The birefringence phenomenon, which converts the linear polarisation
to circular polarisation, is observed by letting the linearly polarised photons
beam pass through a thick Si quarter wave plate crystal, and then measuring the
asymmetry in electron-positron pair production again for a selection of
relative angles between the crystallographic planes of the radiator, analyser
and quarter wave plate. The systematics of the difference between the measured
asymmetries with and without the quarter wave plate are predicted by theory to
reveal an evolution in the Stokes parameters from which the appearance of a
circularly polarised component in the photon beam can be demonstrated. The
measured magnitude of the circularly polarised component was consistent with
the theoretical predictions, and therefore is in indication of the existence of
the birefringence effect.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 21:31:00 GMT""},{""version"":""v2"",""created"":""Thu, 24 Jun 2004 14:46:34 GMT""}]","2007-05-23"
"hep-ex/0306043","Issei Kato","I. Kato (for the K2K collaboration)","The Results of Oscillation Analysis in K2K Experiment And An Overview of
  JHFnu Experiment","16 pages, 20 figures, the proceedings for the XXXVIIIth Recontres de
  Moriond on Electroweak Interaction and Unified Theories, Les Arcs, France,
  March 15-22, 2003 Ver. 2: Some errors fixed",,,,"hep-ex",,"  This paper presents the results of oscillation analysis in K2K experiment.
The results show indications of neutrino oscillation and give a new constraint
on the oscillation parameters. The difference of neutrino masses squared
$\Delta m^2$ lies between 1.5 and 3.9$\times10^{-3} {\rm eV}^2$ at $\sin^2
2\theta=1$ with the confidence level of 90%. In addition to these results, a
brief overview of future long-baseline neutrino experiment in Japan, JHF-$\nu$
experiment, is also given in this paper.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 15:20:03 GMT""},{""version"":""v2"",""created"":""Mon, 30 Jun 2003 07:27:08 GMT""}]","2007-05-23"
